,Date,Cases
0,2020-02-24,1
1,2020-02-25,1
2,2020-02-26,1
3,2020-02-27,1
4,2020-02-28,1
5,2020-02-29,1
6,2020-03-01,1
7,2020-03-02,1
8,2020-03-03,2
9,2020-03-04,4
10,2020-03-05,4
11,2020-03-06,4
12,2020-03-07,4
13,2020-03-08,5
14,2020-03-09,7
15,2020-03-10,8
16,2020-03-11,11
17,2020-03-12,12
18,2020-03-13,13
19,2020-03-14,15
20,2020-03-15,16
21,2020-03-16,18
22,2020-03-17,20
23,2020-03-18,24
24,2020-03-19,25
25,2020-03-20,29
26,2020-03-21,30
27,2020-03-22,34
28,2020-03-23,41
29,2020-03-24,43
30,2020-03-25,76
31,2020-03-26,80
32,2020-03-27,91
33,2020-03-28,107
34,2020-03-29,118
35,2020-03-30,146
36,2020-03-31,175
37,2020-04-01,197
38,2020-04-02,240
39,2020-04-03,275
40,2020-04-04,300
41,2020-04-05,338
42,2020-04-06,368
43,2020-04-07,424
44,2020-04-08,445
45,2020-04-09,485
46,2020-04-10,532
47,2020-04-11,556
48,2020-04-12,608
49,2020-04-13,666
50,2020-04-14,715
51,2020-04-15,785
52,2020-04-16,841
53,2020-04-17,907
54,2020-04-18,934
55,2020-04-19,997
56,2020-04-20,1027
57,2020-04-21,1093
58,2020-04-22,1177
59,2020-04-23,1236
60,2020-04-24,1331
61,2020-04-25,1464
62,2020-04-26,1532
63,2020-04-27,1704
64,2020-04-28,1830
65,2020-04-29,1940
66,2020-04-30,2127
67,2020-05-01,2291
68,2020-05-02,2470
69,2020-05-03,2705
70,2020-05-04,2895
71,2020-05-05,3225
72,2020-05-06,3393
73,2020-05-07,3564
74,2020-05-08,3781
75,2020-05-09,4042
76,2020-05-10,4403
77,2020-05-11,4687
78,2020-05-12,4968
79,2020-05-13,5227
80,2020-05-14,5640
81,2020-05-15,6054
82,2020-05-16,6403
83,2020-05-17,6665
84,2020-05-18,7073
85,2020-05-19,7654
86,2020-05-20,8146
87,2020-05-21,8677
88,2020-05-22,9219
89,2020-05-23,10001
90,2020-05-24,10585
91,2020-05-25,11176
92,2020-05-26,11834
93,2020-05-27,12459
94,2020-05-28,13039
95,2020-05-29,13662
96,2020-05-30,14528
97,2020-05-31,15208
98,2020-06-01,15753
99,2020-06-02,16512
100,2020-06-03,17270
101,2020-06-04,18057
102,2020-06-05,18972
103,2020-06-06,19554
104,2020-06-07,20345
105,2020-06-08,20920
106,2020-06-09,21462
107,2020-06-10,22146
108,2020-06-11,22894
109,2020-06-12,23550
110,2020-06-13,24106
111,2020-06-14,24770
112,2020-06-15,25531
113,2020-06-16,26314
114,2020-06-17,26878
115,2020-06-18,27536
116,2020-06-19,27882
117,2020-06-20,28428
118,2020-06-21,28837
119,2020-06-22,29147
120,2020-06-23,29471
121,2020-06-24,29705
122,2020-06-25,30165
123,2020-06-26,30441
124,2020-06-27,30606
125,2020-06-28,30957
126,2020-06-29,31228
127,2020-06-30,31507
128,2020-07-01,31826
129,2020-07-02,32012
130,2020-07-03,32314
131,2020-07-04,32662
132,2020-07-05,32941
133,2020-07-06,33180
134,2020-07-07,33374
135,2020-07-08,33584
136,2020-07-09,33898
137,2020-07-10,34184
138,2020-07-11,34356
139,2020-07-12,34441
140,2020-07-13,34595
141,2020-07-14,34730
142,2020-07-15,34984
143,2020-07-16,35060
144,2020-07-17,35219
145,2020-07-18,35279
146,2020-07-19,35453
147,2020-07-20,35493
148,2020-07-21,35605
149,2020-07-22,35717
150,2020-07-23,35918
151,2020-07-24,35978
152,2020-07-25,36026
153,2020-07-26,36147
154,2020-07-27,36253
155,2020-07-28,36358
156,2020-07-29,36463
157,2020-07-30,36532
158,2020-07-31,36665
159,2020-08-01,36700
160,2020-08-02,36701
161,2020-08-03,36737
162,2020-08-04,36773
163,2020-08-05,36820
164,2020-08-06,36928
165,2020-08-07,37006
166,2020-08-08,37046
167,2020-08-09,37083
168,2020-08-10,37153
169,2020-08-11,37260
170,2020-08-12,37336
171,2020-08-13,37422
172,2020-08-14,37497
173,2020-08-15,37542
174,2020-08-16,37590
175,2020-08-17,37667
176,2020-08-18,37710
177,2020-08-19,37750
178,2020-08-20,37852
179,2020-08-21,37885
180,2020-08-22,37944
181,2020-08-23,37990
182,2020-08-24,38045
183,2020-08-25,38061
184,2020-08-26,38103
185,2020-08-27,38119
186,2020-08-28,38130
187,2020-08-29,38133
188,2020-08-30,38155
189,2020-08-31,38159
190,2020-09-01,38193
191,2020-09-02,38243
192,2020-09-03,38288
193,2020-09-04,38304
194,2020-09-05,38324
195,2020-09-06,38398
196,2020-09-07,38494
197,2020-09-08,38520
198,2020-09-09,38544
199,2020-09-10,38572
200,2020-09-11,38606
201,2020-09-12,38641
202,2020-09-13,38716
203,2020-09-14,38772
204,2020-09-15,38815
205,2020-09-16,38855
206,2020-09-17,38872
207,2020-09-18,38897
208,2020-09-19,38919
209,2020-09-20,39044
210,2020-09-21,39074
211,2020-09-22,39096
212,2020-09-23,39145
213,2020-09-24,39170
214,2020-09-25,39186
215,2020-09-26,39192
216,2020-09-27,39227
217,2020-09-28,39239
218,2020-09-29,39254
219,2020-09-30,39268
220,2020-10-01,39285
221,2020-10-02,39290
222,2020-10-03,39297
223,2020-10-04,39341
224,2020-10-05,39422
225,2020-10-06,39486
226,2020-10-07,39548
227,2020-10-08,39616
228,2020-10-09,39693
229,2020-10-10,39703
230,2020-10-11,39799
231,2020-10-12,39870
232,2020-10-13,39928
233,2020-10-14,39994
234,2020-10-15,40026
235,2020-10-16,40088
236,2020-10-17,40141
237,2020-10-18,40200
238,2020-10-19,40287
239,2020-10-20,40369
240,2020-10-21,40510
241,2020-10-22,40626
242,2020-10-23,40687
243,2020-10-24,40768
244,2020-10-25,40833
245,2020-10-26,40937
246,2020-10-27,41032
247,2020-10-28,41145
248,2020-10-29,41268
249,2020-10-30,41334
250,2020-10-31,41425
251,2020-11-01,41501
252,2020-11-02,41633
253,2020-11-03,41728
254,2020-11-04,41814
255,2020-11-05,41935
256,2020-11-06,41975
257,2020-11-07,42033
258,2020-11-08,42159
259,2020-11-09,42297
260,2020-11-10,42463
261,2020-11-11,42609
262,2020-11-12,42795
263,2020-11-13,42969
264,2020-11-14,43035
265,2020-11-15,43240
266,2020-11-16,43468
267,2020-11-17,43681
268,2020-11-18,43924
269,2020-11-19,44177
270,2020-11-20,44363
271,2020-11-21,44503
272,2020-11-22,44706
273,2020-11-23,44988
274,2020-11-24,45174
275,2020-11-25,45384
276,2020-11-26,45600
277,2020-11-27,45723
278,2020-11-28,45844
279,2020-11-29,46116
280,2020-11-30,46274
281,2020-12-01,46516
282,2020-12-02,46718
283,2020-12-03,46837
284,2020-12-04,46837
285,2020-12-05,47072
286,2020-12-06,47306
287,2020-12-07,47516
288,2020-12-08,47716
289,2020-12-09,47851
290,2020-12-10,48053
291,2020-12-11,48116
292,2020-12-12,48229
293,2020-12-13,48527
294,2020-12-14,48718
295,2020-12-15,48952
296,2020-12-16,49161
297,2020-12-17,49378
298,2020-12-18,49621
299,2020-12-19,49681
300,2020-12-20,49817
301,2020-12-21,50013
302,2020-12-22,50190
303,2020-12-23,50433
304,2020-12-24,50655
305,2020-12-25,50810
306,2020-12-26,50886
307,2020-12-27,51039
308,2020-12-28,51280
309,2020-12-29,51350
310,2020-12-30,51405
311,2020-12-31,51526
312,2021-01-01,51526
313,2021-01-02,51526
314,2021-01-03,51526
315,2021-01-04,53011
316,2021-01-05,53105
317,2021-01-06,53105
318,2021-01-07,53207
319,2021-01-08,53332
320,2021-01-09,53400
321,2021-01-10,53489
322,2021-01-11,53538
323,2021-01-12,53584
324,2021-01-13,53584
325,2021-01-14,53775
326,2021-01-15,53831
327,2021-01-16,53938
328,2021-01-17,53984
329,2021-01-18,54062
330,2021-01-19,54141
331,2021-01-20,54278
332,2021-01-21,54403
333,2021-01-22,54483
334,2021-01-23,54559
335,2021-01-24,54595
336,2021-01-25,54672
337,2021-01-26,54750
338,2021-01-27,54854
339,2021-01-28,54891
