,Date,Cases
0,2020-03-09,2
1,2020-03-10,10
2,2020-03-11,12
3,2020-03-12,23
4,2020-03-13,33
5,2020-03-14,38
6,2020-03-15,42
7,2020-03-16,51
8,2020-03-17,55
9,2020-03-18,59
10,2020-03-19,64
11,2020-03-20,70
12,2020-03-21,76
13,2020-03-22,89
14,2020-03-23,104
15,2020-03-24,123
16,2020-03-25,146
17,2020-03-26,174
18,2020-03-27,186
19,2020-03-28,197
20,2020-03-29,212
21,2020-03-30,223
22,2020-03-31,243
23,2020-04-01,259
24,2020-04-02,277
25,2020-04-03,304
26,2020-04-04,333
27,2020-04-05,361
28,2020-04-06,377
29,2020-04-07,383
30,2020-04-08,400
31,2020-04-09,409
32,2020-04-10,416
33,2020-04-11,433
34,2020-04-12,446
35,2020-04-13,467
36,2020-04-14,475
37,2020-04-15,494
38,2020-04-16,518
39,2020-04-17,539
40,2020-04-18,548
41,2020-04-19,562
42,2020-04-20,584
43,2020-04-21,609
44,2020-04-22,634
45,2020-04-23,663
46,2020-04-24,678
47,2020-04-25,712
48,2020-04-26,726
49,2020-04-27,736
50,2020-04-28,750
51,2020-04-29,766
52,2020-04-30,773
53,2020-05-01,782
54,2020-05-02,789
55,2020-05-03,795
56,2020-05-04,803
57,2020-05-05,820
58,2020-05-06,832
59,2020-05-07,842
60,2020-05-08,850
61,2020-05-09,856
62,2020-05-10,868
63,2020-05-11,872
64,2020-05-12,876
65,2020-05-13,880
66,2020-05-14,898
67,2020-05-15,916
68,2020-05-16,933
69,2020-05-17,946
70,2020-05-18,948
71,2020-05-19,949
72,2020-05-20,964
73,2020-05-21,969
74,2020-05-22,981
75,2020-05-23,989
76,2020-05-24,998
77,2020-05-25,1004
78,2020-05-26,1029
79,2020-05-27,1050
80,2020-05-28,1076
81,2020-05-29,1099
82,2020-05-30,1122
83,2020-05-31,1137
84,2020-06-01,1143
85,2020-06-02,1164
86,2020-06-03,1184
87,2020-06-04,1197
88,2020-06-05,1212
89,2020-06-06,1232
90,2020-06-07,1246
91,2020-06-08,1263
92,2020-06-09,1299
93,2020-06-10,1341
94,2020-06-11,1385
95,2020-06-12,1416
96,2020-06-13,1464
97,2020-06-14,1521
98,2020-06-15,1590
99,2020-06-16,1672
100,2020-06-17,1722
101,2020-06-18,1788
102,2020-06-19,1838
103,2020-06-20,1891
104,2020-06-21,1962
105,2020-06-22,1995
106,2020-06-23,2047
107,2020-06-24,2114
108,2020-06-25,2192
109,2020-06-26,2269
110,2020-06-27,2330
111,2020-06-28,2402
112,2020-06-29,2466
113,2020-06-30,2535
114,2020-07-01,2580
115,2020-07-02,2662
116,2020-07-03,2752
117,2020-07-04,2819
118,2020-07-05,2893
119,2020-07-06,2964
120,2020-07-07,3038
121,2020-07-08,3106
122,2020-07-09,3188
123,2020-07-10,3278
124,2020-07-11,3371
125,2020-07-12,3454
126,2020-07-13,3571
127,2020-07-14,3667
128,2020-07-15,3752
129,2020-07-16,3851
130,2020-07-17,3906
131,2020-07-18,4008
132,2020-07-19,4090
133,2020-07-20,4171
134,2020-07-21,4290
135,2020-07-22,4358
136,2020-07-23,4466
137,2020-07-24,4570
138,2020-07-25,4637
139,2020-07-26,4763
140,2020-07-27,4880
141,2020-07-28,4997
142,2020-07-29,5105
143,2020-07-30,5197
144,2020-07-31,5276
145,2020-08-01,5396
146,2020-08-02,5519
147,2020-08-03,5620
148,2020-08-04,5750
149,2020-08-05,5889
150,2020-08-06,6016
151,2020-08-07,6151
152,2020-08-08,6275
153,2020-08-09,6411
154,2020-08-10,6536
155,2020-08-11,6676
156,2020-08-12,6817
157,2020-08-13,6971
158,2020-08-14,7117
159,2020-08-15,7260
160,2020-08-16,7380
161,2020-08-17,7499
162,2020-08-18,7654
163,2020-08-19,7812
164,2020-08-20,7967
165,2020-08-21,8119
166,2020-08-22,8275
167,2020-08-23,8427
168,2020-08-24,8605
169,2020-08-25,8759
170,2020-08-26,8927
171,2020-08-27,9083
172,2020-08-28,9195
173,2020-08-29,9279
174,2020-08-30,9380
175,2020-08-31,9513
176,2020-09-01,9606
177,2020-09-02,9728
178,2020-09-03,9844
179,2020-09-04,9967
180,2020-09-05,10102
181,2020-09-06,10255
182,2020-09-07,10406
183,2020-09-08,10553
184,2020-09-09,10704
185,2020-09-10,10860
186,2020-09-11,11021
187,2020-09-12,11185
188,2020-09-13,11353
189,2020-09-14,11520
190,2020-09-15,11672
191,2020-09-16,11816
192,2020-09-17,11948
193,2020-09-18,12073
194,2020-09-19,12226
195,2020-09-20,12385
196,2020-09-21,12535
197,2020-09-22,12666
198,2020-09-23,12787
199,2020-09-24,12921
200,2020-09-25,13045
201,2020-09-26,13153
202,2020-09-27,13259
203,2020-09-28,13391
204,2020-09-29,13518
205,2020-09-30,13649
206,2020-10-01,13806
207,2020-10-02,13965
208,2020-10-03,14117
209,2020-10-04,14266
210,2020-10-05,14410
211,2020-10-06,14568
212,2020-10-07,14730
213,2020-10-08,14899
214,2020-10-09,15066
215,2020-10-10,15231
216,2020-10-11,15399
217,2020-10-12,15570
218,2020-10-13,15752
219,2020-10-14,15955
220,2020-10-15,16212
221,2020-10-16,16501
222,2020-10-17,16774
223,2020-10-18,17055
224,2020-10-19,17350
225,2020-10-20,17651
226,2020-10-21,17948
227,2020-10-22,18250
228,2020-10-23,18556
229,2020-10-24,18858
230,2020-10-25,19157
231,2020-10-26,19445
232,2020-10-27,19729
233,2020-10-28,20040
234,2020-10-29,20315
235,2020-10-30,20634
236,2020-10-31,20875
237,2020-11-01,21202
238,2020-11-02,21523
239,2020-11-03,21904
240,2020-11-04,22300
241,2020-11-05,22721
242,2020-11-06,23210
243,2020-11-07,23705
244,2020-11-08,24206
245,2020-11-09,24731
246,2020-11-10,25294
247,2020-11-11,25801
248,2020-11-12,26211
249,2020-11-13,26701
250,2020-11-14,27233
251,2020-11-15,27830
252,2020-11-16,28432
253,2020-11-17,29126
254,2020-11-18,29837
255,2020-11-19,30623
256,2020-11-20,31459
257,2020-11-21,32196
258,2020-11-22,32761
259,2020-11-23,33556
260,2020-11-24,34300
261,2020-11-25,34944
262,2020-11-26,35600
263,2020-11-27,36245
264,2020-11-28,36790
265,2020-11-29,37625
266,2020-11-30,38182
267,2020-12-01,39014
268,2020-12-02,39719
269,2020-12-03,40501
270,2020-12-04,41302
271,2020-12-05,42148
272,2020-12-06,42988
273,2020-12-07,43683
274,2020-12-08,44436
275,2020-12-09,45188
276,2020-12-10,46061
277,2020-12-11,46863
278,2020-12-12,47742
279,2020-12-13,48530
280,2020-12-14,49191
281,2020-12-15,50000
282,2020-12-16,50637
283,2020-12-17,51424
284,2020-12-18,52004
285,2020-12-19,52542
286,2020-12-20,53003
287,2020-12-21,53425
288,2020-12-22,53814
289,2020-12-23,54317
290,2020-12-24,54827
291,2020-12-25,55380
292,2020-12-26,55755
293,2020-12-27,56254
294,2020-12-28,56572
295,2020-12-29,57146
296,2020-12-30,57727
297,2020-12-31,58316
298,2021-01-01,58316
299,2021-01-02,58991
300,2021-01-03,59438
301,2021-01-04,59623
302,2021-01-05,60283
303,2021-01-06,61008
304,2021-01-07,61705
305,2021-01-08,62378
306,2021-01-09,63033
307,2021-01-10,63595
308,2021-01-11,63971
309,2021-01-12,64627
310,2021-01-13,65334
311,2021-01-14,65994
312,2021-01-15,66635
313,2021-01-16,67216
314,2021-01-17,67690
315,2021-01-18,67982
316,2021-01-19,68568
317,2021-01-20,69238
318,2021-01-21,69916
319,2021-01-22,70655
320,2021-01-23,71441
321,2021-01-24,72274
322,2021-01-25,72812
323,2021-01-26,73691
324,2021-01-27,74567
325,2021-01-28,75454
