,Date,Cases
0,2020-02-25,1
1,2020-02-26,1
2,2020-02-27,1
3,2020-02-28,1
4,2020-02-29,1
5,2020-03-01,1
6,2020-03-02,3
7,2020-03-03,5
8,2020-03-04,12
9,2020-03-05,12
10,2020-03-06,17
11,2020-03-07,17
12,2020-03-08,19
13,2020-03-09,20
14,2020-03-10,20
15,2020-03-11,20
16,2020-03-12,24
17,2020-03-13,26
18,2020-03-14,37
19,2020-03-15,48
20,2020-03-16,54
21,2020-03-17,60
22,2020-03-18,74
23,2020-03-19,87
24,2020-03-20,90
25,2020-03-21,139
26,2020-03-22,201
27,2020-03-23,230
28,2020-03-24,264
29,2020-03-25,302
30,2020-03-26,367
31,2020-03-27,409
32,2020-03-28,454
33,2020-03-29,511
34,2020-03-30,584
35,2020-03-31,716
36,2020-04-01,847
37,2020-04-02,986
38,2020-04-03,1171
39,2020-04-04,1251
40,2020-04-05,1320
41,2020-04-06,1423
42,2020-04-07,1468
43,2020-04-08,1572
44,2020-04-09,1666
45,2020-04-10,1761
46,2020-04-11,1825
47,2020-04-12,1914
48,2020-04-13,1983
49,2020-04-14,2070
50,2020-04-15,2160
51,2020-04-16,2268
52,2020-04-17,2418
53,2020-04-18,2534
54,2020-04-19,2629
55,2020-04-20,2718
56,2020-04-21,2811
57,2020-04-22,2910
58,2020-04-23,3007
59,2020-04-24,3127
60,2020-04-25,3256
61,2020-04-26,3382
62,2020-04-27,3517
63,2020-04-28,3649
64,2020-04-29,3848
65,2020-04-30,4006
66,2020-05-01,4154
67,2020-05-02,4295
68,2020-05-03,4474
69,2020-05-04,4648
70,2020-05-05,4838
71,2020-05-06,4997
72,2020-05-07,5182
73,2020-05-08,5369
74,2020-05-09,5558
75,2020-05-10,5723
76,2020-05-11,5891
77,2020-05-12,6067
78,2020-05-13,6253
79,2020-05-14,6442
80,2020-05-15,6629
81,2020-05-16,6821
82,2020-05-17,7019
83,2020-05-18,7201
84,2020-05-19,7377
85,2020-05-20,7542
86,2020-05-21,7728
87,2020-05-22,7918
88,2020-05-23,8113
89,2020-05-24,8306
90,2020-05-25,8503
91,2020-05-26,8697
92,2020-05-27,8857
93,2020-05-28,8997
94,2020-05-29,9134
95,2020-05-30,9267
96,2020-05-31,9394
97,2020-06-01,9513
98,2020-06-02,9626
99,2020-06-03,9733
100,2020-06-04,9831
101,2020-06-05,9935
102,2020-06-06,10050
103,2020-06-07,10154
104,2020-06-08,10265
105,2020-06-09,10382
106,2020-06-10,10484
107,2020-06-11,10589
108,2020-06-12,10698
109,2020-06-13,10810
110,2020-06-14,10919
111,2020-06-15,11031
112,2020-06-16,11147
113,2020-06-17,11268
114,2020-06-18,11385
115,2020-06-19,11504
116,2020-06-20,11631
117,2020-06-21,11771
118,2020-06-22,11920
119,2020-06-23,12076
120,2020-06-24,12248
121,2020-06-25,12445
122,2020-06-26,12685
123,2020-06-27,12968
124,2020-06-28,13273
125,2020-06-29,13571
126,2020-06-30,13907
127,2020-07-01,14272
128,2020-07-02,14657
129,2020-07-03,15070
130,2020-07-04,15500
131,2020-07-05,15941
132,2020-07-06,16404
133,2020-07-07,16879
134,2020-07-08,17348
135,2020-07-09,17808
136,2020-07-10,18242
137,2020-07-11,18712
138,2020-07-12,19195
139,2020-07-13,19689
140,2020-07-14,20216
141,2020-07-15,20770
142,2020-07-16,21355
143,2020-07-17,21948
144,2020-07-18,22549
145,2020-07-19,23084
146,2020-07-20,23691
147,2020-07-21,24278
148,2020-07-22,24872
149,2020-07-23,25484
150,2020-07-24,26159
151,2020-07-25,26764
152,2020-07-26,27357
153,2020-07-27,27973
154,2020-07-28,28615
155,2020-07-29,29229
156,2020-07-30,29831
157,2020-07-31,30394
158,2020-08-01,30950
159,2020-08-02,31465
160,2020-08-03,31972
161,2020-08-04,32504
162,2020-08-05,33055
163,2020-08-06,33626
164,2020-08-07,34155
165,2020-08-08,34693
166,2020-08-09,35160
167,2020-08-10,35712
168,2020-08-11,36204
169,2020-08-12,36699
170,2020-08-13,37187
171,2020-08-14,37664
172,2020-08-15,38133
173,2020-08-16,38583
174,2020-08-17,39025
175,2020-08-18,39444
176,2020-08-19,39847
177,2020-08-20,40258
178,2020-08-21,40667
179,2020-08-22,41068
180,2020-08-23,41460
181,2020-08-24,41858
182,2020-08-25,42228
183,2020-08-26,42619
184,2020-08-27,43016
185,2020-08-28,43403
186,2020-08-29,43781
187,2020-08-30,44146
188,2020-08-31,44494
189,2020-09-01,44833
190,2020-09-02,45158
191,2020-09-03,45469
192,2020-09-04,45773
193,2020-09-05,46071
194,2020-09-06,46364
195,2020-09-07,46653
196,2020-09-08,46938
197,2020-09-09,47216
198,2020-09-10,47488
199,2020-09-11,47752
200,2020-09-12,48007
201,2020-09-13,48254
202,2020-09-14,48496
203,2020-09-15,48734
204,2020-09-16,48966
205,2020-09-17,49194
206,2020-09-18,49413
207,2020-09-19,49623
208,2020-09-20,49826
209,2020-09-21,50023
210,2020-09-22,50214
211,2020-09-23,50400
212,2020-09-24,50579
213,2020-09-25,50754
214,2020-09-26,50914
215,2020-09-27,51067
216,2020-09-28,51213
217,2020-09-29,51368
218,2020-09-30,51530
219,2020-10-01,51690
220,2020-10-02,51847
221,2020-10-03,51995
222,2020-10-04,52136
223,2020-10-05,52270
224,2020-10-06,52399
225,2020-10-07,52520
226,2020-10-08,52658
227,2020-10-09,52804
228,2020-10-10,52940
229,2020-10-11,53072
230,2020-10-12,53325
231,2020-10-13,53399
232,2020-10-14,53584
