,Date,Cases
0,2020-03-02,1
1,2020-03-03,1
2,2020-03-04,1
3,2020-03-05,1
4,2020-03-06,1
5,2020-03-07,1
6,2020-03-08,1
7,2020-03-09,1
8,2020-03-10,1
9,2020-03-11,1
10,2020-03-12,1
11,2020-03-13,1
12,2020-03-14,1
13,2020-03-15,1
14,2020-03-16,2
15,2020-03-17,39
16,2020-03-18,39
17,2020-03-19,53
18,2020-03-20,75
19,2020-03-21,88
20,2020-03-22,113
21,2020-03-23,133
22,2020-03-24,164
23,2020-03-25,188
24,2020-03-26,224
25,2020-03-27,267
26,2020-03-28,308
27,2020-03-29,334
28,2020-03-30,370
29,2020-03-31,376
30,2020-04-01,390
31,2020-04-02,428
32,2020-04-03,439
33,2020-04-04,466
34,2020-04-05,501
35,2020-04-06,525
36,2020-04-07,545
37,2020-04-08,564
38,2020-04-09,583
39,2020-04-10,601
40,2020-04-11,601
41,2020-04-12,638
42,2020-04-13,646
43,2020-04-14,659
44,2020-04-15,673
45,2020-04-16,673
46,2020-04-17,696
47,2020-04-18,704
48,2020-04-19,713
49,2020-04-20,717
50,2020-04-21,717
51,2020-04-22,723
52,2020-04-23,723
53,2020-04-24,731
54,2020-04-25,738
55,2020-04-26,738
56,2020-04-27,743
57,2020-04-28,743
58,2020-04-29,743
59,2020-04-30,745
60,2020-05-01,745
61,2020-05-02,747
62,2020-05-03,748
63,2020-05-04,750
64,2020-05-05,751
65,2020-05-06,751
66,2020-05-07,752
67,2020-05-08,752
68,2020-05-09,754
69,2020-05-10,755
70,2020-05-11,755
71,2020-05-12,758
72,2020-05-13,760
73,2020-05-14,761
74,2020-05-15,761
75,2020-05-16,761
76,2020-05-17,761
77,2020-05-18,761
78,2020-05-19,761
79,2020-05-20,762
80,2020-05-21,762
81,2020-05-22,762
82,2020-05-23,762
83,2020-05-24,762
84,2020-05-25,763
85,2020-05-26,763
86,2020-05-27,763
87,2020-05-28,763
88,2020-05-29,764
89,2020-05-30,764
90,2020-05-31,764
91,2020-06-01,765
92,2020-06-02,844
93,2020-06-03,851
94,2020-06-04,852
95,2020-06-05,852
96,2020-06-06,852
97,2020-06-07,852
98,2020-06-08,852
99,2020-06-09,852
100,2020-06-10,852
101,2020-06-11,852
102,2020-06-12,853
103,2020-06-13,853
104,2020-06-14,853
105,2020-06-15,853
106,2020-06-16,854
107,2020-06-17,854
108,2020-06-18,855
109,2020-06-19,855
110,2020-06-20,855
111,2020-06-21,855
112,2020-06-22,855
113,2020-06-23,855
114,2020-06-24,855
115,2020-06-25,855
116,2020-06-26,855
117,2020-06-27,855
118,2020-06-28,855
119,2020-06-29,855
120,2020-06-30,855
121,2020-07-01,855
122,2020-07-02,855
