,Date,Cases
0,2020-03-20,1
1,2020-03-21,2
2,2020-03-22,2
3,2020-03-23,3
4,2020-03-24,3
5,2020-03-25,3
6,2020-03-26,4
7,2020-03-27,4
8,2020-03-28,5
9,2020-03-29,7
10,2020-03-30,7
11,2020-03-31,7
12,2020-04-01,8
13,2020-04-02,8
14,2020-04-03,8
15,2020-04-04,10
16,2020-04-05,14
17,2020-04-06,16
18,2020-04-07,17
19,2020-04-08,19
20,2020-04-09,19
21,2020-04-10,19
22,2020-04-11,19
23,2020-04-12,19
24,2020-04-13,19
25,2020-04-14,19
26,2020-04-15,19
27,2020-04-16,19
28,2020-04-17,19
29,2020-04-18,24
30,2020-04-19,24
31,2020-04-20,24
32,2020-04-21,24
33,2020-04-22,25
34,2020-04-23,25
35,2020-04-24,25
36,2020-04-25,25
37,2020-04-26,26
38,2020-04-27,27
39,2020-04-28,27
40,2020-04-29,27
41,2020-04-30,27
42,2020-05-01,30
43,2020-05-02,35
44,2020-05-03,35
45,2020-05-04,35
46,2020-05-05,36
47,2020-05-06,36
48,2020-05-07,36
49,2020-05-08,43
50,2020-05-09,43
51,2020-05-10,45
52,2020-05-11,45
53,2020-05-12,45
54,2020-05-13,45
55,2020-05-14,48
56,2020-05-15,48
57,2020-05-16,48
58,2020-05-17,48
59,2020-05-18,50
60,2020-05-19,52
61,2020-05-20,52
62,2020-05-21,58
63,2020-05-22,60
64,2020-05-23,61
65,2020-05-24,69
66,2020-05-25,70
67,2020-05-26,70
68,2020-05-27,71
69,2020-05-28,74
70,2020-05-29,81
71,2020-05-30,84
72,2020-05-31,86
73,2020-06-01,86
74,2020-06-02,86
75,2020-06-03,86
76,2020-06-04,86
77,2020-06-05,86
78,2020-06-06,88
79,2020-06-07,91
80,2020-06-08,92
81,2020-06-09,96
82,2020-06-10,113
83,2020-06-11,118
84,2020-06-12,130
85,2020-06-13,138
86,2020-06-14,140
87,2020-06-15,142
88,2020-06-16,148
89,2020-06-17,155
90,2020-06-18,166
91,2020-06-19,172
92,2020-06-20,176
93,2020-06-21,183
94,2020-06-22,186
95,2020-06-23,189
96,2020-06-24,197
97,2020-06-25,212
98,2020-06-26,212
99,2020-06-27,259
100,2020-06-28,267
101,2020-06-29,276
102,2020-06-30,284
103,2020-07-01,291
104,2020-07-02,315
105,2020-07-03,328
106,2020-07-04,346
107,2020-07-05,346
108,2020-07-06,346
109,2020-07-07,386
110,2020-07-08,386
111,2020-07-09,396
112,2020-07-10,458
113,2020-07-11,462
114,2020-07-12,506
115,2020-07-13,525
116,2020-07-14,541
117,2020-07-15,576
118,2020-07-16,607
119,2020-07-17,638
120,2020-07-18,687
121,2020-07-19,705
122,2020-07-20,749
123,2020-07-21,779
124,2020-07-22,812
125,2020-07-23,851
126,2020-07-24,880
127,2020-07-25,916
128,2020-07-26,932
129,2020-07-27,950
130,2020-07-28,1000
131,2020-07-29,1078
132,2020-07-30,1109
133,2020-07-31,1148
134,2020-08-01,1164
135,2020-08-02,1199
136,2020-08-03,1280
137,2020-08-04,1344
138,2020-08-05,1395
139,2020-08-06,1483
140,2020-08-07,1538
141,2020-08-08,1572
142,2020-08-09,1672
143,2020-08-10,1679
144,2020-08-11,1735
145,2020-08-12,1762
146,2020-08-13,1815
147,2020-08-14,1852
148,2020-08-15,1879
149,2020-08-16,1906
150,2020-08-17,1935
151,2020-08-18,1966
152,2020-08-19,2015
153,2020-08-20,2044
154,2020-08-21,2068
155,2020-08-22,2134
156,2020-08-23,2171
157,2020-08-24,2222
158,2020-08-25,2283
159,2020-08-26,2332
160,2020-08-27,2415
161,2020-08-28,2471
162,2020-08-29,2551
163,2020-08-30,2624
164,2020-08-31,2654
165,2020-09-01,2729
166,2020-09-02,2777
167,2020-09-03,2805
168,2020-09-04,2876
169,2020-09-05,2935
170,2020-09-06,2965
171,2020-09-07,2981
172,2020-09-08,3033
173,2020-09-09,3092
174,2020-09-10,3217
175,2020-09-11,3279
176,2020-09-12,3335
177,2020-09-13,3388
178,2020-09-14,3439
179,2020-09-15,3569
180,2020-09-16,3675
181,2020-09-17,3789
182,2020-09-18,3848
183,2020-09-19,3901
184,2020-09-20,3991
185,2020-09-21,4117
186,2020-09-22,4236
187,2020-09-23,4363
188,2020-09-24,4475
189,2020-09-25,4590
190,2020-09-26,4672
191,2020-09-27,4718
192,2020-09-28,4797
193,2020-09-29,4905
194,2020-09-30,4972
195,2020-10-01,5114
196,2020-10-02,5211
197,2020-10-03,5370
198,2020-10-04,5402
199,2020-10-05,5530
200,2020-10-06,5725
201,2020-10-07,5725
202,2020-10-08,5958
203,2020-10-09,6031
204,2020-10-10,6246
205,2020-10-11,6366
206,2020-10-12,6488
207,2020-10-13,6680
208,2020-10-14,6846
209,2020-10-15,7096
210,2020-10-16,7222
211,2020-10-17,7462
212,2020-10-18,7622
213,2020-10-19,7829
214,2020-10-20,8049
215,2020-10-21,8338
216,2020-10-22,8582
217,2020-10-23,8829
218,2020-10-24,9026
219,2020-10-25,9381
220,2020-10-26,9644
221,2020-10-27,9871
222,2020-10-28,10074
223,2020-10-29,10269
224,2020-10-30,10558
225,2020-10-31,10805
226,2020-11-01,11035
227,2020-11-02,11228
228,2020-11-03,11577
229,2020-11-04,11813
230,2020-11-05,12102
231,2020-11-06,12223
232,2020-11-07,12335
233,2020-11-08,12433
234,2020-11-09,12680
235,2020-11-10,12816
236,2020-11-11,12953
237,2020-11-12,13053
238,2020-11-13,13228
239,2020-11-14,13374
240,2020-11-15,13451
241,2020-11-16,13615
242,2020-11-17,13818
243,2020-11-18,13922
244,2020-11-19,14134
245,2020-11-20,14267
