,Date,Cases
0,2020-03-13,1
1,2020-03-14,1
2,2020-03-15,1
3,2020-03-16,1
4,2020-03-17,1
5,2020-03-18,1
6,2020-03-19,1
7,2020-03-20,1
8,2020-03-21,1
9,2020-03-22,1
10,2020-03-23,3
11,2020-03-24,3
12,2020-03-25,3
13,2020-03-26,7
14,2020-03-27,7
15,2020-03-28,7
16,2020-03-29,7
17,2020-03-30,7
18,2020-03-31,7
19,2020-04-01,7
20,2020-04-02,9
21,2020-04-03,15
22,2020-04-04,15
23,2020-04-05,15
24,2020-04-06,15
25,2020-04-07,19
26,2020-04-08,19
27,2020-04-09,19
28,2020-04-10,19
29,2020-04-11,21
30,2020-04-12,21
31,2020-04-13,23
32,2020-04-14,23
33,2020-04-15,23
34,2020-04-16,23
35,2020-04-17,23
36,2020-04-18,23
37,2020-04-19,23
38,2020-04-20,23
39,2020-04-21,23
40,2020-04-22,24
41,2020-04-23,24
42,2020-04-24,24
43,2020-04-25,24
44,2020-04-26,24
45,2020-04-27,24
46,2020-04-28,24
47,2020-04-29,24
48,2020-04-30,24
49,2020-05-01,25
50,2020-05-02,25
51,2020-05-03,25
52,2020-05-04,25
53,2020-05-05,25
54,2020-05-06,25
55,2020-05-07,25
56,2020-05-08,25
57,2020-05-09,25
58,2020-05-10,25
59,2020-05-11,25
60,2020-05-12,25
61,2020-05-13,25
62,2020-05-14,25
63,2020-05-15,25
64,2020-05-16,25
65,2020-05-17,25
66,2020-05-18,25
67,2020-05-19,25
68,2020-05-20,25
69,2020-05-21,25
70,2020-05-22,25
71,2020-05-23,25
72,2020-05-24,25
73,2020-05-25,25
74,2020-05-26,25
75,2020-05-27,25
76,2020-05-28,25
77,2020-05-29,25
78,2020-05-30,25
79,2020-05-31,26
80,2020-06-01,26
81,2020-06-02,26
82,2020-06-03,26
83,2020-06-04,26
84,2020-06-05,26
85,2020-06-06,26
86,2020-06-07,26
87,2020-06-08,26
88,2020-06-09,26
89,2020-06-10,26
90,2020-06-11,26
91,2020-06-12,26
92,2020-06-13,26
93,2020-06-14,26
94,2020-06-15,26
95,2020-06-16,26
96,2020-06-17,26
97,2020-06-18,26
98,2020-06-19,26
99,2020-06-20,26
100,2020-06-21,26
101,2020-06-22,26
102,2020-06-23,26
103,2020-06-24,26
104,2020-06-25,65
105,2020-06-26,65
106,2020-06-27,65
107,2020-06-28,69
108,2020-06-29,69
109,2020-06-30,69
110,2020-07-01,69
111,2020-07-02,69
112,2020-07-03,68
113,2020-07-04,68
114,2020-07-05,68
115,2020-07-06,70
116,2020-07-07,70
117,2020-07-08,70
118,2020-07-09,73
119,2020-07-10,74
120,2020-07-11,74
121,2020-07-12,74
122,2020-07-13,74
123,2020-07-14,74
124,2020-07-15,74
125,2020-07-16,74
126,2020-07-17,76
