,Date,Cases
0,2020-03-03,1
1,2020-03-04,1
2,2020-03-05,1
3,2020-03-06,2
4,2020-03-07,8
5,2020-03-08,12
6,2020-03-09,12
7,2020-03-10,17
8,2020-03-11,19
9,2020-03-12,19
10,2020-03-13,31
11,2020-03-14,34
12,2020-03-15,45
13,2020-03-16,56
14,2020-03-17,68
15,2020-03-18,79
16,2020-03-19,97
17,2020-03-20,128
18,2020-03-21,158
19,2020-03-22,266
20,2020-03-23,301
21,2020-03-24,387
22,2020-03-25,387
23,2020-03-26,502
24,2020-03-27,589
25,2020-03-28,690
26,2020-03-29,745
27,2020-03-30,820
28,2020-03-31,1054
29,2020-04-01,1054
30,2020-04-02,1133
31,2020-04-03,1265
32,2020-04-04,1451
33,2020-04-05,1451
34,2020-04-06,1554
35,2020-04-07,1628
36,2020-04-08,1715
37,2020-04-09,1795
38,2020-04-10,1975
39,2020-04-11,1975
40,2020-04-12,2142
41,2020-04-13,2208
42,2020-04-14,2277
43,2020-04-15,2443
44,2020-04-16,2571
45,2020-04-17,2669
46,2020-04-18,2758
47,2020-04-19,2839
48,2020-04-20,2941
49,2020-04-21,3031
50,2020-04-22,3144
51,2020-04-23,3435
52,2020-04-24,3607
53,2020-04-25,3780
54,2020-04-26,3892
55,2020-04-27,4003
56,2020-04-28,4127
57,2020-04-29,4285
58,2020-04-30,4428
59,2020-05-01,4532
60,2020-05-02,4681
61,2020-05-03,4783
62,2020-05-04,4887
63,2020-05-05,5020
64,2020-05-06,5208
65,2020-05-07,5371
66,2020-05-08,5611
67,2020-05-09,5776
68,2020-05-10,6034
69,2020-05-11,6278
70,2020-05-12,6563
71,2020-05-13,6879
72,2020-05-14,7134
73,2020-05-15,7479
74,2020-05-16,7805
75,2020-05-17,8068
76,2020-05-18,8371
77,2020-05-19,8809
78,2020-05-20,9283
79,2020-05-21,9931
80,2020-05-22,10649
81,2020-05-23,11353
82,2020-05-24,12076
83,2020-05-25,12628
84,2020-05-26,13228
85,2020-05-27,13933
86,2020-05-28,14702
87,2020-05-29,15419
88,2020-05-30,16214
89,2020-05-31,16851
90,2020-06-01,17415
91,2020-06-02,18319
92,2020-06-03,19268
93,2020-06-04,20197
94,2020-06-05,21037
95,2020-06-06,22020
96,2020-06-07,22794
97,2020-06-08,23620
98,2020-06-09,24761
99,2020-06-10,25987
100,2020-06-11,27373
101,2020-06-12,28764
102,2020-06-13,30295
103,2020-06-14,31577
104,2020-06-15,32785
105,2020-06-16,34159
106,2020-06-17,35552
107,2020-06-18,37510
108,2020-06-19,39570
109,2020-06-20,41204
110,2020-06-21,42785
111,2020-06-22,44931
112,2020-06-23,47203
113,2020-06-24,49851
114,2020-06-25,52457
115,2020-06-26,55343
116,2020-06-27,57744
117,2020-06-28,59933
118,2020-06-29,62268
119,2020-06-30,64530
120,2020-07-01,67197
121,2020-07-02,69941
122,2020-07-03,72786
123,2020-07-04,75376
124,2020-07-05,77815
125,2020-07-06,80447
126,2020-07-07,83426
127,2020-07-08,87030
128,2020-07-09,90693
129,2020-07-10,94060
130,2020-07-11,97509
131,2020-07-12,100166
132,2020-07-13,103265
133,2020-07-14,106910
134,2020-07-15,111146
135,2020-07-16,114783
136,2020-07-17,119301
137,2020-07-18,122524
138,2020-07-19,126755
139,2020-07-20,130774
140,2020-07-21,136118
141,2020-07-22,141900
142,2020-07-23,148027
143,2020-07-24,153520
144,2020-07-25,158334
145,2020-07-26,162526
146,2020-07-27,167416
147,2020-07-28,173355
148,2020-07-29,178996
149,2020-07-30,185373
150,2020-07-31,191302
151,2020-08-01,196543
152,2020-08-02,201919
153,2020-08-03,206743
154,2020-08-04,213535
155,2020-08-05,220682
156,2020-08-06,228195
157,2020-08-07,235677
158,2020-08-08,241811
159,2020-08-09,246499
160,2020-08-10,253868
161,2020-08-11,260911
162,2020-08-12,268574
163,2020-08-13,276072
164,2020-08-14,282437
165,2020-08-15,289100
166,2020-08-16,294569
167,2020-08-17,299126
168,2020-08-18,305966
169,2020-08-19,312659
170,2020-08-20,320884
171,2020-08-21,329043
172,2020-08-22,336802
173,2020-08-23,342154
174,2020-08-24,350867
175,2020-08-25,359638
176,2020-08-26,370188
177,2020-08-27,380292
178,2020-08-28,392009
179,2020-08-29,401239
180,2020-08-30,408426
181,2020-08-31,417735
182,2020-09-01,428239
183,2020-09-02,439172
184,2020-09-03,451198
185,2020-09-04,461882
186,2020-09-05,471806
187,2020-09-06,478792
188,2020-09-07,488007
189,2020-09-08,500034
190,2020-09-09,512293
191,2020-09-10,524198
192,2020-09-11,535705
193,2020-09-12,546481
194,2020-09-13,555537
195,2020-09-14,565446
196,2020-09-15,577338
197,2020-09-16,589012
198,2020-09-17,601713
199,2020-09-18,613658
200,2020-09-19,622934
201,2020-09-20,631365
202,2020-09-21,640147
203,2020-09-22,652174
204,2020-09-23,664799
205,2020-09-24,678266
206,2020-09-25,691235
207,2020-09-26,702484
208,2020-09-27,711325
209,2020-09-28,723132
210,2020-09-29,736609
211,2020-09-30,751001
212,2020-10-01,765002
213,2020-10-02,779689
214,2020-10-03,790818
215,2020-10-04,798486
216,2020-10-05,809728
217,2020-10-06,824468
218,2020-10-07,840915
219,2020-10-08,856369
220,2020-10-09,871468
221,2020-10-10,883882
222,2020-10-11,894206
223,2020-10-12,903730
224,2020-10-13,917035
225,2020-10-14,931967
226,2020-10-15,949063
227,2020-10-16,965609
228,2020-10-17,979119
229,2020-10-18,989680
230,2020-10-19,1002662
231,2020-10-20,1018999
232,2020-10-21,1037325
233,2020-10-22,1053650
234,2020-10-23,1069368
235,2020-10-24,1081336
236,2020-10-25,1090589
237,2020-10-26,1102301
238,2020-10-27,1116609
239,2020-10-28,1130533
240,2020-10-29,1143800
241,2020-10-30,1157179
242,2020-10-31,1166924
243,2020-11-01,1173533
244,2020-11-02,1183131
245,2020-11-03,1195276
246,2020-11-04,1205928
247,2020-11-05,1217028
248,2020-11-06,1228814
249,2020-11-07,1236851
250,2020-11-08,1242182
251,2020-11-09,1250499
252,2020-11-10,1262476
253,2020-11-11,1273356
254,2020-11-12,1284519
255,2020-11-13,1296378
256,2020-11-14,1304846
257,2020-11-15,1310491
258,2020-11-16,1318384
259,2020-11-17,1329005
260,2020-11-18,1339337
261,2020-11-19,1349434
262,2020-11-20,1359042
263,2020-11-21,1366182
264,2020-11-22,1370366
265,2020-11-23,1374631
266,2020-11-24,1381795
267,2020-11-25,1390388
268,2020-11-26,1399431
269,2020-11-27,1407277
270,2020-11-28,1413375
271,2020-11-29,1418807
272,2020-11-30,1424533
273,2020-12-01,1432570
274,2020-12-02,1440103
275,2020-12-03,1447732
276,2020-12-04,1454631
277,2020-12-05,1459832
278,2020-12-06,1463110
279,2020-12-07,1466309
280,2020-12-08,1469919
281,2020-12-09,1475222
282,2020-12-10,1482216
283,2020-12-11,1489328
284,2020-12-12,1494602
285,2020-12-13,1498160
286,2020-12-14,1503222
287,2020-12-15,1510203
288,2020-12-16,1517046
289,2020-12-17,1524372
290,2020-12-18,1531374
291,2020-12-19,1537169
292,2020-12-20,1541285
293,2020-12-21,1547138
294,2020-12-22,1555279
295,2020-12-23,1563865
296,2020-12-24,1563865
297,2020-12-25,1574554
298,2020-12-26,1578267
299,2020-12-27,1583297
300,2020-12-28,1590513
301,2020-12-29,1602163
302,2020-12-30,1613928
303,2020-12-31,1625514
304,2021-01-01,1629594
305,2021-01-02,1634834
306,2021-01-03,1640718
307,2021-01-04,1648940
308,2021-01-05,1662730
309,2021-01-06,1676171
310,2021-01-07,1690006
311,2021-01-08,1703352
312,2021-01-09,1714409
313,2021-01-10,1722217
314,2021-01-11,1730921
315,2021-01-12,1744704
316,2021-01-13,1757429
317,2021-01-14,1770715
318,2021-01-15,1783047
319,2021-01-16,1791979
320,2021-01-17,1799243
321,2021-01-18,1807428
322,2021-01-19,1819569
323,2021-01-20,1831681
324,2021-01-21,1843077
325,2021-01-22,1853830
326,2021-01-23,1862192
327,2021-01-24,1867223
328,2021-01-25,1874801
329,2021-01-26,1885210
330,2021-01-27,1896053
331,2021-01-28,1905524
