,Date,Cases
0,2020-03-01,1
1,2020-03-02,1
2,2020-03-03,1
3,2020-03-04,1
4,2020-03-05,1
5,2020-03-06,1
6,2020-03-07,1
7,2020-03-08,1
8,2020-03-09,1
9,2020-03-10,1
10,2020-03-11,1
11,2020-03-12,4
12,2020-03-13,8
13,2020-03-14,18
14,2020-03-15,26
15,2020-03-16,52
16,2020-03-17,78
17,2020-03-18,84
18,2020-03-19,115
19,2020-03-20,136
20,2020-03-21,160
21,2020-03-22,194
22,2020-03-23,235
23,2020-03-24,249
24,2020-03-25,265
25,2020-03-26,290
26,2020-03-27,329
27,2020-03-28,407
28,2020-03-29,424
29,2020-03-30,482
30,2020-03-31,532
31,2020-04-01,571
32,2020-04-02,663
33,2020-04-03,736
34,2020-04-04,770
35,2020-04-05,822
36,2020-04-06,833
37,2020-04-07,853
38,2020-04-08,881
39,2020-04-09,921
40,2020-04-10,937
41,2020-04-11,967
42,2020-04-12,1013
43,2020-04-13,1039
44,2020-04-14,1067
45,2020-04-15,1111
46,2020-04-16,1159
47,2020-04-17,1201
48,2020-04-18,1248
49,2020-04-19,1291
50,2020-04-20,1339
51,2020-04-21,1401
52,2020-04-22,1473
53,2020-04-23,1523
54,2020-04-24,1596
55,2020-04-25,1677
56,2020-04-26,1746
57,2020-04-27,1808
58,2020-04-28,1867
59,2020-04-29,1932
60,2020-04-30,2066
61,2020-05-01,2148
62,2020-05-02,2273
63,2020-05-03,2386
64,2020-05-04,2507
65,2020-05-05,2619
66,2020-05-06,2782
67,2020-05-07,2884
68,2020-05-08,3029
69,2020-05-09,3175
70,2020-05-10,3313
71,2020-05-11,3392
72,2020-05-12,3538
73,2020-05-13,3718
74,2020-05-14,3860
75,2020-05-15,4044
76,2020-05-16,4283
77,2020-05-17,4472
78,2020-05-18,4823
79,2020-05-19,5041
80,2020-05-20,5271
81,2020-05-21,5606
82,2020-05-22,5928
83,2020-05-23,6302
84,2020-05-24,6661
85,2020-05-25,7113
86,2020-05-26,7402
87,2020-05-27,7774
88,2020-05-28,8216
89,2020-05-29,8676
90,2020-05-30,8927
91,2020-05-31,9282
92,2020-06-01,9492
93,2020-06-02,10009
94,2020-06-03,10524
95,2020-06-04,11221
96,2020-06-05,11817
97,2020-06-06,12364
98,2020-06-07,13130
99,2020-06-08,13325
100,2020-06-09,13675
101,2020-06-10,14103
102,2020-06-11,14669
103,2020-06-12,15281
104,2020-06-13,16004
105,2020-06-14,16667
106,2020-06-15,17064
107,2020-06-16,17489
108,2020-06-17,18033
109,2020-06-18,18698
110,2020-06-19,19157
111,2020-06-20,19708
112,2020-06-21,20268
113,2020-06-22,20588
114,2020-06-23,21006
115,2020-06-24,21717
116,2020-06-25,22488
117,2020-06-26,23247
118,2020-06-27,23909
119,2020-06-28,24645
120,2020-06-29,25127
121,2020-06-30,25542
122,2020-07-01,26065
123,2020-07-02,26658
124,2020-07-03,27320
125,2020-07-04,27900
126,2020-07-05,28606
127,2020-07-06,28936
128,2020-07-07,29285
129,2020-07-08,29820
130,2020-07-09,30346
131,2020-07-10,30903
132,2020-07-11,31392
133,2020-07-12,31969
134,2020-07-13,32151
135,2020-07-14,32490
136,2020-07-15,33005
137,2020-07-16,33559
138,2020-07-17,34001
139,2020-07-18,34462
140,2020-07-19,34877
141,2020-07-20,34981
142,2020-07-21,35254
143,2020-07-22,35693
144,2020-07-23,36162
145,2020-07-24,36613
146,2020-07-25,36996
147,2020-07-26,37317
148,2020-07-27,37390
149,2020-07-28,37629
150,2020-07-29,37937
151,2020-07-30,38196
152,2020-07-31,38550
153,2020-08-01,38841
154,2020-08-02,39050
155,2020-08-03,39102
156,2020-08-04,39298
157,2020-08-05,39586
158,2020-08-06,39819
159,2020-08-07,39985
160,2020-08-08,40185
161,2020-08-09,40410
162,2020-08-10,40433
163,2020-08-11,40593
164,2020-08-12,40794
165,2020-08-13,41023
166,2020-08-14,41299
167,2020-08-15,41495
168,2020-08-16,41663
169,2020-08-17,41701
170,2020-08-18,41846
171,2020-08-19,42056
172,2020-08-20,42319
173,2020-08-21,42477
174,2020-08-22,42616
175,2020-08-23,42792
176,2020-08-24,42825
177,2020-08-25,42936
178,2020-08-26,43067
179,2020-08-27,43270
180,2020-08-28,43451
181,2020-08-29,43626
182,2020-08-30,43750
183,2020-08-31,43781
184,2020-09-01,43878
185,2020-09-02,44075
186,2020-09-03,44271
187,2020-09-04,44461
188,2020-09-05,44649
189,2020-09-06,44783
190,2020-09-07,44845
191,2020-09-08,44953
192,2020-09-09,45152
193,2020-09-10,45326
194,2020-09-11,45503
195,2020-09-12,45675
196,2020-09-13,45862
197,2020-09-14,45969
198,2020-09-15,46119
199,2020-09-16,46376
200,2020-09-17,46671
201,2020-09-18,46910
202,2020-09-19,47154
203,2020-09-20,47431
204,2020-09-21,47552
205,2020-09-22,47667
206,2020-09-23,47877
207,2020-09-24,48251
208,2020-09-25,48643
209,2020-09-26,49072
210,2020-09-27,49400
211,2020-09-28,49574
212,2020-09-29,49901
213,2020-09-30,50359
214,2020-10-01,50850
215,2020-10-02,51382
216,2020-10-03,51925
217,2020-10-04,52496
218,2020-10-05,52677
219,2020-10-06,53083
220,2020-10-07,53755
221,2020-10-08,54473
222,2020-10-09,55087
223,2020-10-10,55736
224,2020-10-11,56451
225,2020-10-12,56821
226,2020-10-13,57566
227,2020-10-14,58624
228,2020-10-15,59995
229,2020-10-16,61460
230,2020-10-17,63000
231,2020-10-18,64694
232,2020-10-19,65460
233,2020-10-20,66694
234,2020-10-21,68530
235,2020-10-22,70836
236,2020-10-23,73310
237,2020-10-24,75523
