,Date,Cases
0,2020-01-26,4
1,2020-01-27,5
2,2020-01-28,5
3,2020-01-29,6
4,2020-01-30,9
5,2020-01-31,9
6,2020-02-01,12
7,2020-02-02,12
8,2020-02-03,12
9,2020-02-04,13
10,2020-02-05,13
11,2020-02-06,14
12,2020-02-07,15
13,2020-02-08,15
14,2020-02-09,15
15,2020-02-10,15
16,2020-02-11,15
17,2020-02-12,15
18,2020-02-13,15
19,2020-02-14,15
20,2020-02-15,15
21,2020-02-16,15
22,2020-02-17,15
23,2020-02-18,15
24,2020-02-19,15
25,2020-02-20,15
26,2020-02-21,15
27,2020-02-22,15
28,2020-02-23,15
29,2020-02-24,15
30,2020-02-25,15
31,2020-02-26,15
32,2020-02-27,15
33,2020-02-28,15
34,2020-02-29,25
35,2020-03-01,27
36,2020-03-02,30
37,2020-03-03,39
38,2020-03-04,52
39,2020-03-05,55
40,2020-03-06,60
41,2020-03-07,63
42,2020-03-08,76
43,2020-03-09,91
44,2020-03-10,107
45,2020-03-11,128
46,2020-03-12,128
47,2020-03-13,200
48,2020-03-14,250
49,2020-03-15,297
50,2020-03-16,377
51,2020-03-17,452
52,2020-03-18,568
53,2020-03-19,681
54,2020-03-20,791
55,2020-03-21,1071
56,2020-03-22,1549
57,2020-03-23,1682
58,2020-03-24,2044
59,2020-03-25,2364
60,2020-03-26,2810
61,2020-03-27,3143
62,2020-03-28,3640
63,2020-03-29,3984
64,2020-03-30,4361
65,2020-03-31,4559
66,2020-04-01,4862
67,2020-04-02,5116
68,2020-04-03,5330
69,2020-04-04,5550
70,2020-04-05,5687
71,2020-04-06,5797
72,2020-04-07,5895
73,2020-04-08,6010
74,2020-04-09,6108
75,2020-04-10,6215
76,2020-04-11,6303
77,2020-04-12,6315
78,2020-04-13,6351
79,2020-04-14,6415
80,2020-04-15,6440
81,2020-04-16,6462
82,2020-04-17,6522
83,2020-04-18,6568
84,2020-04-19,6610
85,2020-04-20,6623
86,2020-04-21,6645
87,2020-04-22,6652
88,2020-04-23,6662
89,2020-04-24,6677
90,2020-04-25,6694
91,2020-04-26,6714
92,2020-04-27,6721
93,2020-04-28,6744
94,2020-04-29,6752
95,2020-04-30,6766
96,2020-05-01,6778
97,2020-05-02,6799
98,2020-05-03,6822
99,2020-05-04,6847
100,2020-05-05,6875
101,2020-05-06,6894
102,2020-05-07,6913
103,2020-05-08,6918
104,2020-05-09,6939
105,2020-05-10,6948
106,2020-05-11,6970
107,2020-05-12,6980
108,2020-05-13,6989
109,2020-05-14,7019
110,2020-05-15,7035
111,2020-05-16,7044
112,2020-05-17,7054
113,2020-05-18,7068
114,2020-05-19,7072
115,2020-05-20,7081
116,2020-05-21,7095
117,2020-05-22,7099
118,2020-05-23,7114
119,2020-05-24,7114
120,2020-05-25,7126
121,2020-05-26,7139
122,2020-05-27,7150
123,2020-05-28,7165
124,2020-05-29,7184
125,2020-05-30,7192
126,2020-05-31,7202
127,2020-06-01,7221
128,2020-06-02,7229
129,2020-06-03,7240
130,2020-06-04,7247
131,2020-06-05,7252
132,2020-06-06,7259
133,2020-06-07,7265
134,2020-06-08,7267
135,2020-06-09,7274
136,2020-06-10,7285
137,2020-06-11,7289
138,2020-06-12,7294
139,2020-06-13,7320
140,2020-06-14,7335
141,2020-06-15,7347
142,2020-06-16,7370
143,2020-06-17,7391
144,2020-06-18,7409
145,2020-06-19,7411
146,2020-06-20,7461
147,2020-06-21,7474
148,2020-06-22,7492
149,2020-06-23,7521
150,2020-06-24,7558
151,2020-06-25,7595
152,2020-06-26,7601
153,2020-06-27,7686
154,2020-06-28,7764
155,2020-06-29,7834
156,2020-06-30,7920
157,2020-07-01,8001
158,2020-07-02,8066
159,2020-07-03,8260
160,2020-07-04,8443
161,2020-07-05,8583
162,2020-07-06,8755
163,2020-07-07,8886
164,2020-07-08,9056
165,2020-07-09,9374
166,2020-07-10,9553
167,2020-07-11,9797
168,2020-07-12,9980
169,2020-07-13,10251
170,2020-07-14,10487
171,2020-07-15,10810
172,2020-07-16,11233
173,2020-07-17,11441
174,2020-07-18,11802
175,2020-07-19,12069
176,2020-07-20,12428
177,2020-07-21,12894
178,2020-07-22,13302
179,2020-07-23,13595
180,2020-07-24,13950
181,2020-07-25,14403
182,2020-07-26,14935
183,2020-07-27,15303
184,2020-07-28,15582
185,2020-07-29,16298
186,2020-07-30,16903
187,2020-07-31,17280
188,2020-08-01,17895
189,2020-08-02,18318
190,2020-08-03,18730
191,2020-08-04,19445
192,2020-08-05,19890
193,2020-08-06,20272
194,2020-08-07,20698
195,2020-08-08,21084
196,2020-08-09,21397
197,2020-08-10,21713
198,2020-08-11,22127
199,2020-08-12,22358
200,2020-08-13,22742
201,2020-08-14,23035
202,2020-08-15,23287
203,2020-08-16,23558
204,2020-08-17,23773
205,2020-08-18,23989
206,2020-08-19,24236
207,2020-08-20,24407
208,2020-08-21,24602
209,2020-08-22,24811
210,2020-08-23,24915
211,2020-08-24,25053
212,2020-08-25,25204
213,2020-08-26,25322
214,2020-08-27,25448
215,2020-08-28,25547
216,2020-08-29,25670
217,2020-08-30,25746
218,2020-08-31,25819
219,2020-09-01,25923
220,2020-09-02,26049
221,2020-09-03,26136
222,2020-09-04,26207
223,2020-09-05,26278
224,2020-09-06,26321
225,2020-09-07,26373
226,2020-09-08,26465
227,2020-09-09,26524
228,2020-09-10,26564
229,2020-09-11,26607
230,2020-09-12,26651
231,2020-09-13,26692
232,2020-09-14,26739
233,2020-09-15,26778
234,2020-09-16,26813
235,2020-09-17,26861
236,2020-09-18,26885
237,2020-09-19,26898
238,2020-09-20,26912
239,2020-09-21,26942
240,2020-09-22,26972
241,2020-09-23,26980
242,2020-09-24,27000
243,2020-09-25,27016
244,2020-09-26,27040
245,2020-09-27,27044
246,2020-09-28,27055
247,2020-09-29,27078
