,Date,Cases
0,2020-02-25,2
1,2020-02-26,2
2,2020-02-27,3
3,2020-02-28,3
4,2020-02-29,9
5,2020-03-01,14
6,2020-03-02,18
7,2020-03-03,21
8,2020-03-04,29
9,2020-03-05,41
10,2020-03-06,55
11,2020-03-07,79
12,2020-03-08,104
13,2020-03-09,131
14,2020-03-10,182
15,2020-03-11,246
16,2020-03-12,302
17,2020-03-13,504
18,2020-03-14,655
19,2020-03-15,860
20,2020-03-16,1018
21,2020-03-17,1332
22,2020-03-18,1646
23,2020-03-19,2013
24,2020-03-20,2388
25,2020-03-21,2814
26,2020-03-22,3582
27,2020-03-23,4474
28,2020-03-24,5283
29,2020-03-25,5588
30,2020-03-26,6909
31,2020-03-27,7657
32,2020-03-28,8271
33,2020-03-29,8788
34,2020-03-30,9618
35,2020-03-31,10180
36,2020-04-01,10711
37,2020-04-02,11129
38,2020-04-03,11524
39,2020-04-04,11781
40,2020-04-05,12051
41,2020-04-06,12297
42,2020-04-07,12639
43,2020-04-08,12942
44,2020-04-09,13244
45,2020-04-10,13555
46,2020-04-11,13806
47,2020-04-12,13945
48,2020-04-13,14041
49,2020-04-14,14226
50,2020-04-15,14336
51,2020-04-16,14476
52,2020-04-17,14595
53,2020-04-18,14671
54,2020-04-19,14749
55,2020-04-20,14795
56,2020-04-21,14873
57,2020-04-22,14925
58,2020-04-23,15002
59,2020-04-24,15071
60,2020-04-25,15148
61,2020-04-26,15225
62,2020-04-27,15274
63,2020-04-28,15357
64,2020-04-29,15402
65,2020-04-30,15452
66,2020-05-01,15531
67,2020-05-02,15558
68,2020-05-03,15597
69,2020-05-04,15621
70,2020-05-05,15650
71,2020-05-06,15684
72,2020-05-07,15752
73,2020-05-08,15774
74,2020-05-09,15833
75,2020-05-10,15871
76,2020-05-11,15882
77,2020-05-12,15961
78,2020-05-13,15997
79,2020-05-14,16058
80,2020-05-15,16109
81,2020-05-16,16201
82,2020-05-17,16242
83,2020-05-18,16269
84,2020-05-19,16321
85,2020-05-20,16353
86,2020-05-21,16404
87,2020-05-22,16436
88,2020-05-23,16486
89,2020-05-24,16503
90,2020-05-25,16539
91,2020-05-26,16557
92,2020-05-27,16591
93,2020-05-28,16628
94,2020-05-29,16655
95,2020-05-30,16685
96,2020-05-31,16731
97,2020-06-01,16733
98,2020-06-02,16759
99,2020-06-03,16771
100,2020-06-04,16805
101,2020-06-05,16843
102,2020-06-06,16898
103,2020-06-07,16902
104,2020-06-08,16968
105,2020-06-09,16979
106,2020-06-10,17005
107,2020-06-11,17034
108,2020-06-12,17064
109,2020-06-13,17078
110,2020-06-14,17109
111,2020-06-15,17135
112,2020-06-16,17189
113,2020-06-17,17203
114,2020-06-18,17223
115,2020-06-19,17271
116,2020-06-20,17323
117,2020-06-21,17341
118,2020-06-22,17380
119,2020-06-23,17408
120,2020-06-24,17449
121,2020-06-25,17477
122,2020-06-26,17522
123,2020-06-27,17580
124,2020-06-28,17654
125,2020-06-29,17723
126,2020-06-30,17766
127,2020-07-01,17873
128,2020-07-02,17941
129,2020-07-03,18050
130,2020-07-04,18165
131,2020-07-05,18280
132,2020-07-06,18365
133,2020-07-07,18421
134,2020-07-08,18513
135,2020-07-09,18615
136,2020-07-10,18709
137,2020-07-11,18783
138,2020-07-12,18897
139,2020-07-13,18948
140,2020-07-14,19021
141,2020-07-15,19154
142,2020-07-16,19270
143,2020-07-17,19439
144,2020-07-18,19573
145,2020-07-19,19655
146,2020-07-20,19743
147,2020-07-21,19827
148,2020-07-22,19929
149,2020-07-23,20099
150,2020-07-24,20214
151,2020-07-25,20338
152,2020-07-26,20472
153,2020-07-27,20558
154,2020-07-28,20677
155,2020-07-29,20850
156,2020-07-30,20955
157,2020-07-31,21130
158,2020-08-01,21212
159,2020-08-02,21304
160,2020-08-03,21385
161,2020-08-04,21481
162,2020-08-05,21566
163,2020-08-06,21696
164,2020-08-07,21837
165,2020-08-08,21919
166,2020-08-09,22033
167,2020-08-10,22106
168,2020-08-11,22245
169,2020-08-12,22439
170,2020-08-13,22594
171,2020-08-14,22876
172,2020-08-15,23179
173,2020-08-16,23370
174,2020-08-17,23534
175,2020-08-18,23829
176,2020-08-19,24084
177,2020-08-20,24431
178,2020-08-21,24762
179,2020-08-22,25062
180,2020-08-23,25253
181,2020-08-24,25495
182,2020-08-25,25706
183,2020-08-26,26033
184,2020-08-27,26361
185,2020-08-28,26590
186,2020-08-29,26985
187,2020-08-30,27166
188,2020-08-31,27438
189,2020-09-01,27642
190,2020-09-02,27969
191,2020-09-03,28372
192,2020-09-04,28729
193,2020-09-05,29087
194,2020-09-06,29271
195,2020-09-07,29561
196,2020-09-08,30081
197,2020-09-09,30583
198,2020-09-10,31247
199,2020-09-11,31827
200,2020-09-12,32696
201,2020-09-13,33159
202,2020-09-14,33541
203,2020-09-15,34305
204,2020-09-16,35073
205,2020-09-17,35853
206,2020-09-18,36661
207,2020-09-19,37474
208,2020-09-20,38095
209,2020-09-21,38658
210,2020-09-22,39303
211,2020-09-23,39984
212,2020-09-24,40816
213,2020-09-25,41500
214,2020-09-26,42214
215,2020-09-27,42876
216,2020-09-28,43432
217,2020-09-29,44041
218,2020-09-30,44813
219,2020-10-01,45686
220,2020-10-02,46374
221,2020-10-03,47432
222,2020-10-04,48146
223,2020-10-05,48896
224,2020-10-06,49819
225,2020-10-07,50848
226,2020-10-08,52057
227,2020-10-09,53188
228,2020-10-10,54423
229,2020-10-11,55319
230,2020-10-12,56298
231,2020-10-13,57326
232,2020-10-14,58672
233,2020-10-15,60224
234,2020-10-16,61387
235,2020-10-17,63134
236,2020-10-18,64806
237,2020-10-19,65927
238,2020-10-20,67451
239,2020-10-21,69409
240,2020-10-22,71844
241,2020-10-23,74415
242,2020-10-24,78029
243,2020-10-25,80811
244,2020-10-26,83267
245,2020-10-27,86102
246,2020-10-28,89496
247,2020-10-29,93949
248,2020-10-30,99576
249,2020-10-31,104925
250,2020-11-01,109881
251,2020-11-02,114016
252,2020-11-03,118198
253,2020-11-04,125099
254,2020-11-05,132515
255,2020-11-06,138979
256,2020-11-07,147220
257,2020-11-08,153153
258,2020-11-09,158746
259,2020-11-10,164866
260,2020-11-11,172380
261,2020-11-12,181642
262,2020-11-13,191228
263,2020-11-14,198291
264,2020-11-15,203956
265,2020-11-16,208613
266,2020-11-17,214597
267,2020-11-18,221688
268,2020-11-19,228683
269,2020-11-20,235351
270,2020-11-21,241962
271,2020-11-22,247188
272,2020-11-23,250333
273,2020-11-24,254710
274,2020-11-25,260512
275,2020-11-26,266038
276,2020-11-27,270992
277,2020-11-28,275661
278,2020-11-29,279708
279,2020-11-30,282456
280,2020-12-01,285489
281,2020-12-02,289461
282,2020-12-03,293430
283,2020-12-04,297245
284,2020-12-05,300689
285,2020-12-06,303430
286,2020-12-07,305693
287,2020-12-08,308070
288,2020-12-09,311002
289,2020-12-10,313688
290,2020-12-11,316581
291,2020-12-12,319822
292,2020-12-13,322463
293,2020-12-14,325051
294,2020-12-15,327679
295,2020-12-16,330343
296,2020-12-17,332828
297,2020-12-18,334913
298,2020-12-19,337209
299,2020-12-20,338854
300,2020-12-21,340373
301,2020-12-22,342226
302,2020-12-23,344357
303,2020-12-24,347204
304,2020-12-25,349055
305,2020-12-26,350484
306,2020-12-27,351892
307,2020-12-28,353484
308,2020-12-29,355352
309,2020-12-30,357902
310,2020-12-31,360815
311,2021-01-01,362911
312,2021-01-02,364302
313,2021-01-03,365768
314,2021-01-04,367410
315,2021-01-05,369721
316,2021-01-06,372190
317,2021-01-07,374730
318,2021-01-08,376793
319,2021-01-09,379071
320,2021-01-10,380722
321,2021-01-11,382258
322,2021-01-12,383833
323,2021-01-13,385750
324,2021-01-14,389260
325,2021-01-15,390788
326,2021-01-16,392511
327,2021-01-17,393778
328,2021-01-18,394939
329,2021-01-19,396425
330,2021-01-20,398096
331,2021-01-21,399798
332,2021-01-22,401886
333,2021-01-23,403512
334,2021-01-24,404714
335,2021-01-25,405723
336,2021-01-26,407140
337,2021-01-27,408781
338,2021-01-28,410230
