,Date,Cases
0,2020-03-01,3
1,2020-03-02,3
2,2020-03-03,3
3,2020-03-04,3
4,2020-03-05,6
5,2020-03-06,6
6,2020-03-07,9
7,2020-03-08,9
8,2020-03-09,9
9,2020-03-10,11
10,2020-03-11,11
11,2020-03-12,11
12,2020-03-13,15
13,2020-03-14,15
14,2020-03-15,23
15,2020-03-16,28
16,2020-03-17,28
17,2020-03-18,28
18,2020-03-19,44
19,2020-03-20,44
20,2020-03-21,53
21,2020-03-22,65
22,2020-03-23,72
23,2020-03-24,87
24,2020-03-25,93
25,2020-03-26,122
26,2020-03-27,165
27,2020-03-28,182
28,2020-03-29,209
29,2020-03-30,273
30,2020-03-31,298
31,2020-04-01,359
32,2020-04-02,400
33,2020-04-03,443
34,2020-04-04,521
35,2020-04-05,584
36,2020-04-06,641
37,2020-04-07,717
38,2020-04-08,822
39,2020-04-09,926
40,2020-04-10,991
41,2020-04-11,1058
42,2020-04-12,1098
43,2020-04-13,1148
44,2020-04-14,1197
45,2020-04-15,1253
46,2020-04-16,1283
47,2020-04-17,1340
48,2020-04-18,1373
49,2020-04-19,1398
50,2020-04-20,1436
51,2020-04-21,1480
52,2020-04-22,1518
53,2020-04-23,1548
54,2020-04-24,1592
55,2020-04-25,1617
56,2020-04-26,1645
57,2020-04-27,1678
58,2020-04-28,1717
59,2020-04-29,1766
60,2020-04-30,1804
61,2020-05-01,1854
62,2020-05-02,1894
63,2020-05-03,1932
64,2020-05-04,1984
65,2020-05-05,2060
66,2020-05-06,2127
67,2020-05-07,2204
68,2020-05-08,2279
69,2020-05-09,2422
70,2020-05-10,2519
71,2020-05-11,2589
72,2020-05-12,2693
73,2020-05-13,2758
74,2020-05-14,2879
75,2020-05-15,2980
76,2020-05-16,3138
77,2020-05-17,3274
78,2020-05-18,3387
79,2020-05-19,3518
80,2020-05-20,3631
81,2020-05-21,3749
82,2020-05-22,3855
83,2020-05-23,3982
84,2020-05-24,4122
85,2020-05-25,4271
86,2020-05-26,4403
87,2020-05-27,4568
88,2020-05-28,4759
89,2020-05-29,4989
90,2020-05-30,5246
91,2020-05-31,5494
92,2020-06-01,5662
93,2020-06-02,5935
94,2020-06-03,6260
95,2020-06-04,6522
96,2020-06-05,6860
97,2020-06-06,7239
98,2020-06-07,7553
99,2020-06-08,7876
100,2020-06-09,8191
101,2020-06-10,8530
102,2020-06-11,8882
103,2020-06-12,9218
104,2020-06-13,9570
105,2020-06-14,9957
106,2020-06-15,10324
107,2020-06-16,10662
108,2020-06-17,10991
109,2020-06-18,11329
110,2020-06-19,11767
111,2020-06-20,12238
112,2020-06-21,12729
113,2020-06-22,13207
114,2020-06-23,13715
115,2020-06-24,14305
116,2020-06-25,14852
117,2020-06-26,15369
118,2020-06-27,15890
119,2020-06-28,16424
120,2020-06-29,16968
121,2020-06-30,17524
122,2020-07-01,18112
123,2020-07-02,18684
124,2020-07-03,19267
125,2020-07-04,19801
126,2020-07-05,20324
127,2020-07-06,20837
128,2020-07-07,21374
129,2020-07-08,21916
130,2020-07-09,22464
131,2020-07-10,22990
132,2020-07-11,23521
133,2020-07-12,24041
134,2020-07-13,24570
135,2020-07-14,25113
136,2020-07-15,25672
137,2020-07-16,26165
138,2020-07-17,26636
139,2020-07-18,27133
140,2020-07-19,27521
141,2020-07-20,27890
142,2020-07-21,28242
143,2020-07-22,28633
144,2020-07-23,28980
145,2020-07-24,29312
146,2020-07-25,29633
147,2020-07-26,30050
148,2020-07-27,30446
149,2020-07-28,30858
150,2020-07-29,31221
151,2020-07-30,31560
152,2020-07-31,31878
153,2020-08-01,32157
154,2020-08-02,32443
155,2020-08-03,32684
156,2020-08-04,32910
157,2020-08-05,33103
158,2020-08-06,33247
159,2020-08-07,33376
160,2020-08-08,33481
161,2020-08-09,33568
162,2020-08-10,33647
163,2020-08-11,33731
164,2020-08-12,33824
165,2020-08-13,33915
166,2020-08-14,34018
167,2020-08-15,34107
168,2020-08-16,34219
169,2020-08-17,34343
170,2020-08-18,34474
171,2020-08-19,34620
172,2020-08-20,34759
173,2020-08-21,34921
174,2020-08-22,35105
175,2020-08-23,35274
176,2020-08-24,35426
177,2020-08-25,35559
178,2020-08-26,35707
179,2020-08-27,35844
180,2020-08-28,35986
181,2020-08-29,36174
182,2020-08-30,36309
