,Date,Cases
0,2020-03-16,1
1,2020-03-17,1
2,2020-03-18,1
3,2020-03-19,3
4,2020-03-20,3
5,2020-03-21,4
6,2020-03-22,4
7,2020-03-23,4
8,2020-03-24,5
9,2020-03-25,5
10,2020-03-26,9
11,2020-03-27,10
12,2020-03-28,10
13,2020-03-29,11
14,2020-03-30,14
15,2020-03-31,14
16,2020-04-01,21
17,2020-04-02,24
18,2020-04-03,24
19,2020-04-04,28
20,2020-04-05,28
21,2020-04-06,29
22,2020-04-07,33
23,2020-04-08,40
24,2020-04-09,41
25,2020-04-10,42
26,2020-04-11,46
27,2020-04-12,46
28,2020-04-13,47
29,2020-04-14,49
30,2020-04-15,49
31,2020-04-16,53
32,2020-04-17,54
33,2020-04-18,55
34,2020-04-19,55
35,2020-04-20,60
36,2020-04-21,65
37,2020-04-22,65
38,2020-04-23,72
39,2020-04-24,73
40,2020-04-25,78
41,2020-04-26,80
42,2020-04-27,80
43,2020-04-28,80
44,2020-04-29,80
45,2020-04-30,81
46,2020-05-01,81
47,2020-05-02,83
48,2020-05-03,83
49,2020-05-04,83
50,2020-05-05,89
51,2020-05-06,92
52,2020-05-07,92
53,2020-05-08,92
54,2020-05-09,92
55,2020-05-10,92
56,2020-05-11,93
57,2020-05-12,93
58,2020-05-13,94
59,2020-05-14,96
60,2020-05-15,96
61,2020-05-16,96
62,2020-05-17,96
63,2020-05-18,96
64,2020-05-19,96
65,2020-05-20,97
66,2020-05-21,97
67,2020-05-22,97
68,2020-05-23,100
69,2020-05-24,100
70,2020-05-25,100
71,2020-05-26,100
72,2020-05-27,100
73,2020-05-28,101
74,2020-05-29,102
75,2020-05-30,102
76,2020-05-31,102
77,2020-06-01,102
78,2020-06-02,102
79,2020-06-03,102
80,2020-06-04,102
81,2020-06-05,102
82,2020-06-06,103
83,2020-06-07,103
84,2020-06-08,103
85,2020-06-09,103
86,2020-06-10,103
87,2020-06-11,103
88,2020-06-12,103
89,2020-06-13,103
90,2020-06-14,103
91,2020-06-15,103
92,2020-06-16,104
93,2020-06-17,104
94,2020-06-18,104
95,2020-06-19,104
96,2020-06-20,104
97,2020-06-21,104
98,2020-06-22,104
99,2020-06-23,104
100,2020-06-24,104
101,2020-06-25,104
102,2020-06-26,104
103,2020-06-27,104
104,2020-06-28,104
105,2020-06-29,104
106,2020-06-30,104
107,2020-07-01,104
108,2020-07-02,104
109,2020-07-03,104
110,2020-07-04,104
111,2020-07-05,104
112,2020-07-06,104
113,2020-07-07,104
114,2020-07-08,106
115,2020-07-09,107
116,2020-07-10,108
117,2020-07-11,111
118,2020-07-12,111
119,2020-07-13,113
120,2020-07-14,116
121,2020-07-15,119
122,2020-07-16,124
123,2020-07-17,129
124,2020-07-18,138
125,2020-07-19,153
126,2020-07-20,174
127,2020-07-21,194
128,2020-07-22,219
129,2020-07-23,274
130,2020-07-24,316
131,2020-07-25,326
132,2020-07-26,342
133,2020-07-27,382
134,2020-07-28,447
135,2020-07-29,484
136,2020-07-30,508
137,2020-07-31,574
138,2020-08-01,599
139,2020-08-02,648
140,2020-08-03,679
141,2020-08-04,715
142,2020-08-05,751
143,2020-08-06,761
144,2020-08-07,830
145,2020-08-08,878
146,2020-08-09,898
147,2020-08-10,945
148,2020-08-11,989
149,2020-08-12,1036
150,2020-08-13,1089
151,2020-08-14,1119
152,2020-08-15,1252
153,2020-08-16,1315
154,2020-08-17,1329
155,2020-08-18,1424
156,2020-08-19,1531
157,2020-08-20,1610
158,2020-08-21,1703
159,2020-08-22,1765
160,2020-08-23,1784
161,2020-08-24,1798
162,2020-08-25,1813
163,2020-08-26,1923
164,2020-08-27,2020
165,2020-08-28,2057
166,2020-08-29,2135
167,2020-08-30,2167
168,2020-08-31,2217
169,2020-09-01,2276
170,2020-09-02,2337
171,2020-09-03,2386
172,2020-09-04,2386
173,2020-09-05,2476
174,2020-09-06,2506
175,2020-09-07,2546
176,2020-09-08,2585
177,2020-09-09,2721
178,2020-09-10,2721
179,2020-09-11,2814
180,2020-09-12,2928
181,2020-09-13,2928
182,2020-09-14,3008
183,2020-09-15,3032
184,2020-09-16,3087
185,2020-09-17,3177
186,2020-09-18,3177
187,2020-09-19,3214
188,2020-09-20,3315
189,2020-09-21,3418
190,2020-09-22,3467
191,2020-09-23,3618
192,2020-09-24,3699
193,2020-09-25,3790
194,2020-09-26,3790
195,2020-09-27,3838
196,2020-09-28,3838
197,2020-09-29,3903
198,2020-09-30,4123
199,2020-10-01,4123
200,2020-10-02,4220
201,2020-10-03,4332
202,2020-10-04,4409
203,2020-10-05,4452
204,2020-10-06,4559
205,2020-10-07,4713
206,2020-10-08,4713
207,2020-10-09,4713
208,2020-10-10,5023
209,2020-10-11,5078
210,2020-10-12,5163
211,2020-10-13,5163
212,2020-10-14,5191
213,2020-10-15,5385
214,2020-10-16,5517
215,2020-10-17,5628
216,2020-10-18,5703
217,2020-10-19,5773
218,2020-10-20,5923
219,2020-10-21,6051
220,2020-10-22,6135
221,2020-10-23,6268
