,Date,Cases
0,2020-02-24,1
1,2020-02-25,23
2,2020-02-26,33
3,2020-02-27,33
4,2020-02-28,36
5,2020-02-29,41
6,2020-03-01,47
7,2020-03-02,49
8,2020-03-03,49
9,2020-03-04,52
10,2020-03-05,55
11,2020-03-06,60
12,2020-03-07,85
13,2020-03-08,85
14,2020-03-09,95
15,2020-03-10,110
16,2020-03-11,195
17,2020-03-12,195
18,2020-03-13,195
19,2020-03-14,210
20,2020-03-15,214
21,2020-03-16,214
22,2020-03-17,228
23,2020-03-18,256
24,2020-03-19,278
25,2020-03-20,285
26,2020-03-21,305
27,2020-03-22,334
28,2020-03-23,377
29,2020-03-24,392
30,2020-03-25,419
31,2020-03-26,458
32,2020-03-27,466
33,2020-03-28,476
34,2020-03-29,499
35,2020-03-30,515
36,2020-03-31,567
37,2020-04-01,569
38,2020-04-02,643
39,2020-04-03,672
40,2020-04-04,688
41,2020-04-05,700
42,2020-04-06,756
43,2020-04-07,811
44,2020-04-08,823
45,2020-04-09,887
46,2020-04-10,925
47,2020-04-11,1040
48,2020-04-12,1136
49,2020-04-13,1361
50,2020-04-14,1528
51,2020-04-15,1671
52,2020-04-16,1700
53,2020-04-17,1740
54,2020-04-18,1773
55,2020-04-19,1881
56,2020-04-20,1907
57,2020-04-21,1973
58,2020-04-22,2027
59,2020-04-23,2217
60,2020-04-24,2518
61,2020-04-25,2588
62,2020-04-26,2647
63,2020-04-27,2723
64,2020-04-28,2811
65,2020-04-29,2921
66,2020-04-30,3040
67,2020-05-01,3170
68,2020-05-02,3284
69,2020-05-03,3383
70,2020-05-04,3533
71,2020-05-05,3720
72,2020-05-06,3934
73,2020-05-07,4199
74,2020-05-08,4444
75,2020-05-09,4774
76,2020-05-10,4941
77,2020-05-11,5236
78,2020-05-12,5531
79,2020-05-13,5816
80,2020-05-14,6198
81,2020-05-15,6583
82,2020-05-16,6747
83,2020-05-17,6956
84,2020-05-18,7184
85,2020-05-19,7532
86,2020-05-20,7888
87,2020-05-21,8174
88,2020-05-22,8414
89,2020-05-23,8802
90,2020-05-24,9138
91,2020-05-25,9171
92,2020-05-26,9366
93,2020-05-27,9692
94,2020-05-28,10052
95,2020-05-29,10449
96,2020-05-30,10793
97,2020-05-31,11398
98,2020-06-01,11871
99,2020-06-02,12311
100,2020-06-03,12815
101,2020-06-04,13296
102,2020-06-05,13835
103,2020-06-06,14383
104,2020-06-07,14763
105,2020-06-08,15417
106,2020-06-09,15731
107,2020-06-10,16200
108,2020-06-11,16667
109,2020-06-12,17269
110,2020-06-13,17713
111,2020-06-14,18227
112,2020-06-15,19013
113,2020-06-16,19553
114,2020-06-17,19961
115,2020-06-18,20430
116,2020-06-19,20916
117,2020-06-20,21331
118,2020-06-21,21764
119,2020-06-22,22407
120,2020-06-23,23062
121,2020-06-24,23570
122,2020-06-25,24081
123,2020-06-26,24805
124,2020-06-27,25267
125,2020-06-28,25705
126,2020-06-29,26239
127,2020-06-30,26758
128,2020-07-01,27414
129,2020-07-02,27837
130,2020-07-03,28410
131,2020-07-04,28857
132,2020-07-05,29367
133,2020-07-06,29821
134,2020-07-07,30321
135,2020-07-08,30931
136,2020-07-09,31528
137,2020-07-10,32039
138,2020-07-11,32470
139,2020-07-12,32941
140,2020-07-13,33476
141,2020-07-14,34078
142,2020-07-15,34560
