,Date,Cases
0,2020-03-08,3
1,2020-03-09,3
2,2020-03-10,3
3,2020-03-11,3
4,2020-03-12,3
5,2020-03-13,3
6,2020-03-14,3
7,2020-03-15,5
8,2020-03-16,8
9,2020-03-17,10
10,2020-03-18,14
11,2020-03-19,17
12,2020-03-20,20
13,2020-03-21,25
14,2020-03-22,27
15,2020-03-23,33
16,2020-03-24,39
17,2020-03-25,39
18,2020-03-26,44
19,2020-03-27,48
20,2020-03-28,48
21,2020-03-29,48
22,2020-03-30,49
23,2020-03-31,51
24,2020-04-01,54
25,2020-04-02,56
26,2020-04-03,61
27,2020-04-04,70
28,2020-04-05,88
29,2020-04-06,123
30,2020-04-07,164
31,2020-04-08,218
32,2020-04-09,330
33,2020-04-10,424
34,2020-04-11,482
35,2020-04-12,621
36,2020-04-13,803
37,2020-04-14,1012
38,2020-04-15,1231
39,2020-04-16,1572
40,2020-04-17,1838
41,2020-04-18,2144
42,2020-04-19,2456
43,2020-04-20,2948
44,2020-04-21,3382
45,2020-04-22,3772
46,2020-04-23,4186
47,2020-04-24,4689
48,2020-04-25,4998
49,2020-04-26,5416
50,2020-04-27,5913
51,2020-04-28,6462
52,2020-04-29,7103
53,2020-04-30,7667
54,2020-05-01,8238
55,2020-05-02,8790
56,2020-05-03,9455
57,2020-05-04,10143
58,2020-05-05,10929
59,2020-05-06,11719
60,2020-05-07,12425
61,2020-05-08,13134
62,2020-05-09,13770
63,2020-05-10,14657
64,2020-05-11,15691
65,2020-05-12,16660
66,2020-05-13,17822
67,2020-05-14,18863
68,2020-05-15,20065
69,2020-05-16,20995
70,2020-05-17,22268
71,2020-05-18,23870
72,2020-05-19,25121
73,2020-05-20,26738
74,2020-05-21,28511
75,2020-05-22,30205
76,2020-05-23,32078
77,2020-05-24,33610
78,2020-05-25,35585
79,2020-05-26,36751
80,2020-05-27,38292
81,2020-05-28,40321
82,2020-05-29,42844
83,2020-05-30,44608
84,2020-05-31,47153
85,2020-06-01,49534
86,2020-06-02,52445
87,2020-06-03,55140
88,2020-06-04,57563
89,2020-06-05,60391
90,2020-06-06,63026
91,2020-06-07,65769
92,2020-06-08,68504
93,2020-06-09,71675
94,2020-06-10,74865
95,2020-06-11,78052
96,2020-06-12,81523
97,2020-06-13,84379
98,2020-06-14,87520
99,2020-06-15,90619
100,2020-06-16,94481
101,2020-06-17,98489
102,2020-06-18,102292
103,2020-06-19,105535
104,2020-06-20,108775
105,2020-06-21,112306
106,2020-06-22,115786
107,2020-06-23,119198
108,2020-06-24,122660
109,2020-06-25,126606
110,2020-06-26,130474
111,2020-06-27,133978
112,2020-06-28,137787
113,2020-06-29,141801
114,2020-06-30,145483
115,2020-07-01,149258
116,2020-07-02,153277
117,2020-07-03,156391
118,2020-07-04,159679
119,2020-07-05,162417
120,2020-07-06,165618
121,2020-07-07,168645
122,2020-07-08,172134
123,2020-07-09,175494
124,2020-07-10,178443
125,2020-07-11,181129
126,2020-07-12,183795
127,2020-07-13,186894
128,2020-07-14,190057
129,2020-07-15,193590
130,2020-07-16,196323
131,2020-07-17,199357
132,2020-07-18,202066
133,2020-07-19,204525
134,2020-07-20,207453
135,2020-07-21,210510
136,2020-07-22,213254
137,2020-07-23,216110
138,2020-07-24,218658
139,2020-07-25,221178
140,2020-07-26,223453
141,2020-07-27,226225
142,2020-07-28,229185
143,2020-07-29,232194
144,2020-07-30,234889
145,2020-07-31,237661
146,2020-08-01,239860
147,2020-08-02,240746
148,2020-08-03,242102
149,2020-08-04,244020
150,2020-08-05,246674
151,2020-08-06,249651
152,2020-08-07,252502
153,2020-08-08,255113
154,2020-08-09,257600
155,2020-08-10,260507
156,2020-08-11,263503
157,2020-08-12,266498
158,2020-08-13,269115
159,2020-08-14,271881
160,2020-08-15,274525
161,2020-08-16,276549
162,2020-08-17,279144
163,2020-08-18,282344
164,2020-08-19,285091
165,2020-08-20,287959
166,2020-08-21,290360
167,2020-08-22,292625
168,2020-08-23,294598
169,2020-08-24,297083
170,2020-08-25,299628
171,2020-08-26,302147
172,2020-08-27,304583
173,2020-08-28,306794
174,2020-08-29,308925
175,2020-08-30,310822
176,2020-08-31,312996
177,2020-09-01,314946
178,2020-09-02,317528
179,2020-09-03,319686
180,2020-09-04,321615
181,2020-09-05,323565
182,2020-09-06,325157
183,2020-09-07,327359
184,2020-09-08,329251
185,2020-09-09,331078
186,2020-09-10,332970
187,2020-09-11,334762
188,2020-09-12,336044
189,2020-09-13,337520
190,2020-09-14,339332
191,2020-09-15,341056
192,2020-09-16,342671
193,2020-09-17,344264
194,2020-09-18,345805
195,2020-09-19,347372
196,2020-09-20,348918
197,2020-09-21,350621
198,2020-09-22,352178
199,2020-09-23,353844
200,2020-09-24,355384
201,2020-09-25,356767
202,2020-09-26,357873
203,2020-09-27,359148
204,2020-09-28,360555
205,2020-09-29,362043
206,2020-09-30,363479
207,2020-10-01,364987
208,2020-10-02,366383
209,2020-10-03,367565
210,2020-10-04,368690
211,2020-10-05,370132
212,2020-10-06,371631
213,2020-10-07,373151
214,2020-10-08,374592
215,2020-10-09,375870
216,2020-10-10,377073
217,2020-10-11,378266
218,2020-10-12,379738
219,2020-10-13,381275
220,2020-10-14,382959
221,2020-10-15,384559
222,2020-10-16,386086
223,2020-10-17,387295
224,2020-10-18,388569
225,2020-10-19,390206
226,2020-10-20,391586
227,2020-10-21,393131
228,2020-10-22,394827
229,2020-10-23,396413
230,2020-10-24,397507
231,2020-10-25,398815
232,2020-10-26,400251
233,2020-10-27,401586
234,2020-10-28,403079
235,2020-10-29,404760
236,2020-10-30,406364
237,2020-10-31,407684
238,2020-11-01,409252
239,2020-11-02,410988
240,2020-11-03,412647
241,2020-11-04,414164
242,2020-11-05,416006
243,2020-11-06,417475
244,2020-11-07,418764
245,2020-11-08,420238
246,2020-11-09,421921
247,2020-11-10,423620
248,2020-11-11,425353
249,2020-11-12,427198
250,2020-11-13,428965
251,2020-11-14,430496
252,2020-11-15,432333
253,2020-11-16,434472
254,2020-11-17,436684
255,2020-11-18,438795
256,2020-11-19,441159
257,2020-11-20,443434
258,2020-11-21,445281
259,2020-11-22,447341
260,2020-11-23,449760
261,2020-11-24,451990
262,2020-11-25,454146
263,2020-11-26,456438
264,2020-11-27,458711
265,2020-11-28,460619
266,2020-11-29,462407
267,2020-11-30,464932
268,2020-12-01,467225
269,2020-12-02,469423
270,2020-12-03,471739
271,2020-12-04,473991
272,2020-12-05,475789
273,2020-12-06,477545
274,2020-12-07,479743
275,2020-12-08,481945
276,2020-12-09,484104
277,2020-12-10,485965
278,2020-12-11,487849
279,2020-12-12,489178
280,2020-12-13,490533
281,2020-12-14,492332
282,2020-12-15,494209
283,2020-12-16,495841
284,2020-12-17,496975
285,2020-12-18,498293
286,2020-12-19,499560
287,2020-12-20,500713
288,2020-12-21,502183
289,2020-12-22,503501
290,2020-12-23,504868
291,2020-12-24,506102
292,2020-12-25,507265
293,2020-12-26,508099
294,2020-12-27,509148
295,2020-12-28,510080
296,2020-12-29,511261
297,2020-12-30,512496
298,2020-12-31,513510
299,2021-01-01,514500
300,2021-01-02,515184
301,2021-01-03,516019
302,2021-01-04,516929
303,2021-01-05,517920
304,2021-01-06,518898
305,2021-01-07,519905
306,2021-01-08,520690
307,2021-01-09,521382
308,2021-01-10,522453
309,2021-01-11,523302
310,2021-01-12,524020
311,2021-01-13,524910
312,2021-01-14,525723
313,2021-01-15,526485
314,2021-01-16,527063
315,2021-01-17,527632
316,2021-01-18,528329
317,2021-01-19,529031
318,2021-01-20,529687
319,2021-01-21,530271
320,2021-01-22,530890
321,2021-01-23,531326
322,2021-01-24,531799
323,2021-01-25,532401
324,2021-01-26,532916
325,2021-01-27,533444
326,2021-01-28,533953
