,Date,Cases
0,2020-03-17,2
1,2020-03-18,2
2,2020-03-19,5
3,2020-03-20,5
4,2020-03-21,6
5,2020-03-22,14
6,2020-03-23,17
7,2020-03-24,18
8,2020-03-25,18
9,2020-03-26,18
10,2020-03-27,24
11,2020-03-28,26
12,2020-03-29,33
13,2020-03-30,33
14,2020-03-31,34
15,2020-04-01,34
16,2020-04-02,46
17,2020-04-03,51
18,2020-04-04,52
19,2020-04-05,56
20,2020-04-06,60
21,2020-04-07,63
22,2020-04-08,63
23,2020-04-09,66
24,2020-04-10,67
25,2020-04-11,68
26,2020-04-12,71
27,2020-04-13,72
28,2020-04-14,72
29,2020-04-15,73
30,2020-04-16,75
31,2020-04-17,75
32,2020-04-18,75
33,2020-04-19,75
34,2020-04-20,75
35,2020-04-21,75
36,2020-04-22,75
37,2020-04-23,76
38,2020-04-24,77
39,2020-04-25,79
40,2020-04-26,79
41,2020-04-27,80
42,2020-04-28,80
43,2020-04-29,80
44,2020-04-30,81
45,2020-05-01,81
46,2020-05-02,81
47,2020-05-03,82
48,2020-05-04,82
49,2020-05-05,82
50,2020-05-06,82
51,2020-05-07,82
52,2020-05-08,83
53,2020-05-09,84
54,2020-05-10,84
55,2020-05-11,84
56,2020-05-12,85
57,2020-05-13,85
58,2020-05-14,85
59,2020-05-15,85
60,2020-05-16,86
61,2020-05-17,88
62,2020-05-18,88
63,2020-05-19,90
64,2020-05-20,90
65,2020-05-21,90
66,2020-05-22,90
67,2020-05-23,92
68,2020-05-24,92
69,2020-05-25,92
70,2020-05-26,92
71,2020-05-27,92
72,2020-05-28,92
73,2020-05-29,92
74,2020-05-30,92
75,2020-05-31,92
76,2020-06-01,92
77,2020-06-02,92
78,2020-06-03,92
79,2020-06-04,92
80,2020-06-05,92
81,2020-06-06,92
82,2020-06-07,92
83,2020-06-08,92
84,2020-06-09,92
85,2020-06-10,96
86,2020-06-11,96
87,2020-06-12,96
88,2020-06-13,96
89,2020-06-14,96
90,2020-06-15,97
91,2020-06-16,97
92,2020-06-17,97
93,2020-06-18,97
94,2020-06-19,97
95,2020-06-20,97
96,2020-06-21,97
97,2020-06-22,97
98,2020-06-23,97
99,2020-06-24,97
100,2020-06-25,97
101,2020-06-26,97
102,2020-06-27,97
103,2020-06-28,97
104,2020-06-29,97
105,2020-06-30,97
106,2020-07-01,97
107,2020-07-02,97
108,2020-07-03,97
109,2020-07-04,97
110,2020-07-05,98
111,2020-07-06,98
112,2020-07-07,98
113,2020-07-08,98
114,2020-07-09,98
115,2020-07-10,98
116,2020-07-11,103
117,2020-07-12,103
118,2020-07-13,103
119,2020-07-14,103
120,2020-07-15,104
121,2020-07-16,104
122,2020-07-17,104
123,2020-07-18,104
124,2020-07-19,105
125,2020-07-20,106
126,2020-07-21,106
127,2020-07-22,106
128,2020-07-23,106
129,2020-07-24,108
130,2020-07-25,108
131,2020-07-26,110
132,2020-07-27,110
133,2020-07-28,110
134,2020-07-29,110
135,2020-07-30,110
136,2020-07-31,110
137,2020-08-01,122
138,2020-08-02,132
139,2020-08-03,132
140,2020-08-04,132
141,2020-08-05,133
142,2020-08-06,133
143,2020-08-07,138
144,2020-08-08,138
145,2020-08-09,142
146,2020-08-10,142
147,2020-08-11,143
148,2020-08-12,144
149,2020-08-13,144
150,2020-08-14,148
151,2020-08-15,150
152,2020-08-16,151
153,2020-08-17,152
154,2020-08-18,153
155,2020-08-19,155
156,2020-08-20,156
157,2020-08-21,157
158,2020-08-22,158
159,2020-08-23,161
160,2020-08-24,161
161,2020-08-25,164
162,2020-08-26,165
163,2020-08-27,165
164,2020-08-28,166
165,2020-08-29,170
166,2020-08-30,173
167,2020-08-31,174
168,2020-09-01,176
169,2020-09-02,176
170,2020-09-03,177
171,2020-09-04,178
172,2020-09-05,178
173,2020-09-06,178
174,2020-09-07,179
175,2020-09-08,180
176,2020-09-09,180
177,2020-09-10,180
178,2020-09-11,180
179,2020-09-12,180
180,2020-09-13,181
181,2020-09-14,183
182,2020-09-15,184
183,2020-09-16,185
184,2020-09-17,185
185,2020-09-18,185
186,2020-09-19,185
187,2020-09-20,189
188,2020-09-21,189
189,2020-09-22,189
190,2020-09-23,189
191,2020-09-24,189
192,2020-09-25,190
193,2020-09-26,190
194,2020-09-27,190
195,2020-09-28,190
196,2020-09-29,190
197,2020-09-30,190
198,2020-10-01,193
199,2020-10-02,193
200,2020-10-03,196
201,2020-10-04,199
202,2020-10-05,200
203,2020-10-06,200
204,2020-10-07,203
205,2020-10-08,203
206,2020-10-09,204
207,2020-10-10,206
208,2020-10-11,208
209,2020-10-12,208
210,2020-10-13,210
211,2020-10-14,215
212,2020-10-15,218
213,2020-10-16,219
214,2020-10-17,219
215,2020-10-18,221
216,2020-10-19,222
217,2020-10-20,222
218,2020-10-21,222
219,2020-10-22,224
220,2020-10-23,226
221,2020-10-24,227
222,2020-10-25,227
223,2020-10-26,233
224,2020-10-27,233
225,2020-10-28,234
226,2020-10-29,234
227,2020-10-30,236
228,2020-10-31,237
229,2020-11-01,237
230,2020-11-02,238
231,2020-11-03,238
232,2020-11-04,239
233,2020-11-05,239
234,2020-11-06,242
235,2020-11-07,242
236,2020-11-08,242
237,2020-11-09,243
238,2020-11-10,243
239,2020-11-11,249
240,2020-11-12,249
241,2020-11-13,249
242,2020-11-14,249
243,2020-11-15,250
244,2020-11-16,250
245,2020-11-17,250
246,2020-11-18,252
247,2020-11-19,253
248,2020-11-20,253
249,2020-11-21,255
250,2020-11-22,259
251,2020-11-23,260
252,2020-11-24,262
253,2020-11-25,263
254,2020-11-26,266
255,2020-11-27,270
256,2020-11-28,270
257,2020-11-29,275
258,2020-11-30,276
259,2020-12-01,278
260,2020-12-02,279
261,2020-12-03,281
262,2020-12-04,284
263,2020-12-05,285
264,2020-12-06,285
265,2020-12-07,287
266,2020-12-08,289
267,2020-12-09,290
268,2020-12-10,291
269,2020-12-11,292
270,2020-12-12,292
271,2020-12-13,292
272,2020-12-14,296
273,2020-12-15,297
274,2020-12-16,301
275,2020-12-17,305
276,2020-12-18,307
277,2020-12-19,307
278,2020-12-20,307
279,2020-12-21,321
280,2020-12-22,327
281,2020-12-23,329
282,2020-12-24,345
283,2020-12-25,347
284,2020-12-26,352
285,2020-12-27,356
286,2020-12-28,365
287,2020-12-29,371
288,2020-12-30,372
289,2020-12-31,383
290,2021-01-01,395
291,2021-01-02,395
292,2021-01-03,556
293,2021-01-04,606
294,2021-01-05,643
295,2021-01-06,743
