,Date,Cases
0,2020-02-28,1
1,2020-02-29,1
2,2020-03-01,1
3,2020-03-02,1
4,2020-03-03,1
5,2020-03-04,6
6,2020-03-05,6
7,2020-03-06,6
8,2020-03-07,6
9,2020-03-08,6
10,2020-03-09,6
11,2020-03-10,9
12,2020-03-11,9
13,2020-03-12,12
14,2020-03-13,27
15,2020-03-14,27
16,2020-03-15,27
17,2020-03-16,36
18,2020-03-17,36
19,2020-03-18,51
20,2020-03-19,51
21,2020-03-20,69
22,2020-03-21,76
23,2020-03-22,76
24,2020-03-23,81
25,2020-03-24,81
26,2020-03-25,86
27,2020-03-26,86
28,2020-03-27,94
29,2020-03-28,94
30,2020-03-29,94
31,2020-03-30,152
32,2020-03-31,152
33,2020-04-01,163
34,2020-04-02,304
35,2020-04-03,351
36,2020-04-04,440
37,2020-04-05,562
38,2020-04-06,700
39,2020-04-07,861
40,2020-04-08,1066
41,2020-04-09,1486
42,2020-04-10,1981
43,2020-04-11,2226
44,2020-04-12,2578
45,2020-04-13,2919
46,2020-04-14,3281
47,2020-04-15,3728
48,2020-04-16,4204
49,2020-04-17,4779
50,2020-04-18,5297
51,2020-04-19,5807
52,2020-04-20,6264
53,2020-04-21,6723
54,2020-04-22,7281
55,2020-04-23,8022
56,2020-04-24,8773
57,2020-04-25,9590
58,2020-04-26,10463
59,2020-04-27,11289
60,2020-04-28,12208
61,2020-04-29,13181
62,2020-04-30,14027
63,2020-05-01,14917
64,2020-05-02,15828
65,2020-05-03,16705
66,2020-05-04,17489
67,2020-05-05,18350
68,2020-05-06,19255
69,2020-05-07,20168
70,2020-05-08,21101
71,2020-05-09,22052
72,2020-05-10,22973
73,2020-05-11,23906
74,2020-05-12,24873
75,2020-05-13,25825
76,2020-05-14,26772
77,2020-05-15,27730
78,2020-05-16,28681
79,2020-05-17,29650
80,2020-05-18,30572
81,2020-05-19,31508
82,2020-05-20,32426
83,2020-05-21,33371
84,2020-05-22,34303
85,2020-05-23,35244
86,2020-05-24,36198
87,2020-05-25,37144
88,2020-05-26,38059
89,2020-05-27,38956
90,2020-05-28,39858
91,2020-05-29,40764
92,2020-05-30,41658
93,2020-05-31,42556
94,2020-06-01,43403
95,2020-06-02,44255
96,2020-06-03,45116
97,2020-06-04,45981
98,2020-06-05,46868
99,2020-06-06,47751
100,2020-06-07,48630
101,2020-06-08,49453
102,2020-06-09,50265
103,2020-06-10,51066
104,2020-06-11,51816
105,2020-06-12,52520
106,2020-06-13,53241
107,2020-06-14,53973
108,2020-06-15,54680
109,2020-06-16,55369
110,2020-06-17,56032
111,2020-06-18,56657
112,2020-06-19,57333
113,2020-06-20,57936
114,2020-06-21,58505
115,2020-06-22,59023
116,2020-06-23,59487
117,2020-06-24,59945
118,2020-06-25,60382
119,2020-06-26,60713
120,2020-06-27,61095
121,2020-06-28,61475
122,2020-06-29,61790
123,2020-06-30,62118
124,2020-07-01,62424
125,2020-07-02,62698
126,2020-07-03,62997
127,2020-07-04,63270
128,2020-07-05,63554
129,2020-07-06,63804
130,2020-07-07,64003
131,2020-07-08,64224
132,2020-07-09,64411
133,2020-07-10,64604
134,2020-07-11,64767
135,2020-07-12,64932
136,2020-07-13,65114
137,2020-07-14,65269
138,2020-07-15,65443
139,2020-07-16,65623
140,2020-07-17,65782
141,2020-07-18,65953
142,2020-07-19,66095
143,2020-07-20,66213
144,2020-07-21,66348
