,Date,Cases
0,2020-02-04,1
1,2020-02-05,1
2,2020-02-06,1
3,2020-02-07,1
4,2020-02-08,1
5,2020-02-09,1
6,2020-02-10,1
7,2020-02-11,1
8,2020-02-12,1
9,2020-02-13,1
10,2020-02-14,1
11,2020-02-15,1
12,2020-02-16,1
13,2020-02-17,1
14,2020-02-18,1
15,2020-02-19,1
16,2020-02-20,1
17,2020-02-21,1
18,2020-02-22,1
19,2020-02-23,1
20,2020-02-24,1
21,2020-02-25,1
22,2020-02-26,1
23,2020-02-27,1
24,2020-02-28,1
25,2020-02-29,1
26,2020-03-01,2
27,2020-03-02,8
28,2020-03-03,13
29,2020-03-04,23
30,2020-03-05,50
31,2020-03-06,109
32,2020-03-07,169
33,2020-03-08,200
34,2020-03-09,239
35,2020-03-10,267
36,2020-03-11,314
37,2020-03-12,314
38,2020-03-13,559
39,2020-03-14,689
40,2020-03-15,886
41,2020-03-16,1058
42,2020-03-17,1243
43,2020-03-18,1486
44,2020-03-19,1795
45,2020-03-20,2257
46,2020-03-21,2815
47,2020-03-22,3401
48,2020-03-23,3743
49,2020-03-24,4269
50,2020-03-25,4937
51,2020-03-26,6235
52,2020-03-27,7284
53,2020-03-28,9134
54,2020-03-29,10836
55,2020-03-30,11899
56,2020-03-31,12775
57,2020-04-01,13964
58,2020-04-02,15348
59,2020-04-03,16770
60,2020-04-04,18431
61,2020-04-05,19691
62,2020-04-06,20814
63,2020-04-07,22194
64,2020-04-08,23403
65,2020-04-09,24983
66,2020-04-10,26667
67,2020-04-11,28018
68,2020-04-12,29647
69,2020-04-13,30589
70,2020-04-14,31119
71,2020-04-15,33573
72,2020-04-16,34809
73,2020-04-17,36138
74,2020-04-18,37183
75,2020-04-19,38496
76,2020-04-20,39983
77,2020-04-21,40956
78,2020-04-22,41889
79,2020-04-23,42797
80,2020-04-24,44293
81,2020-04-25,45325
82,2020-04-26,46134
83,2020-04-27,46687
84,2020-04-28,47334
85,2020-04-29,47859
86,2020-04-30,48519
87,2020-05-01,49032
88,2020-05-02,49517
89,2020-05-03,49906
90,2020-05-04,50267
91,2020-05-05,50509
92,2020-05-06,50781
93,2020-05-07,51420
94,2020-05-08,52011
95,2020-05-09,52596
96,2020-05-10,53081
97,2020-05-11,53449
98,2020-05-12,53779
99,2020-05-13,53981
100,2020-05-14,54288
101,2020-05-15,54644
102,2020-05-16,54989
103,2020-05-17,55280
104,2020-05-18,55559
105,2020-05-19,55791
106,2020-05-20,55983
107,2020-05-21,56235
108,2020-05-22,56511
109,2020-05-23,56810
110,2020-05-24,57092
111,2020-05-25,57342
112,2020-05-26,57455
113,2020-05-27,57592
114,2020-05-28,57849
115,2020-05-29,58061
116,2020-05-30,58186
117,2020-05-31,58381
118,2020-06-01,58517
