,Date,Cases
0,2020-03-23,1
1,2020-03-24,1
2,2020-03-25,2
3,2020-03-26,2
4,2020-03-27,2
5,2020-03-28,2
6,2020-03-29,2
7,2020-03-30,3
8,2020-03-31,3
9,2020-04-01,3
10,2020-04-02,3
11,2020-04-03,4
12,2020-04-04,4
13,2020-04-05,5
14,2020-04-06,7
15,2020-04-07,7
16,2020-04-08,8
17,2020-04-09,9
18,2020-04-10,10
19,2020-04-11,13
20,2020-04-12,14
21,2020-04-13,18
22,2020-04-14,18
23,2020-04-15,18
24,2020-04-16,18
25,2020-04-17,18
26,2020-04-18,18
27,2020-04-19,18
28,2020-04-20,18
29,2020-04-21,18
30,2020-04-22,18
31,2020-04-23,18
32,2020-04-24,18
33,2020-04-25,18
34,2020-04-26,18
35,2020-04-27,18
36,2020-04-28,18
37,2020-04-29,18
38,2020-04-30,18
39,2020-05-01,18
40,2020-05-02,18
41,2020-05-03,18
42,2020-05-04,18
43,2020-05-05,18
44,2020-05-06,18
45,2020-05-07,18
46,2020-05-08,18
47,2020-05-09,18
48,2020-05-10,18
49,2020-05-11,18
50,2020-05-12,18
51,2020-05-13,18
52,2020-05-14,18
53,2020-05-15,18
54,2020-05-16,18
55,2020-05-17,18
56,2020-05-18,18
57,2020-05-19,18
58,2020-05-20,18
59,2020-05-21,18
60,2020-05-22,18
61,2020-05-23,18
62,2020-05-24,18
63,2020-05-25,18
64,2020-05-26,18
65,2020-05-27,18
66,2020-05-28,18
67,2020-05-29,18
68,2020-05-30,18
69,2020-05-31,18
70,2020-06-01,18
71,2020-06-02,18
72,2020-06-03,18
73,2020-06-04,18
74,2020-06-05,19
75,2020-06-06,19
76,2020-06-07,19
77,2020-06-08,19
78,2020-06-09,20
79,2020-06-10,20
80,2020-06-11,20
81,2020-06-12,20
82,2020-06-13,20
83,2020-06-14,20
84,2020-06-15,21
85,2020-06-16,22
86,2020-06-17,22
87,2020-06-18,22
88,2020-06-19,22
89,2020-06-20,22
90,2020-06-21,22
91,2020-06-22,23
92,2020-06-23,23
93,2020-06-24,23
94,2020-06-25,23
95,2020-06-26,24
96,2020-06-27,24
97,2020-06-28,24
98,2020-06-29,24
99,2020-06-30,24
100,2020-07-01,28
101,2020-07-02,28
102,2020-07-03,30
103,2020-07-04,30
104,2020-07-05,30
105,2020-07-06,30
106,2020-07-07,30
107,2020-07-08,30
108,2020-07-09,30
109,2020-07-10,37
110,2020-07-11,37
111,2020-07-12,37
112,2020-07-13,37
113,2020-07-14,39
114,2020-07-15,39
115,2020-07-16,40
116,2020-07-17,40
117,2020-07-18,40
118,2020-07-19,40
119,2020-07-20,40
120,2020-07-21,42
121,2020-07-22,43
122,2020-07-23,47
123,2020-07-24,48
124,2020-07-25,48
125,2020-07-26,48
126,2020-07-27,48
127,2020-07-28,48
128,2020-07-29,48
129,2020-07-30,48
130,2020-07-31,48
131,2020-08-01,56
132,2020-08-02,57
133,2020-08-03,57
134,2020-08-04,57
135,2020-08-05,86
136,2020-08-06,114
137,2020-08-07,114
138,2020-08-08,146
139,2020-08-09,153
140,2020-08-10,177
141,2020-08-11,177
142,2020-08-12,210
143,2020-08-13,296
144,2020-08-14,356
145,2020-08-15,388
146,2020-08-16,452
147,2020-08-17,475
148,2020-08-18,475
149,2020-08-19,553
150,2020-08-20,605
151,2020-08-21,648
152,2020-08-22,668
153,2020-08-23,686
154,2020-08-24,713
155,2020-08-25,730
156,2020-08-26,760
157,2020-08-27,818
158,2020-08-28,870
159,2020-08-29,964
160,2020-08-30,993
161,2020-08-31,1007
162,2020-09-01,1050
163,2020-09-02,1101
164,2020-09-03,1101
165,2020-09-04,1152
166,2020-09-05,1194
167,2020-09-06,1194
168,2020-09-07,1307
169,2020-09-08,1361
170,2020-09-09,1365
171,2020-09-10,1365
172,2020-09-11,1435
173,2020-09-12,1458
174,2020-09-13,1480
175,2020-09-14,1501
176,2020-09-15,1528
177,2020-09-16,1536
178,2020-09-17,1567
179,2020-09-18,1590
180,2020-09-19,1606
181,2020-09-20,1627
182,2020-09-21,1635
183,2020-09-22,1635
184,2020-09-23,1706
185,2020-09-24,1706
186,2020-09-25,1808
187,2020-09-26,1825
188,2020-09-27,1825
189,2020-09-28,1891
190,2020-09-29,1891
191,2020-09-30,1992
192,2020-10-01,1992
193,2020-10-02,2080
194,2020-10-03,2080
195,2020-10-04,2131
196,2020-10-05,2196
197,2020-10-06,2243
198,2020-10-07,2310
199,2020-10-08,2373
200,2020-10-09,2427
201,2020-10-10,2427
202,2020-10-11,2531
203,2020-10-12,2569
204,2020-10-13,2585
205,2020-10-14,2619
206,2020-10-15,2682
207,2020-10-16,2728
208,2020-10-17,2775
209,2020-10-18,2813
210,2020-10-19,2833
211,2020-10-20,2886
212,2020-10-21,2937
213,2020-10-22,2995
214,2020-10-23,3050
215,2020-10-24,3106
216,2020-10-25,3145
217,2020-10-26,3145
218,2020-10-27,3200
219,2020-10-28,3261
220,2020-10-29,3261
221,2020-10-30,3462
222,2020-10-31,3487
223,2020-11-01,3577
224,2020-11-02,3624
225,2020-11-03,3790
226,2020-11-04,3905
227,2020-11-05,3977
228,2020-11-06,4016
229,2020-11-07,4076
230,2020-11-08,4176
231,2020-11-09,4230
232,2020-11-10,4414
233,2020-11-11,4520
234,2020-11-12,4596
235,2020-11-13,4715
236,2020-11-14,4783
237,2020-11-15,4861
238,2020-11-16,4883
239,2020-11-17,4920
240,2020-11-18,4958
