,Date,Cases
0,2020-03-16,1
1,2020-03-17,1
2,2020-03-18,2
3,2020-03-19,2
4,2020-03-20,2
5,2020-03-21,2
6,2020-03-22,2
7,2020-03-23,5
8,2020-03-24,6
9,2020-03-25,6
10,2020-03-26,6
11,2020-03-27,6
12,2020-03-28,6
13,2020-03-29,6
14,2020-03-30,6
15,2020-03-31,9
16,2020-04-01,13
17,2020-04-02,13
18,2020-04-03,16
19,2020-04-04,16
20,2020-04-05,22
21,2020-04-06,26
22,2020-04-07,26
23,2020-04-08,26
24,2020-04-09,26
25,2020-04-10,35
26,2020-04-11,35
27,2020-04-12,35
28,2020-04-13,35
29,2020-04-14,35
30,2020-04-15,35
31,2020-04-16,35
32,2020-04-17,35
33,2020-04-18,35
34,2020-04-19,35
35,2020-04-20,54
36,2020-04-21,54
37,2020-04-22,54
38,2020-04-23,54
39,2020-04-24,54
40,2020-04-25,54
41,2020-04-26,64
42,2020-04-27,64
43,2020-04-28,64
44,2020-04-29,64
45,2020-04-30,64
46,2020-05-01,90
47,2020-05-02,90
48,2020-05-03,90
49,2020-05-04,96
50,2020-05-05,96
51,2020-05-06,96
52,2020-05-07,140
53,2020-05-08,242
54,2020-05-09,284
55,2020-05-10,319
56,2020-05-11,319
57,2020-05-12,327
58,2020-05-13,327
59,2020-05-14,339
60,2020-05-15,339
61,2020-05-16,339
62,2020-05-17,339
63,2020-05-18,339
64,2020-05-19,130
65,2020-05-20,130
66,2020-05-21,135
67,2020-05-22,135
68,2020-05-23,135
69,2020-05-24,191
70,2020-05-25,191
71,2020-05-26,208
72,2020-05-27,210
73,2020-05-28,210
74,2020-05-29,224
75,2020-05-30,224
76,2020-05-31,232
77,2020-06-01,243
78,2020-06-02,244
79,2020-06-03,244
80,2020-06-04,261
81,2020-06-05,261
82,2020-06-06,261
83,2020-06-07,261
84,2020-06-08,288
85,2020-06-09,305
86,2020-06-10,305
87,2020-06-11,305
88,2020-06-12,388
89,2020-06-13,412
90,2020-06-14,442
91,2020-06-15,483
92,2020-06-16,532
93,2020-06-17,572
94,2020-06-18,597
95,2020-06-19,650
96,2020-06-20,650
97,2020-06-21,765
98,2020-06-22,807
99,2020-06-23,850
100,2020-06-24,902
101,2020-06-25,1017
102,2020-06-26,1053
103,2020-06-27,1124
104,2020-06-28,1149
105,2020-06-29,1187
106,2020-06-30,1199
107,2020-07-01,1199
108,2020-07-02,1199
109,2020-07-03,1199
110,2020-07-04,1199
111,2020-07-05,1199
112,2020-07-06,1199
113,2020-07-07,1199
114,2020-07-08,1199
115,2020-07-09,1285
116,2020-07-10,1285
117,2020-07-11,1378
118,2020-07-12,1378
119,2020-07-13,1378
120,2020-07-14,1378
121,2020-07-15,1378
122,2020-07-16,1463
123,2020-07-17,1602
124,2020-07-18,1602
125,2020-07-19,1602
126,2020-07-20,1602
127,2020-07-21,1602
128,2020-07-22,1690
129,2020-07-23,1694
130,2020-07-24,1694
131,2020-07-25,1694
132,2020-07-26,1770
133,2020-07-27,1770
134,2020-07-28,1770
135,2020-07-29,1805
136,2020-07-30,1805
137,2020-07-31,1805
138,2020-08-01,1805
139,2020-08-02,1805
140,2020-08-03,1805
141,2020-08-04,1914
142,2020-08-05,1936
143,2020-08-06,1936
144,2020-08-07,1936
145,2020-08-08,1936
146,2020-08-09,1936
147,2020-08-10,1936
148,2020-08-11,2001
149,2020-08-12,2014
150,2020-08-13,2014
151,2020-08-14,2014
152,2020-08-15,2063
153,2020-08-16,2063
154,2020-08-17,2063
155,2020-08-18,2063
156,2020-08-19,2095
157,2020-08-20,2095
158,2020-08-21,2095
159,2020-08-22,2115
160,2020-08-23,2115
161,2020-08-24,2115
162,2020-08-25,2115
163,2020-08-26,2145
164,2020-08-27,2145
165,2020-08-28,2145
166,2020-08-29,2145
167,2020-08-30,2145
168,2020-08-31,2145
169,2020-09-01,2145
170,2020-09-02,2194
171,2020-09-03,2194
172,2020-09-04,2194
173,2020-09-05,2213
174,2020-09-06,2213
175,2020-09-07,2213
176,2020-09-08,2213
177,2020-09-09,2242
178,2020-09-10,2242
179,2020-09-11,2242
180,2020-09-12,2242
181,2020-09-13,2267
182,2020-09-14,2267
183,2020-09-15,2267
184,2020-09-16,2280
185,2020-09-17,2280
186,2020-09-18,2280
187,2020-09-19,2280
188,2020-09-20,2280
189,2020-09-21,2294
190,2020-09-22,2294
191,2020-09-23,2325
192,2020-09-24,2325
193,2020-09-25,2325
194,2020-09-26,2325
195,2020-09-27,2340
196,2020-09-28,2340
197,2020-09-29,2340
198,2020-09-30,2357
199,2020-10-01,2357
200,2020-10-02,2357
201,2020-10-03,2357
202,2020-10-04,2357
203,2020-10-05,2357
204,2020-10-06,2357
205,2020-10-07,2411
206,2020-10-08,2411
207,2020-10-09,2411
208,2020-10-10,2411
209,2020-10-11,2411
210,2020-10-12,2411
211,2020-10-13,2411
212,2020-10-14,2478
213,2020-10-15,2496
214,2020-10-16,2496
215,2020-10-17,2496
216,2020-10-18,2496
217,2020-10-19,2496
