,Date,Cases
0,2020-03-11,2
1,2020-03-12,2
2,2020-03-13,3
3,2020-03-14,10
4,2020-03-15,10
5,2020-03-16,11
6,2020-03-17,11
7,2020-03-18,12
8,2020-03-19,12
9,2020-03-20,15
10,2020-03-21,19
11,2020-03-22,24
12,2020-03-23,27
13,2020-03-24,29
14,2020-03-25,32
15,2020-03-26,43
16,2020-03-27,61
17,2020-03-28,74
18,2020-03-29,81
19,2020-03-30,97
20,2020-03-31,107
21,2020-04-01,115
22,2020-04-02,123
23,2020-04-03,132
24,2020-04-04,139
25,2020-04-05,157
26,2020-04-06,183
27,2020-04-07,194
28,2020-04-08,210
29,2020-04-09,264
30,2020-04-10,268
31,2020-04-11,275
32,2020-04-12,300
33,2020-04-13,330
34,2020-04-14,354
35,2020-04-15,397
36,2020-04-16,441
37,2020-04-17,465
38,2020-04-18,493
39,2020-04-19,520
40,2020-04-20,564
41,2020-04-21,598
42,2020-04-22,609
43,2020-04-23,703
44,2020-04-24,807
45,2020-04-25,866
46,2020-04-26,950
47,2020-04-27,1014
48,2020-04-28,1053
49,2020-04-29,1110
50,2020-04-30,1167
51,2020-05-01,1229
52,2020-05-02,1470
53,2020-05-03,1594
54,2020-05-04,1681
55,2020-05-05,1802
56,2020-05-06,1886
57,2020-05-07,2081
58,2020-05-08,2266
59,2020-05-09,2437
60,2020-05-10,2556
61,2020-05-11,2831
62,2020-05-12,2964
63,2020-05-13,3148
64,2020-05-14,3372
65,2020-05-15,3577
66,2020-05-16,3826
67,2020-05-17,4088
68,2020-05-18,4263
69,2020-05-19,4481
70,2020-05-20,4919
71,2020-05-21,5187
72,2020-05-22,5579
73,2020-05-23,5915
74,2020-05-24,6263
75,2020-05-25,6660
76,2020-05-26,7136
77,2020-05-27,7768
78,2020-05-28,8387
79,2020-05-29,8731
80,2020-05-30,9592
81,2020-05-31,9982
82,2020-06-01,10531
83,2020-06-02,10991
84,2020-06-03,11638
85,2020-06-04,12245
86,2020-06-05,12728
87,2020-06-06,13358
88,2020-06-07,13643
89,2020-06-08,13949
90,2020-06-09,14644
91,2020-06-10,15281
92,2020-06-11,16165
93,2020-06-12,16929
94,2020-06-13,17842
95,2020-06-14,18459
96,2020-06-15,19073
97,2020-06-16,19883
98,2020-06-17,20685
99,2020-06-18,21499
100,2020-06-19,22476
101,2020-06-20,23512
102,2020-06-21,24388
103,2020-06-22,25493
104,2020-06-23,26389
105,2020-06-24,27487
106,2020-06-25,28503
107,2020-06-26,29423
108,2020-06-27,30676
109,2020-06-28,31524
110,2020-06-29,32125
111,2020-06-30,33219
112,2020-07-01,34227
113,2020-07-02,35528
114,2020-07-03,36818
115,2020-07-04,38071
116,2020-07-05,39297
117,2020-07-06,40509
118,2020-07-07,41545
119,2020-07-08,42984
120,2020-07-09,44113
121,2020-07-10,45565
122,2020-07-11,47200
123,2020-07-12,48187
124,2020-07-13,49250
125,2020-07-14,50867
126,2020-07-15,52218
127,2020-07-16,54156
128,2020-07-17,56102
129,2020-07-18,58138
130,2020-07-19,59582
131,2020-07-20,60991
132,2020-07-21,62357
133,2020-07-22,64135
134,2020-07-23,65252
135,2020-07-24,66456
136,2020-07-25,68281
137,2020-07-26,69429
138,2020-07-27,71181
139,2020-07-28,72327
140,2020-07-29,73534
141,2020-07-30,75234
142,2020-07-31,76789
143,2020-08-01,78793
144,2020-08-02,80153
145,2020-08-03,81846
146,2020-08-04,83361
147,2020-08-05,85141
148,2020-08-06,86423
149,2020-08-07,87891
150,2020-08-08,89055
151,2020-08-09,89999
152,2020-08-10,91635
153,2020-08-11,93328
154,2020-08-12,95071
155,2020-08-13,96459
156,2020-08-14,97950
157,2020-08-15,99146
158,2020-08-16,100344
159,2020-08-17,101223
160,2020-08-18,103019
161,2020-08-19,105050
162,2020-08-20,106065
163,2020-08-21,107435
164,2020-08-22,108427
165,2020-08-23,109149
166,2020-08-24,110148
167,2020-08-25,110999
168,2020-08-26,112094
169,2020-08-27,113129
170,2020-08-28,114409
171,2020-08-29,115354
172,2020-08-30,115968
173,2020-08-31,116598
174,2020-09-01,117267
175,2020-09-02,117928
176,2020-09-03,118781
177,2020-09-04,119580
178,2020-09-05,120241
179,2020-09-06,120769
180,2020-09-07,121604
181,2020-09-08,122308
182,2020-09-09,123345
183,2020-09-10,124205
184,2020-09-11,125172
185,2020-09-12,125982
186,2020-09-13,126791
187,2020-09-14,127619
188,2020-09-15,128286
189,2020-09-16,128872
190,2020-09-17,129419
191,2020-09-18,130051
192,2020-09-19,130470
193,2020-09-20,130676
194,2020-09-21,130986
195,2020-09-22,131453
196,2020-09-23,131990
197,2020-09-24,132618
198,2020-09-25,133222
199,2020-09-26,133592
200,2020-09-27,133901
