,Date,Cases
0,2020-03-05,2
1,2020-03-06,2
2,2020-03-07,3
3,2020-03-08,3
4,2020-03-09,3
5,2020-03-10,5
6,2020-03-11,7
7,2020-03-12,11
8,2020-03-13,13
9,2020-03-14,18
10,2020-03-15,24
11,2020-03-16,25
12,2020-03-17,26
13,2020-03-18,38
14,2020-03-19,63
15,2020-03-20,89
16,2020-03-21,93
17,2020-03-22,126
18,2020-03-23,136
19,2020-03-24,166
20,2020-03-25,176
21,2020-03-26,191
22,2020-03-27,237
23,2020-03-28,258
24,2020-03-29,323
25,2020-03-30,368
26,2020-03-31,420
27,2020-04-01,459
28,2020-04-02,533
29,2020-04-03,579
30,2020-04-04,624
31,2020-04-05,654
32,2020-04-06,674
33,2020-04-07,764
34,2020-04-08,804
35,2020-04-09,858
36,2020-04-10,901
37,2020-04-11,946
38,2020-04-12,1009
39,2020-04-13,1037
40,2020-04-14,1083
41,2020-04-15,1110
42,2020-04-16,1167
43,2020-04-17,1214
44,2020-04-18,1268
45,2020-04-19,1285
46,2020-04-20,1309
47,2020-04-21,1342
48,2020-04-22,1368
49,2020-04-23,1413
50,2020-04-24,1421
51,2020-04-25,1486
52,2020-04-26,1516
53,2020-04-27,1565
54,2020-04-28,1585
55,2020-04-29,1677
56,2020-04-30,1757
57,2020-05-01,1781
58,2020-05-02,1839
59,2020-05-03,1857
60,2020-05-04,1926
61,2020-05-05,1946
62,2020-05-06,1987
63,2020-05-07,2027
64,2020-05-08,2070
65,2020-05-09,2090
66,2020-05-10,2117
67,2020-05-11,2141
68,2020-05-12,2158
69,2020-05-13,2181
70,2020-05-14,2218
71,2020-05-15,2236
72,2020-05-16,2267
73,2020-05-17,2290
74,2020-05-18,2304
75,2020-05-19,2321
76,2020-05-20,2338
77,2020-05-21,2350
78,2020-05-22,2372
79,2020-05-23,2391
80,2020-05-24,2401
81,2020-05-25,2406
82,2020-05-26,2416
83,2020-05-27,2435
84,2020-05-28,2462
85,2020-05-29,2485
86,2020-05-30,2494
87,2020-05-31,2510
88,2020-06-01,2524
89,2020-06-02,2535
90,2020-06-03,2551
91,2020-06-04,2594
92,2020-06-05,2606
93,2020-06-06,2606
94,2020-06-07,2606
95,2020-06-08,2704
96,2020-06-09,2728
97,2020-06-10,2775
98,2020-06-11,2832
99,2020-06-12,2893
100,2020-06-13,2893
101,2020-06-14,2893
102,2020-06-15,3040
103,2020-06-16,3085
104,2020-06-17,3141
105,2020-06-18,3174
106,2020-06-19,3273
107,2020-06-20,3273
108,2020-06-21,3273
109,2020-06-22,3525
110,2020-06-23,3588
111,2020-06-24,3676
112,2020-06-25,3796
113,2020-06-26,3935
