,Date,Cases
0,2020-03-30,3
1,2020-03-31,4
2,2020-04-01,4
3,2020-04-02,4
4,2020-04-03,4
5,2020-04-04,4
6,2020-04-05,6
7,2020-04-06,6
8,2020-04-07,6
9,2020-04-08,6
10,2020-04-09,13
11,2020-04-10,13
12,2020-04-11,13
13,2020-04-12,13
14,2020-04-13,13
15,2020-04-14,13
16,2020-04-15,13
17,2020-04-16,15
18,2020-04-17,15
19,2020-04-18,15
20,2020-04-19,20
21,2020-04-20,20
22,2020-04-21,20
23,2020-04-22,22
24,2020-04-23,22
25,2020-04-24,22
26,2020-04-25,22
27,2020-04-26,22
28,2020-04-27,22
29,2020-04-28,23
30,2020-04-29,23
31,2020-04-30,23
32,2020-05-01,23
33,2020-05-02,23
34,2020-05-03,23
35,2020-05-04,23
36,2020-05-05,23
37,2020-05-06,23
38,2020-05-07,23
39,2020-05-08,23
40,2020-05-09,23
41,2020-05-10,23
42,2020-05-11,24
43,2020-05-12,24
44,2020-05-13,24
45,2020-05-14,24
46,2020-05-15,24
47,2020-05-16,24
48,2020-05-17,25
49,2020-05-18,25
50,2020-05-19,25
51,2020-05-20,25
52,2020-05-21,29
53,2020-05-22,30
54,2020-05-23,30
55,2020-05-24,35
56,2020-05-25,35
57,2020-05-26,35
58,2020-05-27,35
59,2020-05-28,35
60,2020-05-29,35
61,2020-05-30,35
62,2020-05-31,35
63,2020-06-01,38
64,2020-06-02,40
65,2020-06-03,40
66,2020-06-04,40
67,2020-06-05,40
68,2020-06-06,40
69,2020-06-07,40
70,2020-06-08,42
71,2020-06-09,42
72,2020-06-10,48
73,2020-06-11,48
74,2020-06-12,48
75,2020-06-13,60
76,2020-06-14,60
77,2020-06-15,60
78,2020-06-16,60
79,2020-06-17,79
80,2020-06-18,79
81,2020-06-19,89
82,2020-06-20,89
83,2020-06-21,89
84,2020-06-22,89
85,2020-06-23,89
86,2020-06-24,92
87,2020-06-25,92
88,2020-06-26,92
89,2020-06-27,92
90,2020-06-28,92
91,2020-06-29,175
92,2020-06-30,227
93,2020-07-01,227
94,2020-07-02,227
95,2020-07-03,277
96,2020-07-04,277
97,2020-07-05,277
98,2020-07-06,314
99,2020-07-07,314
100,2020-07-08,314
101,2020-07-09,314
102,2020-07-10,314
103,2020-07-11,314
104,2020-07-12,399
105,2020-07-13,399
106,2020-07-14,399
107,2020-07-15,399
108,2020-07-16,522
109,2020-07-17,522
110,2020-07-18,522
111,2020-07-19,522
112,2020-07-20,522
113,2020-07-21,522
114,2020-07-22,522
115,2020-07-23,592
116,2020-07-24,686
117,2020-07-25,686
118,2020-07-26,686
119,2020-07-27,739
120,2020-07-28,739
121,2020-07-29,804
122,2020-07-30,804
123,2020-07-31,804
124,2020-08-01,804
125,2020-08-02,804
126,2020-08-03,804
127,2020-08-04,804
128,2020-08-05,804
129,2020-08-06,804
130,2020-08-07,804
131,2020-08-08,804
132,2020-08-09,804
133,2020-08-10,1066
134,2020-08-11,1066
135,2020-08-12,1066
136,2020-08-13,1214
137,2020-08-14,1214
138,2020-08-15,1214
139,2020-08-16,1214
140,2020-08-17,1308
141,2020-08-18,1308
142,2020-08-19,1308
143,2020-08-20,1308
144,2020-08-21,1308
145,2020-08-22,1308
146,2020-08-23,1308
147,2020-08-24,1562
148,2020-08-25,1562
149,2020-08-26,1562
150,2020-08-27,1562
151,2020-08-28,1562
152,2020-08-29,1562
153,2020-08-30,1633
154,2020-08-31,1633
155,2020-09-01,1724
156,2020-09-02,1724
157,2020-09-03,1724
158,2020-09-04,2002
159,2020-09-05,2002
160,2020-09-06,2002
161,2020-09-07,2126
162,2020-09-08,2126
163,2020-09-09,2126
164,2020-09-10,2252
165,2020-09-11,2252
166,2020-09-12,2252
167,2020-09-13,2252
168,2020-09-14,2463
169,2020-09-15,2463
170,2020-09-16,2463
171,2020-09-17,2567
172,2020-09-18,2567
173,2020-09-19,2567
174,2020-09-20,2567
175,2020-09-21,2567
176,2020-09-22,2567
177,2020-09-23,2567
178,2020-09-24,2921
179,2020-09-25,2921
180,2020-09-26,2921
181,2020-09-27,2921
182,2020-09-28,3172
183,2020-09-29,3172
184,2020-09-30,3172
185,2020-10-01,3172
186,2020-10-02,3172
187,2020-10-03,3172
188,2020-10-04,3172
189,2020-10-05,3172
190,2020-10-06,3172
191,2020-10-07,3172
192,2020-10-08,3219
193,2020-10-09,3219
194,2020-10-10,3219
195,2020-10-11,3219
196,2020-10-12,3515
197,2020-10-13,3515
198,2020-10-14,3515
199,2020-10-15,3914
200,2020-10-16,5242
201,2020-10-17,5242
202,2020-10-18,5242
203,2020-10-19,5609
204,2020-10-20,5609
205,2020-10-21,5609
206,2020-10-22,5923
207,2020-10-23,5923
208,2020-10-24,5923
209,2020-10-25,5923
210,2020-10-26,6283
211,2020-10-27,6283
212,2020-10-28,6283
213,2020-10-29,6642
214,2020-10-30,6642
215,2020-10-31,6642
216,2020-11-01,6642
217,2020-11-02,6642
218,2020-11-03,6642
219,2020-11-04,6642
220,2020-11-05,7835
221,2020-11-06,7835
222,2020-11-07,7835
