,Date,Cases
0,2020-03-09,1
1,2020-03-10,1
2,2020-03-11,11
3,2020-03-12,11
4,2020-03-13,37
5,2020-03-14,40
6,2020-03-15,50
7,2020-03-16,54
8,2020-03-17,56
9,2020-03-18,68
10,2020-03-19,75
11,2020-03-20,78
12,2020-03-21,83
13,2020-03-22,88
14,2020-03-23,91
15,2020-03-24,104
16,2020-03-25,109
17,2020-03-26,114
18,2020-03-27,115
19,2020-03-28,120
20,2020-03-29,126
21,2020-03-30,127
22,2020-03-31,129
23,2020-04-01,131
24,2020-04-02,133
25,2020-04-03,134
26,2020-04-04,135
27,2020-04-05,135
28,2020-04-06,135
29,2020-04-07,135
30,2020-04-08,135
31,2020-04-09,135
32,2020-04-10,136
33,2020-04-11,136
34,2020-04-12,136
35,2020-04-13,136
36,2020-04-14,136
37,2020-04-15,136
38,2020-04-16,136
39,2020-04-17,136
40,2020-04-18,137
41,2020-04-19,138
42,2020-04-20,138
43,2020-04-21,138
44,2020-04-22,138
45,2020-04-23,138
46,2020-04-24,138
47,2020-04-25,138
48,2020-04-26,138
49,2020-04-27,138
50,2020-04-28,138
51,2020-04-29,138
52,2020-04-30,138
53,2020-05-01,138
54,2020-05-02,138
55,2020-05-03,138
56,2020-05-04,138
57,2020-05-05,138
58,2020-05-06,139
59,2020-05-07,141
60,2020-05-08,141
61,2020-05-09,141
62,2020-05-10,141
63,2020-05-11,141
64,2020-05-12,141
65,2020-05-13,141
66,2020-05-14,141
67,2020-05-15,141
68,2020-05-16,141
69,2020-05-17,141
70,2020-05-18,141
71,2020-05-19,141
72,2020-05-20,141
73,2020-05-21,141
74,2020-05-22,141
75,2020-05-23,141
76,2020-05-24,141
77,2020-05-25,141
78,2020-05-26,141
79,2020-05-27,141
80,2020-05-28,141
81,2020-05-29,141
82,2020-05-30,141
83,2020-05-31,141
84,2020-06-01,141
85,2020-06-02,141
86,2020-06-03,141
87,2020-06-04,141
88,2020-06-05,141
89,2020-06-06,141
90,2020-06-07,141
91,2020-06-08,141
92,2020-06-09,141
93,2020-06-10,141
94,2020-06-11,141
95,2020-06-12,141
96,2020-06-13,141
97,2020-06-14,141
98,2020-06-15,141
99,2020-06-16,141
100,2020-06-17,141
101,2020-06-18,141
102,2020-06-19,141
103,2020-06-20,141
104,2020-06-21,141
105,2020-06-22,141
106,2020-06-23,141
107,2020-06-24,141
108,2020-06-25,141
109,2020-06-26,141
110,2020-06-27,141
111,2020-06-28,141
112,2020-06-29,141
113,2020-06-30,141
114,2020-07-01,141
115,2020-07-02,141
116,2020-07-03,141
117,2020-07-04,141
118,2020-07-05,141
119,2020-07-06,141
120,2020-07-07,141
121,2020-07-08,141
122,2020-07-09,141
123,2020-07-10,141
124,2020-07-11,141
125,2020-07-12,141
126,2020-07-13,141
127,2020-07-14,141
128,2020-07-15,141
129,2020-07-16,141
130,2020-07-17,141
131,2020-07-18,141
132,2020-07-19,141
133,2020-07-20,141
134,2020-07-21,141
135,2020-07-22,141
136,2020-07-23,141
137,2020-07-24,141
138,2020-07-25,141
139,2020-07-26,141
140,2020-07-27,141
141,2020-07-28,141
142,2020-07-29,141
143,2020-07-30,141
144,2020-07-31,141
145,2020-08-01,141
146,2020-08-02,141
147,2020-08-03,141
148,2020-08-04,141
149,2020-08-05,141
150,2020-08-06,141
151,2020-08-07,142
152,2020-08-08,142
153,2020-08-09,142
154,2020-08-10,142
155,2020-08-11,142
156,2020-08-12,142
157,2020-08-13,142
158,2020-08-14,142
159,2020-08-15,142
160,2020-08-16,142
161,2020-08-17,142
162,2020-08-18,142
163,2020-08-19,143
164,2020-08-20,143
165,2020-08-21,143
