,Date,Cases
0,2020-03-08,4
1,2020-03-09,4
2,2020-03-10,4
3,2020-03-11,7
4,2020-03-12,7
5,2020-03-13,23
6,2020-03-14,41
7,2020-03-15,51
8,2020-03-16,52
9,2020-03-17,67
10,2020-03-18,92
11,2020-03-19,94
12,2020-03-20,127
13,2020-03-21,163
14,2020-03-22,187
15,2020-03-23,201
16,2020-03-24,218
17,2020-03-25,242
18,2020-03-26,264
19,2020-03-27,293
20,2020-03-28,331
21,2020-03-29,346
22,2020-03-30,359
23,2020-03-31,399
24,2020-04-01,422
25,2020-04-02,457
26,2020-04-03,485
27,2020-04-04,503
28,2020-04-05,531
29,2020-04-06,549
30,2020-04-07,577
31,2020-04-08,593
32,2020-04-09,618
33,2020-04-10,635
34,2020-04-11,661
35,2020-04-12,675
36,2020-04-13,685
37,2020-04-14,713
38,2020-04-15,747
39,2020-04-16,800
40,2020-04-17,846
41,2020-04-18,878
42,2020-04-19,894
43,2020-04-20,929
44,2020-04-21,975
45,2020-04-22,1024
46,2020-04-23,1097
47,2020-04-24,1234
48,2020-04-25,1247
49,2020-04-26,1300
50,2020-04-27,1363
51,2020-04-28,1399
52,2020-04-29,1447
53,2020-04-30,1506
54,2020-05-01,1555
55,2020-05-02,1594
56,2020-05-03,1618
57,2020-05-04,1652
58,2020-05-05,1704
59,2020-05-06,1778
60,2020-05-07,1829
61,2020-05-08,1872
62,2020-05-09,1921
63,2020-05-10,1965
64,2020-05-11,1990
65,2020-05-12,2023
66,2020-05-13,2069
67,2020-05-14,2100
68,2020-05-15,2138
69,2020-05-16,2175
70,2020-05-17,2211
71,2020-05-18,2235
72,2020-05-19,2259
73,2020-05-20,2292
74,2020-05-21,2331
75,2020-05-22,2372
76,2020-05-23,2408
77,2020-05-24,2427
78,2020-05-25,2433
79,2020-05-26,2443
80,2020-05-27,2460
81,2020-05-28,2477
82,2020-05-29,2485
83,2020-05-30,2499
84,2020-05-31,2513
85,2020-06-01,2519
86,2020-06-02,2538
87,2020-06-03,2560
88,2020-06-04,2585
89,2020-06-05,2627
90,2020-06-06,2711
91,2020-06-07,2727
92,2020-06-08,2810
93,2020-06-09,2889
94,2020-06-10,2993
95,2020-06-11,3086
96,2020-06-12,3191
97,2020-06-13,3266
