,Date,Cases
0,2020-03-10,1
1,2020-03-11,2
2,2020-03-12,2
3,2020-03-13,2
4,2020-03-14,2
5,2020-03-15,3
6,2020-03-16,15
7,2020-03-17,15
8,2020-03-18,20
9,2020-03-19,33
10,2020-03-20,40
11,2020-03-21,64
12,2020-03-22,75
13,2020-03-23,99
14,2020-03-24,114
15,2020-03-25,146
16,2020-03-26,152
17,2020-03-27,180
18,2020-03-28,207
19,2020-03-29,222
20,2020-03-30,246
21,2020-03-31,261
22,2020-04-01,282
23,2020-04-02,288
24,2020-04-03,302
25,2020-04-04,318
26,2020-04-05,345
27,2020-04-06,364
28,2020-04-07,384
29,2020-04-08,414
30,2020-04-09,443
31,2020-04-10,443
32,2020-04-11,484
33,2020-04-12,497
34,2020-04-13,497
35,2020-04-14,528
36,2020-04-15,542
37,2020-04-16,546
38,2020-04-17,557
39,2020-04-18,565
40,2020-04-19,576
41,2020-04-20,581
42,2020-04-21,600
43,2020-04-22,609
44,2020-04-23,616
45,2020-04-24,629
46,2020-04-25,629
47,2020-04-26,632
48,2020-04-27,635
49,2020-04-28,638
50,2020-04-29,641
51,2020-04-30,645
52,2020-05-01,649
53,2020-05-02,652
54,2020-05-03,662
55,2020-05-04,672
56,2020-05-05,688
57,2020-05-06,729
58,2020-05-07,736
59,2020-05-08,744
60,2020-05-09,748
61,2020-05-10,751
62,2020-05-11,760
63,2020-05-12,766
64,2020-05-13,773
65,2020-05-14,773
66,2020-05-15,780
67,2020-05-16,782
68,2020-05-17,796
69,2020-05-18,796
70,2020-05-19,796
71,2020-05-20,809
72,2020-05-21,812
73,2020-05-22,814
74,2020-05-23,814
75,2020-05-24,814
76,2020-05-25,832
77,2020-05-26,832
78,2020-05-27,845
79,2020-05-28,847
80,2020-05-29,847
81,2020-05-30,847
82,2020-05-31,847
83,2020-06-01,847
84,2020-06-02,881
85,2020-06-03,884
86,2020-06-04,885
87,2020-06-05,888
88,2020-06-06,888
89,2020-06-07,889
90,2020-06-08,890
91,2020-06-09,891
92,2020-06-10,891
93,2020-06-11,892
94,2020-06-12,892
95,2020-06-13,892
96,2020-06-14,894
97,2020-06-15,894
98,2020-06-16,895
99,2020-06-17,899
100,2020-06-18,899
101,2020-06-19,900
102,2020-06-20,901
103,2020-06-21,903
104,2020-06-22,903
105,2020-06-23,907
106,2020-06-24,919
107,2020-06-25,934
108,2020-06-26,941
109,2020-06-27,941
110,2020-06-28,959
111,2020-06-29,959
112,2020-06-30,962
113,2020-07-01,962
114,2020-07-02,967
115,2020-07-03,980
116,2020-07-04,987
117,2020-07-05,987
118,2020-07-06,1000
119,2020-07-07,1003
120,2020-07-08,1003
121,2020-07-09,1005
122,2020-07-10,1020
123,2020-07-11,1033
124,2020-07-12,1036
125,2020-07-13,1036
126,2020-07-14,1037
127,2020-07-15,1038
128,2020-07-16,1038
129,2020-07-17,1045
130,2020-07-18,1047
131,2020-07-19,1052
132,2020-07-20,1065
133,2020-07-21,1065
134,2020-07-22,1066
135,2020-07-23,1070
136,2020-07-24,1075
137,2020-07-25,1086
138,2020-07-26,1086
139,2020-07-27,1100
140,2020-07-28,1105
141,2020-07-29,1105
142,2020-07-30,1106
143,2020-07-31,1106
144,2020-08-01,1143
145,2020-08-02,1143
146,2020-08-03,1150
147,2020-08-04,1153
148,2020-08-05,1153
149,2020-08-06,1158
150,2020-08-07,1158
151,2020-08-08,1175
152,2020-08-09,1175
153,2020-08-10,1204
154,2020-08-11,1211
155,2020-08-12,1213
156,2020-08-13,1228
157,2020-08-14,1238
158,2020-08-15,1240
159,2020-08-16,1267
160,2020-08-17,1280
161,2020-08-18,1280
162,2020-08-19,1285
163,2020-08-20,1297
164,2020-08-21,1297
165,2020-08-22,1297
166,2020-08-23,1320
167,2020-08-24,1338
168,2020-08-25,1338
169,2020-08-26,1352
170,2020-08-27,1352
171,2020-08-28,1352
172,2020-08-29,1352
173,2020-08-30,1357
174,2020-08-31,1368
