,Date,Cases
0,2020-03-31,2
1,2020-04-01,2
2,2020-04-02,3
3,2020-04-03,3
4,2020-04-04,3
5,2020-04-05,3
6,2020-04-06,3
7,2020-04-07,3
8,2020-04-08,3
9,2020-04-09,3
10,2020-04-10,3
11,2020-04-11,5
12,2020-04-12,5
13,2020-04-13,5
14,2020-04-14,5
15,2020-04-15,5
16,2020-04-16,5
17,2020-04-17,5
18,2020-04-18,5
19,2020-04-19,5
20,2020-04-20,5
21,2020-04-21,5
22,2020-04-22,11
23,2020-04-23,11
24,2020-04-24,11
25,2020-04-25,11
26,2020-04-26,11
27,2020-04-27,11
28,2020-04-28,11
29,2020-04-29,11
30,2020-04-30,11
31,2020-05-01,11
32,2020-05-02,15
33,2020-05-03,15
34,2020-05-04,15
35,2020-05-05,15
36,2020-05-06,15
37,2020-05-07,15
38,2020-05-08,15
39,2020-05-09,15
40,2020-05-10,15
41,2020-05-11,15
42,2020-05-12,15
43,2020-05-13,15
44,2020-05-14,15
45,2020-05-15,15
46,2020-05-16,15
47,2020-05-17,23
48,2020-05-18,42
49,2020-05-19,42
50,2020-05-20,42
51,2020-05-21,42
52,2020-05-22,42
53,2020-05-23,42
54,2020-05-24,42
55,2020-05-25,42
56,2020-05-26,42
57,2020-05-27,42
58,2020-05-28,42
59,2020-05-29,42
60,2020-05-30,63
61,2020-05-31,63
62,2020-06-01,63
63,2020-06-02,63
64,2020-06-03,63
65,2020-06-04,63
66,2020-06-05,63
67,2020-06-06,83
68,2020-06-07,83
69,2020-06-08,83
70,2020-06-09,83
71,2020-06-10,83
72,2020-06-11,85
73,2020-06-12,85
74,2020-06-13,85
75,2020-06-14,85
76,2020-06-15,85
77,2020-06-16,104
78,2020-06-17,104
79,2020-06-18,104
80,2020-06-19,104
81,2020-06-20,104
82,2020-06-21,144
83,2020-06-22,144
84,2020-06-23,144
85,2020-06-24,144
86,2020-06-25,144
87,2020-06-26,144
88,2020-06-27,170
89,2020-06-28,170
90,2020-06-29,170
91,2020-06-30,170
92,2020-07-01,170
93,2020-07-02,170
94,2020-07-03,191
95,2020-07-04,191
96,2020-07-05,191
97,2020-07-06,191
98,2020-07-07,191
99,2020-07-08,191
