,Date,Cases
0,2020-01-27,1
1,2020-01-28,1
2,2020-01-29,1
3,2020-01-30,1
4,2020-01-31,1
5,2020-02-01,1
6,2020-02-02,1
7,2020-02-03,1
8,2020-02-04,1
9,2020-02-05,1
10,2020-02-06,1
11,2020-02-07,1
12,2020-02-08,1
13,2020-02-09,1
14,2020-02-10,1
15,2020-02-11,1
16,2020-02-12,1
17,2020-02-13,1
18,2020-02-14,1
19,2020-02-15,1
20,2020-02-16,1
21,2020-02-17,1
22,2020-02-18,1
23,2020-02-19,1
24,2020-02-20,1
25,2020-02-21,1
26,2020-02-22,1
27,2020-02-23,1
28,2020-02-24,1
29,2020-02-25,1
30,2020-02-26,1
31,2020-02-27,1
32,2020-02-28,1
33,2020-02-29,1
34,2020-03-01,1
35,2020-03-02,1
36,2020-03-03,1
37,2020-03-04,1
38,2020-03-05,1
39,2020-03-06,1
40,2020-03-07,1
41,2020-03-08,2
42,2020-03-09,2
43,2020-03-10,2
44,2020-03-11,3
45,2020-03-12,3
46,2020-03-13,5
47,2020-03-14,7
48,2020-03-15,7
49,2020-03-16,7
50,2020-03-17,33
51,2020-03-18,35
52,2020-03-19,37
53,2020-03-20,51
54,2020-03-21,53
55,2020-03-22,84
56,2020-03-23,87
57,2020-03-24,91
58,2020-03-25,96
59,2020-03-26,96
60,2020-03-27,99
61,2020-03-28,99
62,2020-03-29,103
63,2020-03-30,107
64,2020-03-31,109
65,2020-04-01,109
66,2020-04-02,110
67,2020-04-03,114
68,2020-04-04,114
69,2020-04-05,114
70,2020-04-06,114
71,2020-04-07,115
72,2020-04-08,117
73,2020-04-09,119
74,2020-04-10,119
75,2020-04-11,120
76,2020-04-12,122
77,2020-04-13,122
78,2020-04-14,122
79,2020-04-15,122
80,2020-04-16,122
81,2020-04-17,122
82,2020-04-18,122
83,2020-04-19,122
84,2020-04-20,122
85,2020-04-21,122
86,2020-04-22,122
87,2020-04-23,122
88,2020-04-24,122
89,2020-04-25,122
90,2020-04-26,122
91,2020-04-27,122
92,2020-04-28,122
93,2020-04-29,122
94,2020-04-30,122
95,2020-05-01,122
96,2020-05-02,122
97,2020-05-03,122
98,2020-05-04,122
99,2020-05-05,122
100,2020-05-06,122
101,2020-05-07,122
102,2020-05-08,122
103,2020-05-09,122
104,2020-05-10,122
105,2020-05-11,122
106,2020-05-12,122
107,2020-05-13,122
108,2020-05-14,122
109,2020-05-15,122
110,2020-05-16,122
111,2020-05-17,122
112,2020-05-18,122
113,2020-05-19,122
114,2020-05-20,122
115,2020-05-21,123
116,2020-05-22,123
117,2020-05-23,124
118,2020-05-24,124
119,2020-05-25,124
120,2020-05-26,124
121,2020-05-27,124
122,2020-05-28,124
123,2020-05-29,124
124,2020-05-30,125
125,2020-05-31,125
126,2020-06-01,125
127,2020-06-02,125
128,2020-06-03,125
129,2020-06-04,125
130,2020-06-05,125
131,2020-06-06,125
132,2020-06-07,126
133,2020-06-08,126
134,2020-06-09,126
135,2020-06-10,126
136,2020-06-11,126
137,2020-06-12,126
138,2020-06-13,128
139,2020-06-14,128
140,2020-06-15,128
141,2020-06-16,128
142,2020-06-17,128
143,2020-06-18,129
144,2020-06-19,129
145,2020-06-20,129
146,2020-06-21,129
