,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,2
3,2020-03-09,2
4,2020-03-10,2
5,2020-03-11,2
6,2020-03-12,2
7,2020-03-13,2
8,2020-03-14,2
9,2020-03-15,2
10,2020-03-16,4
11,2020-03-17,10
12,2020-03-18,10
13,2020-03-19,13
14,2020-03-20,20
15,2020-03-21,27
16,2020-03-22,40
17,2020-03-23,56
18,2020-03-24,66
19,2020-03-25,75
20,2020-03-26,75
21,2020-03-27,91
22,2020-03-28,91
23,2020-03-29,139
24,2020-03-30,139
25,2020-03-31,193
26,2020-04-01,233
27,2020-04-02,306
28,2020-04-03,509
29,2020-04-04,555
30,2020-04-05,650
31,2020-04-06,658
32,2020-04-07,658
33,2020-04-08,730
34,2020-04-09,730
35,2020-04-10,820
36,2020-04-11,820
37,2020-04-12,820
38,2020-04-13,820
39,2020-04-14,848
40,2020-04-15,848
41,2020-04-16,996
42,2020-04-17,996
43,2020-04-18,1017
44,2020-04-19,1017
45,2020-04-20,1163
46,2020-04-21,1163
47,2020-04-22,1163
48,2020-04-23,1334
49,2020-04-24,1430
50,2020-04-25,1518
51,2020-04-26,1621
52,2020-04-27,1705
53,2020-04-28,1705
54,2020-04-29,1832
55,2020-04-30,1832
56,2020-05-01,1832
57,2020-05-02,2077
58,2020-05-03,2077
59,2020-05-04,2104
60,2020-05-05,2104
61,2020-05-06,2265
62,2020-05-07,2267
63,2020-05-08,2267
64,2020-05-09,2274
65,2020-05-10,2579
66,2020-05-11,2689
67,2020-05-12,2689
68,2020-05-13,2800
69,2020-05-14,2954
70,2020-05-15,3105
71,2020-05-16,3105
72,2020-05-17,3105
73,2020-05-18,3529
74,2020-05-19,3529
75,2020-05-20,3733
76,2020-05-21,4288
77,2020-05-22,4400
78,2020-05-23,4400
79,2020-05-24,4890
80,2020-05-25,4890
81,2020-05-26,5436
82,2020-05-27,5436
83,2020-05-28,5436
84,2020-05-29,5436
85,2020-05-30,5904
86,2020-05-31,5904
87,2020-06-01,6397
88,2020-06-02,6585
89,2020-06-03,6585
90,2020-06-04,6789
91,2020-06-05,7392
92,2020-06-06,7599
93,2020-06-07,7908
94,2020-06-08,8060
95,2020-06-09,8312
96,2020-06-10,8681
97,2020-06-11,8681
98,2020-06-12,8681
99,2020-06-13,8681
100,2020-06-14,8681
101,2020-06-15,9864
102,2020-06-16,9864
103,2020-06-17,9864
104,2020-06-18,9864
105,2020-06-19,10638
106,2020-06-20,11610
107,2020-06-21,11892
108,2020-06-22,12041
109,2020-06-23,12270
110,2020-06-24,12592
111,2020-06-25,12592
112,2020-06-26,12592
113,2020-06-27,12592
114,2020-06-28,12592
115,2020-06-29,12592
116,2020-06-30,12592
117,2020-07-01,12592
118,2020-07-02,12592
119,2020-07-03,12592
120,2020-07-04,12592
121,2020-07-05,12592
122,2020-07-06,12592
123,2020-07-07,14916
124,2020-07-08,14916
125,2020-07-09,14916
126,2020-07-10,14916
127,2020-07-11,15173
128,2020-07-12,15173
129,2020-07-13,15173
130,2020-07-14,15173
131,2020-07-15,15173
132,2020-07-16,16157
133,2020-07-17,16157
134,2020-07-18,16157
135,2020-07-19,16157
136,2020-07-20,16157
137,2020-07-21,16522
138,2020-07-22,16522
139,2020-07-23,16522
140,2020-07-24,16708
141,2020-07-25,16708
142,2020-07-26,16708
143,2020-07-27,17110
144,2020-07-28,17179
