,Date,Cases
0,2020-03-20,1
1,2020-03-21,3
2,2020-03-22,3
3,2020-03-23,3
4,2020-03-24,3
5,2020-03-25,4
6,2020-03-26,4
7,2020-03-27,5
8,2020-03-28,5
9,2020-03-29,6
10,2020-03-30,6
11,2020-03-31,6
12,2020-04-01,6
13,2020-04-02,6
14,2020-04-03,6
15,2020-04-04,7
16,2020-04-05,7
17,2020-04-06,7
18,2020-04-07,7
19,2020-04-08,7
20,2020-04-09,7
21,2020-04-10,7
22,2020-04-11,8
23,2020-04-12,8
24,2020-04-13,10
25,2020-04-14,11
26,2020-04-15,56
27,2020-04-16,56
28,2020-04-17,56
29,2020-04-18,58
30,2020-04-19,61
31,2020-04-20,67
32,2020-04-21,68
33,2020-04-22,73
34,2020-04-23,82
35,2020-04-24,88
36,2020-04-25,90
37,2020-04-26,106
38,2020-04-27,109
39,2020-04-28,114
40,2020-04-29,114
41,2020-04-30,121
42,2020-05-01,122
43,2020-05-02,152
44,2020-05-03,165
45,2020-05-04,175
46,2020-05-05,186
47,2020-05-06,191
48,2020-05-07,218
49,2020-05-08,230
50,2020-05-09,236
51,2020-05-10,246
52,2020-05-11,260
53,2020-05-12,267
54,2020-05-13,289
55,2020-05-14,315
56,2020-05-15,326
57,2020-05-16,328
58,2020-05-17,328
59,2020-05-18,328
60,2020-05-19,335
61,2020-05-20,349
62,2020-05-21,356
63,2020-05-22,362
64,2020-05-23,371
65,2020-05-24,380
66,2020-05-25,390
67,2020-05-26,390
68,2020-05-27,390
69,2020-05-28,390
70,2020-05-29,405
71,2020-05-30,421
72,2020-05-31,435
73,2020-06-01,458
74,2020-06-02,466
75,2020-06-03,477
76,2020-06-04,502
77,2020-06-05,536
78,2020-06-06,542
79,2020-06-07,554
80,2020-06-08,567
81,2020-06-09,585
82,2020-06-10,615
83,2020-06-11,657
84,2020-06-12,697
85,2020-06-13,726
86,2020-06-14,750
87,2020-06-15,760
88,2020-06-16,781
89,2020-06-17,792
