,Date,Cases
0,2020-03-15,1
1,2020-03-16,1
2,2020-03-17,1
3,2020-03-18,1
4,2020-03-19,1
5,2020-03-20,3
6,2020-03-21,3
7,2020-03-22,3
8,2020-03-23,3
9,2020-03-24,3
10,2020-03-25,3
11,2020-03-26,3
12,2020-03-27,3
13,2020-03-28,3
14,2020-03-29,3
15,2020-03-30,3
16,2020-03-31,3
17,2020-04-01,3
18,2020-04-02,3
19,2020-04-03,8
20,2020-04-04,8
21,2020-04-05,8
22,2020-04-06,8
23,2020-04-07,8
24,2020-04-08,8
25,2020-04-09,8
26,2020-04-10,8
27,2020-04-11,8
28,2020-04-12,8
29,2020-04-13,11
30,2020-04-14,11
31,2020-04-15,12
32,2020-04-16,12
33,2020-04-17,12
34,2020-04-18,12
35,2020-04-19,12
36,2020-04-20,12
37,2020-04-21,14
38,2020-04-22,14
39,2020-04-23,16
40,2020-04-24,16
41,2020-04-25,16
42,2020-04-26,19
43,2020-04-27,19
44,2020-04-28,50
45,2020-04-29,50
46,2020-04-30,50
47,2020-05-01,72
48,2020-05-02,72
49,2020-05-03,72
50,2020-05-04,85
51,2020-05-05,85
52,2020-05-06,94
53,2020-05-07,94
54,2020-05-08,143
55,2020-05-09,143
56,2020-05-10,143
57,2020-05-11,143
58,2020-05-12,143
59,2020-05-13,143
60,2020-05-14,143
61,2020-05-15,301
62,2020-05-16,327
63,2020-05-17,327
64,2020-05-18,327
65,2020-05-19,366
66,2020-05-20,418
67,2020-05-21,436
68,2020-05-22,479
69,2020-05-23,552
70,2020-05-24,604
71,2020-05-25,652
72,2020-05-26,671
73,2020-05-27,702
74,2020-05-28,755
75,2020-05-29,874
76,2020-05-30,962
77,2020-05-31,1011
78,2020-06-01,1069
79,2020-06-02,1069
80,2020-06-03,1173
81,2020-06-04,1288
82,2020-06-05,1451
83,2020-06-06,1570
84,2020-06-07,1634
85,2020-06-08,1850
86,2020-06-09,1850
87,2020-06-10,1888
88,2020-06-11,1952
89,2020-06-12,2044
90,2020-06-13,2057
91,2020-06-14,2057
