,Date,Cases
0,2020-03-19,1
1,2020-03-20,1
2,2020-03-21,1
3,2020-03-22,1
4,2020-03-23,1
5,2020-03-24,3
6,2020-03-25,3
7,2020-03-26,3
8,2020-03-27,3
9,2020-03-28,3
10,2020-03-29,3
11,2020-03-30,5
12,2020-03-31,7
13,2020-04-01,7
14,2020-04-02,8
15,2020-04-03,8
16,2020-04-04,9
17,2020-04-05,9
18,2020-04-06,9
19,2020-04-07,10
20,2020-04-08,10
21,2020-04-09,11
22,2020-04-10,11
23,2020-04-11,11
24,2020-04-12,18
25,2020-04-13,23
26,2020-04-14,23
27,2020-04-15,23
28,2020-04-16,27
29,2020-04-17,27
30,2020-04-18,33
31,2020-04-19,33
32,2020-04-20,33
33,2020-04-21,33
34,2020-04-22,33
35,2020-04-23,33
36,2020-04-24,40
37,2020-04-25,46
38,2020-04-26,46
39,2020-04-27,46
40,2020-04-28,52
41,2020-04-29,52
42,2020-04-30,73
43,2020-05-01,73
44,2020-05-02,117
45,2020-05-03,117
46,2020-05-04,117
47,2020-05-05,170
48,2020-05-06,170
49,2020-05-07,253
50,2020-05-08,260
51,2020-05-09,322
52,2020-05-10,322
53,2020-05-11,322
54,2020-05-12,357
55,2020-05-13,372
56,2020-05-14,399
57,2020-05-15,428
58,2020-05-16,474
59,2020-05-17,503
60,2020-05-18,519
61,2020-05-19,545
62,2020-05-20,565
63,2020-05-21,588
64,2020-05-22,611
65,2020-05-23,648
66,2020-05-24,675
67,2020-05-25,687
68,2020-05-26,700
69,2020-05-27,715
70,2020-05-28,726
71,2020-05-29,759
72,2020-05-30,759
73,2020-05-31,778
74,2020-06-01,790
75,2020-06-02,803
76,2020-06-03,820
77,2020-06-04,828
78,2020-06-05,836
79,2020-06-06,836
80,2020-06-07,837
81,2020-06-08,839
82,2020-06-09,844
83,2020-06-10,846
84,2020-06-11,848
85,2020-06-12,848
86,2020-06-13,848
87,2020-06-14,850
88,2020-06-15,850
89,2020-06-16,853
90,2020-06-17,854
91,2020-06-18,854
92,2020-06-19,858
93,2020-06-20,858
94,2020-06-21,858
95,2020-06-22,858
96,2020-06-23,860
97,2020-06-24,860
98,2020-06-25,863
99,2020-06-26,865
100,2020-06-27,865
101,2020-06-28,866
102,2020-06-29,866
103,2020-06-30,866
104,2020-07-01,866
105,2020-07-02,868
106,2020-07-03,871
107,2020-07-04,871
108,2020-07-05,872
109,2020-07-06,872
110,2020-07-07,873
111,2020-07-08,873
112,2020-07-09,873
113,2020-07-10,874
114,2020-07-11,874
115,2020-07-12,880
116,2020-07-13,880
117,2020-07-14,884
118,2020-07-15,885
119,2020-07-16,886
120,2020-07-17,887
121,2020-07-18,889
122,2020-07-19,889
123,2020-07-20,889
124,2020-07-21,889
125,2020-07-22,889
126,2020-07-23,915
127,2020-07-24,915
128,2020-07-25,915
129,2020-07-26,915
130,2020-07-27,922
131,2020-07-28,926
132,2020-07-29,926
133,2020-07-30,935
134,2020-07-31,936
135,2020-08-01,936
136,2020-08-02,936
137,2020-08-03,936
138,2020-08-04,938
139,2020-08-05,939
140,2020-08-06,942
141,2020-08-07,942
142,2020-08-08,942
143,2020-08-09,944
144,2020-08-10,945
145,2020-08-11,946
146,2020-08-12,949
147,2020-08-13,949
148,2020-08-14,951
149,2020-08-15,952
150,2020-08-16,956
151,2020-08-17,959
152,2020-08-18,970
153,2020-08-19,971
154,2020-08-20,972
155,2020-08-21,981
156,2020-08-22,982
157,2020-08-23,986
158,2020-08-24,987
159,2020-08-25,995
160,2020-08-26,998
161,2020-08-27,1004
162,2020-08-28,1008
163,2020-08-29,1008
164,2020-08-30,1012
165,2020-08-31,1013
166,2020-09-01,1017
167,2020-09-02,1017
168,2020-09-03,1018
169,2020-09-04,1023
170,2020-09-05,1034
171,2020-09-06,1039
172,2020-09-07,1040
173,2020-09-08,1045
174,2020-09-09,1048
175,2020-09-10,1051
176,2020-09-11,1081
177,2020-09-12,1083
178,2020-09-13,1084
179,2020-09-14,1085
180,2020-09-15,1087
181,2020-09-16,1090
182,2020-09-17,1115
183,2020-09-18,1147
184,2020-09-19,1149
185,2020-09-20,1151
186,2020-09-21,1153
187,2020-09-22,1155
188,2020-09-23,1164
189,2020-09-24,1171
190,2020-09-25,1175
191,2020-09-26,1177
192,2020-09-27,1178
193,2020-09-28,1185
194,2020-09-29,1193
195,2020-09-30,1200
196,2020-10-01,1203
197,2020-10-02,1211
198,2020-10-03,1214
199,2020-10-04,1217
200,2020-10-05,1223
201,2020-10-06,1238
202,2020-10-07,1251
203,2020-10-08,1262
204,2020-10-09,1274
205,2020-10-10,1291
206,2020-10-11,1304
207,2020-10-12,1308
208,2020-10-13,1321
209,2020-10-14,1329
210,2020-10-15,1350
211,2020-10-16,1361
212,2020-10-17,1365
213,2020-10-18,1379
214,2020-10-19,1390
215,2020-10-20,1399
216,2020-10-21,1404
217,2020-10-22,1410
218,2020-10-23,1423
219,2020-10-24,1434
220,2020-10-25,1437
221,2020-10-26,1441
222,2020-10-27,1460
223,2020-10-28,1468
224,2020-10-29,1473
225,2020-10-30,1483
226,2020-10-31,1483
227,2020-11-01,1498
228,2020-11-02,1499
229,2020-11-03,1513
230,2020-11-04,1517
231,2020-11-05,1529
232,2020-11-06,1538
233,2020-11-07,1543
234,2020-11-08,1547
235,2020-11-09,1551
236,2020-11-10,1561
237,2020-11-11,1565
238,2020-11-12,1578
239,2020-11-13,1589
240,2020-11-14,1591
241,2020-11-15,1597
242,2020-11-16,1603
243,2020-11-17,1608
244,2020-11-18,1616
245,2020-11-19,1620
246,2020-11-20,1626
247,2020-11-21,1633
248,2020-11-22,1642
249,2020-11-23,1648
250,2020-11-24,1649
251,2020-11-25,1655
252,2020-11-26,1661
253,2020-11-27,1663
