,Date,Cases
0,2020-02-23,2
1,2020-02-24,2
2,2020-02-25,2
3,2020-02-26,2
4,2020-02-27,2
5,2020-02-28,2
6,2020-02-29,2
7,2020-03-01,9
8,2020-03-02,9
9,2020-03-03,10
10,2020-03-04,10
11,2020-03-05,13
12,2020-03-06,13
13,2020-03-07,13
14,2020-03-08,20
15,2020-03-09,20
16,2020-03-10,25
17,2020-03-11,35
18,2020-03-12,35
19,2020-03-13,55
20,2020-03-14,88
21,2020-03-15,101
22,2020-03-16,182
23,2020-03-17,228
24,2020-03-18,265
25,2020-03-19,265
26,2020-03-20,461
27,2020-03-21,592
28,2020-03-22,687
29,2020-03-23,801
30,2020-03-24,977
31,2020-03-25,1197
32,2020-03-26,1361
33,2020-03-27,1665
34,2020-03-28,2015
35,2020-03-29,2245
36,2020-03-30,2555
37,2020-03-31,2844
38,2020-04-01,3137
39,2020-04-02,3510
40,2020-04-03,3843
41,2020-04-04,4355
42,2020-04-05,4665
43,2020-04-06,5009
44,2020-04-07,5310
45,2020-04-08,5740
46,2020-04-09,6166
47,2020-04-10,6695
48,2020-04-11,7366
49,2020-04-12,7652
50,2020-04-13,7964
51,2020-04-14,8356
52,2020-04-15,8712
53,2020-04-16,9246
54,2020-04-17,9691
55,2020-04-18,10598
56,2020-04-19,10956
57,2020-04-20,11375
58,2020-04-21,11700
59,2020-04-22,12164
60,2020-04-23,12680
61,2020-04-24,13174
62,2020-04-25,14537
63,2020-04-26,15010
64,2020-04-27,15492
65,2020-04-28,16044
66,2020-04-29,16564
67,2020-04-30,17702
68,2020-05-01,18687
69,2020-05-02,21213
70,2020-05-03,22441
71,2020-05-04,23421
72,2020-05-05,24794
73,2020-05-06,25826
74,2020-05-07,27359
75,2020-05-08,28750
76,2020-05-09,32208
77,2020-05-10,33855
78,2020-05-11,35052
79,2020-05-12,36710
80,2020-05-13,39370
81,2020-05-14,42029
82,2020-05-15,44531
83,2020-05-16,50016
84,2020-05-17,52369
85,2020-05-18,54647
86,2020-05-19,58167
87,2020-05-20,62205
88,2020-05-21,66169
89,2020-05-22,70445
90,2020-05-23,80287
91,2020-05-24,83996
92,2020-05-25,88891
93,2020-05-26,92855
94,2020-05-27,97183
95,2020-05-28,101837
96,2020-05-29,105532
97,2020-05-30,118720
98,2020-05-31,123550
99,2020-06-01,129020
100,2020-06-02,132548
101,2020-06-03,137490
102,2020-06-04,142154
103,2020-06-05,146361
104,2020-06-06,160351
105,2020-06-07,166756
106,2020-06-08,171452
107,2020-06-09,175365
108,2020-06-10,181062
109,2020-06-11,186698
110,2020-06-12,193452
111,2020-06-13,201634
112,2020-06-14,208572
113,2020-06-15,213715
114,2020-06-16,218728
115,2020-06-17,220628
116,2020-06-18,225103
117,2020-06-19,231393
118,2020-06-20,236748
119,2020-06-21,242355
120,2020-06-22,246963
121,2020-06-23,250767
122,2020-06-24,254416
123,2020-06-25,259064
124,2020-06-26,263360
125,2020-06-27,267766
126,2020-06-28,271982
127,2020-06-29,275999
128,2020-06-30,279393
129,2020-07-01,282043
130,2020-07-02,284541
131,2020-07-03,288089
132,2020-07-04,291847
133,2020-07-05,295532
134,2020-07-06,298557
135,2020-07-07,301019
136,2020-07-08,303083
137,2020-07-09,306216
138,2020-07-10,309274
139,2020-07-11,312029
140,2020-07-12,315041
141,2020-07-13,317657
142,2020-07-14,319493
143,2020-07-15,321205
144,2020-07-16,323698
145,2020-07-17,326439
146,2020-07-18,328846
147,2020-07-19,330930
148,2020-07-20,333029
149,2020-07-21,334683
150,2020-07-22,336402
151,2020-07-23,338759
152,2020-07-24,341304
153,2020-07-25,343592
154,2020-07-26,345790
155,2020-07-27,347923
156,2020-07-28,349800
157,2020-07-29,351575
158,2020-07-30,353536
159,2020-07-31,355667
160,2020-08-01,357658
161,2020-08-02,359731
162,2020-08-03,361493
163,2020-08-04,362962
164,2020-08-05,364723
165,2020-08-06,366671
166,2020-08-07,368825
167,2020-08-08,371023
168,2020-08-09,373056
169,2020-08-10,375044
170,2020-08-11,376616
171,2020-08-12,378168
172,2020-08-13,380034
173,2020-08-14,382111
174,2020-08-15,383902
175,2020-08-16,385946
176,2020-08-17,387502
177,2020-08-18,388855
178,2020-08-19,390037
179,2020-08-20,391849
180,2020-08-21,393769
181,2020-08-22,395708
182,2020-08-23,397665
183,2020-08-24,399568
184,2020-08-25,400985
185,2020-08-26,402365
186,2020-08-27,404102
187,2020-08-28,405972
188,2020-08-29,408009
189,2020-08-30,409974
190,2020-08-31,411726
191,2020-09-01,413145
192,2020-09-02,414739
193,2020-09-03,416501
194,2020-09-04,418469
195,2020-09-05,420434
196,2020-09-06,422510
197,2020-09-07,424274
198,2020-09-08,425541
199,2020-09-09,427027
200,2020-09-10,428669
201,2020-09-11,430535
202,2020-09-12,432666
203,2020-09-13,434748
204,2020-09-14,436433
205,2020-09-15,437983
206,2020-09-16,439287
207,2020-09-17,441150
208,2020-09-18,442827
209,2020-09-19,444674
210,2020-09-20,446274
211,2020-09-21,447468
212,2020-09-22,448523
213,2020-09-23,449903
214,2020-09-24,451634
215,2020-09-25,453868
216,2020-09-26,455979
217,2020-09-27,457901
218,2020-09-28,459671
219,2020-09-29,461300
220,2020-09-30,462991
221,2020-10-01,464750
222,2020-10-02,466590
223,2020-10-03,468471
224,2020-10-04,470179
225,2020-10-05,471746
226,2020-10-06,473306
227,2020-10-07,474440
228,2020-10-08,476016
229,2020-10-09,477769
230,2020-10-10,479595
231,2020-10-11,481371
232,2020-10-12,482832
233,2020-10-13,484280
234,2020-10-14,485372
235,2020-10-15,486496
236,2020-10-16,488190
237,2020-10-17,490003
238,2020-10-18,491760
239,2020-10-19,493305
240,2020-10-20,494478
241,2020-10-21,495637
242,2020-10-22,497131
243,2020-10-23,498906
244,2020-10-24,500542
245,2020-10-25,502063
246,2020-10-26,503598
247,2020-10-27,504525
248,2020-10-28,505530
249,2020-10-29,507050
250,2020-10-30,508571
251,2020-10-31,510256
252,2020-11-01,511864
253,2020-11-02,513140
254,2020-11-03,514202
255,2020-11-04,515042
256,2020-11-05,516582
257,2020-11-06,518390
258,2020-11-07,519977
259,2020-11-08,521558
260,2020-11-09,522879
261,2020-11-10,523907
262,2020-11-11,524804
263,2020-11-12,526438
264,2020-11-13,528030
265,2020-11-14,529676
266,2020-11-15,531273
267,2020-11-16,532604
268,2020-11-17,533610
269,2020-11-18,534558
270,2020-11-19,536012
271,2020-11-20,537585
272,2020-11-21,539143
273,2020-11-22,540640
274,2020-11-23,542080
275,2020-11-24,543087
276,2020-11-25,544092
277,2020-11-26,545662
278,2020-11-27,547243
279,2020-11-28,548941
280,2020-11-29,550430
281,2020-11-30,551743
282,2020-12-01,552864
283,2020-12-02,553898
284,2020-12-03,555406
285,2020-12-04,557135
286,2020-12-05,558668
287,2020-12-06,560382
288,2020-12-07,562142
289,2020-12-08,563534
290,2020-12-09,564778
291,2020-12-10,566440
292,2020-12-11,567974
293,2020-12-12,569781
294,2020-12-13,571919
295,2020-12-14,573830
296,2020-12-15,575329
297,2020-12-16,576731
298,2020-12-17,578732
299,2020-12-18,581135
300,2020-12-19,583355
301,2020-12-20,585546
302,2020-12-21,587993
303,2020-12-22,589189
304,2020-12-23,590914
305,2020-12-24,594152
306,2020-12-25,595831
307,2020-12-26,598394
308,2020-12-27,600105
309,2020-12-28,602028
310,2020-12-29,603986
311,2020-12-30,606950
312,2020-12-31,608973
313,2021-01-01,612564
314,2021-01-02,615902
315,2021-01-03,618191
316,2021-01-04,620641
317,2021-01-05,623101
318,2021-01-06,625483
319,2021-01-07,629176
320,2021-01-08,633381
321,2021-01-09,637742
322,2021-01-10,641923
323,2021-01-11,645892
324,2021-01-12,649135
325,2021-01-13,652525
326,2021-01-14,656712
327,2021-01-15,661180
328,2021-01-16,665493
329,2021-01-17,669832
330,2021-01-18,673750
331,2021-01-19,677151
332,2021-01-20,680740
333,2021-01-21,685107
334,2021-01-22,690066
335,2021-01-23,694647
336,2021-01-24,699110
337,2021-01-25,703178
338,2021-01-26,706500
339,2021-01-27,709888
340,2021-01-28,714143
