,Date,Cases
0,2020-01-22,548
1,2020-01-23,643
2,2020-01-24,920
3,2020-01-25,1406
4,2020-01-26,2075
5,2020-01-27,2877
6,2020-01-28,5509
7,2020-01-29,6087
8,2020-01-30,8141
9,2020-01-31,9802
10,2020-02-01,11891
11,2020-02-02,16630
12,2020-02-03,19716
13,2020-02-04,23707
14,2020-02-05,27440
15,2020-02-06,30587
16,2020-02-07,34110
17,2020-02-08,36814
18,2020-02-09,39829
19,2020-02-10,42354
20,2020-02-11,44386
21,2020-02-12,44759
22,2020-02-13,59895
23,2020-02-14,66358
24,2020-02-15,68413
25,2020-02-16,70513
26,2020-02-17,72434
27,2020-02-18,74211
28,2020-02-19,74619
29,2020-02-20,75077
30,2020-02-21,75550
31,2020-02-22,77001
32,2020-02-23,77022
33,2020-02-24,77241
34,2020-02-25,77754
35,2020-02-26,78166
36,2020-02-27,78600
37,2020-02-28,78928
38,2020-02-29,79356
39,2020-03-01,79932
40,2020-03-02,80136
41,2020-03-03,80261
42,2020-03-04,80386
43,2020-03-05,80537
44,2020-03-06,80690
45,2020-03-07,80770
46,2020-03-08,80823
47,2020-03-09,80860
48,2020-03-10,80887
49,2020-03-11,80921
50,2020-03-12,80932
51,2020-03-13,80945
52,2020-03-14,80977
53,2020-03-15,81003
54,2020-03-16,81033
55,2020-03-17,81058
56,2020-03-18,81102
57,2020-03-19,81156
58,2020-03-20,81250
59,2020-03-21,81305
60,2020-03-22,81435
61,2020-03-23,81498
62,2020-03-24,81591
63,2020-03-25,81661
64,2020-03-26,81782
65,2020-03-27,81897
66,2020-03-28,81999
67,2020-03-29,82122
68,2020-03-30,82198
69,2020-03-31,82279
70,2020-04-01,82361
71,2020-04-02,82432
72,2020-04-03,82511
73,2020-04-04,82543
74,2020-04-05,82602
75,2020-04-06,82665
76,2020-04-07,82718
77,2020-04-08,82809
78,2020-04-09,82883
79,2020-04-10,82941
80,2020-04-11,83014
81,2020-04-12,83134
82,2020-04-13,83213
83,2020-04-14,83306
84,2020-04-15,83356
85,2020-04-16,83403
86,2020-04-17,83760
87,2020-04-18,83787
88,2020-04-19,83805
89,2020-04-20,83817
90,2020-04-21,83853
91,2020-04-22,83868
92,2020-04-23,83884
93,2020-04-24,83899
94,2020-04-25,83909
95,2020-04-26,83912
96,2020-04-27,83918
97,2020-04-28,83940
98,2020-04-29,83944
99,2020-04-30,83956
100,2020-05-01,83959
101,2020-05-02,83959
102,2020-05-03,83964
103,2020-05-04,83966
104,2020-05-05,83968
105,2020-05-06,83970
106,2020-05-07,83975
107,2020-05-08,83976
108,2020-05-09,83990
109,2020-05-10,84010
110,2020-05-11,84011
111,2020-05-12,84018
112,2020-05-13,84024
113,2020-05-14,84029
114,2020-05-15,84038
115,2020-05-16,84044
116,2020-05-17,84054
117,2020-05-18,84063
118,2020-05-19,84063
119,2020-05-20,84063
120,2020-05-21,84063
121,2020-05-22,84081
122,2020-05-23,84084
123,2020-05-24,84095
124,2020-05-25,84102
125,2020-05-26,84103
126,2020-05-27,84106
127,2020-05-28,84106
128,2020-05-29,84123
129,2020-05-30,84128
130,2020-05-31,84146
131,2020-06-01,84154
132,2020-06-02,84161
133,2020-06-03,84160
134,2020-06-04,84171
135,2020-06-05,84177
136,2020-06-06,84186
137,2020-06-07,84191
138,2020-06-08,84195
139,2020-06-09,84198
140,2020-06-10,84209
141,2020-06-11,84216
142,2020-06-12,84228
143,2020-06-13,84286
144,2020-06-14,84335
145,2020-06-15,84378
146,2020-06-16,84422
147,2020-06-17,84458
148,2020-06-18,84494
149,2020-06-19,84494
150,2020-06-20,84553
151,2020-06-21,84572
152,2020-06-22,84624
153,2020-06-23,84653
154,2020-06-24,84673
155,2020-06-25,84701
156,2020-06-26,84725
157,2020-06-27,84743
158,2020-06-28,84757
159,2020-06-29,84780
160,2020-06-30,84785
161,2020-07-01,84816
162,2020-07-02,84830
163,2020-07-03,84838
164,2020-07-04,84857
165,2020-07-05,84871
166,2020-07-06,84889
167,2020-07-07,84917
168,2020-07-08,84950
169,2020-07-09,84992
170,2020-07-10,84992
171,2020-07-11,85071
172,2020-07-12,85117
173,2020-07-13,85117
174,2020-07-14,85226
175,2020-07-15,85246
176,2020-07-16,85327
177,2020-07-17,85402
178,2020-07-18,85418
179,2020-07-19,85503
180,2020-07-20,85622
181,2020-07-21,85708
182,2020-07-22,85906
183,2020-07-23,86045
184,2020-07-24,86202
185,2020-07-25,86381
186,2020-07-26,86570
187,2020-07-27,86783
188,2020-07-28,86990
189,2020-07-29,87213
190,2020-07-30,87489
191,2020-07-31,87655
192,2020-08-01,87827
193,2020-08-02,87985
194,2020-08-03,88099
195,2020-08-04,88206
196,2020-08-05,88328
197,2020-08-06,88460
198,2020-08-07,88580
199,2020-08-08,88672
200,2020-08-09,88793
201,2020-08-10,88906
202,2020-08-11,88958
203,2020-08-12,89045
204,2020-08-13,89144
205,2020-08-14,89214
206,2020-08-15,89279
207,2020-08-16,89375
208,2020-08-17,89441
209,2020-08-18,89494
210,2020-08-19,89527
211,2020-08-20,89567
212,2020-08-21,89616
213,2020-08-22,89654
214,2020-08-23,89695
215,2020-08-24,89718
216,2020-08-25,89752
217,2020-08-26,89784
218,2020-08-27,89814
219,2020-08-28,89836
220,2020-08-29,89863
221,2020-08-30,89895
222,2020-08-31,89914
223,2020-09-01,89933
224,2020-09-02,89953
225,2020-09-03,89986
226,2020-09-04,90008
227,2020-09-05,90025
228,2020-09-06,90058
229,2020-09-07,90078
230,2020-09-08,90087
231,2020-09-09,90100
232,2020-09-10,90127
233,2020-09-11,90145
234,2020-09-12,90168
235,2020-09-13,90197
236,2020-09-14,90219
237,2020-09-15,90235
238,2020-09-16,90253
239,2020-09-17,90294
240,2020-09-18,90311
241,2020-09-19,90334
242,2020-09-20,90369
243,2020-09-21,90381
244,2020-09-22,90399
245,2020-09-23,90409
246,2020-09-24,90424
247,2020-09-25,90441
248,2020-09-26,90456
249,2020-09-27,90483
250,2020-09-28,90505
251,2020-09-29,90528
252,2020-09-30,90545
253,2020-10-01,90567
254,2020-10-02,90584
255,2020-10-03,90604
256,2020-10-04,90629
