,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,1
3,2020-03-09,1
4,2020-03-10,3
5,2020-03-11,9
6,2020-03-12,9
7,2020-03-13,13
8,2020-03-14,22
9,2020-03-15,34
10,2020-03-16,57
11,2020-03-17,75
12,2020-03-18,102
13,2020-03-19,108
14,2020-03-20,158
15,2020-03-21,196
16,2020-03-22,231
17,2020-03-23,277
18,2020-03-24,378
19,2020-03-25,470
20,2020-03-26,491
21,2020-03-27,539
22,2020-03-28,608
23,2020-03-29,702
24,2020-03-30,798
25,2020-03-31,906
26,2020-04-01,1065
27,2020-04-02,1161
28,2020-04-03,1267
29,2020-04-04,1406
30,2020-04-05,1485
31,2020-04-06,1579
32,2020-04-07,1780
33,2020-04-08,2054
34,2020-04-09,2223
35,2020-04-10,2473
36,2020-04-11,2709
37,2020-04-12,2776
38,2020-04-13,2852
39,2020-04-14,2979
40,2020-04-15,3105
41,2020-04-16,3233
42,2020-04-17,3439
43,2020-04-18,3621
44,2020-04-19,3792
45,2020-04-20,3977
46,2020-04-21,4149
47,2020-04-22,4356
48,2020-04-23,4561
49,2020-04-24,4881
50,2020-04-25,5142
51,2020-04-26,5379
52,2020-04-27,5597
53,2020-04-28,5949
54,2020-04-29,6207
55,2020-04-30,6507
56,2020-05-01,7006
57,2020-05-02,7285
58,2020-05-03,7668
59,2020-05-04,7973
60,2020-05-05,8613
61,2020-05-06,8959
62,2020-05-07,9456
63,2020-05-08,10051
64,2020-05-09,10495
65,2020-05-10,11063
66,2020-05-11,11613
67,2020-05-12,12272
68,2020-05-13,12930
69,2020-05-14,13610
70,2020-05-15,14216
71,2020-05-16,14939
72,2020-05-17,15574
73,2020-05-18,16295
74,2020-05-19,16935
75,2020-05-20,17687
76,2020-05-21,18330
77,2020-05-22,19131
78,2020-05-23,20177
79,2020-05-24,21175
80,2020-05-25,21981
81,2020-05-26,23003
82,2020-05-27,24104
83,2020-05-28,25366
84,2020-05-29,26688
85,2020-05-30,28236
86,2020-05-31,29383
87,2020-06-01,30493
88,2020-06-02,31833
89,2020-06-03,33354
90,2020-06-04,35120
91,2020-06-05,36635
92,2020-06-06,38027
93,2020-06-07,39236
94,2020-06-08,40719
95,2020-06-09,42078
96,2020-06-10,43682
97,2020-06-11,45212
98,2020-06-12,46858
99,2020-06-13,48746
100,2020-06-14,50939
101,2020-06-15,53063
102,2020-06-16,54931
103,2020-06-17,57046
104,2020-06-18,60217
105,2020-06-19,63276
106,2020-06-20,65633
107,2020-06-21,68652
108,2020-06-22,71183
109,2020-06-23,73572
110,2020-06-24,77113
111,2020-06-25,80599
112,2020-06-26,84442
113,2020-06-27,88591
114,2020-06-28,91769
115,2020-06-29,95043
116,2020-06-30,97846
117,2020-07-01,102009
118,2020-07-02,106110
119,2020-07-03,109505
120,2020-07-04,113389
121,2020-07-05,117110
122,2020-07-06,120281
123,2020-07-07,124494
124,2020-07-08,128638
125,2020-07-09,133973
126,2020-07-10,140776
127,2020-07-11,145632
128,2020-07-12,150445
129,2020-07-13,154277
130,2020-07-14,159898
131,2020-07-15,165169
132,2020-07-16,173206
133,2020-07-17,182140
134,2020-07-18,190700
135,2020-07-19,197278
136,2020-07-20,204005
137,2020-07-21,211038
138,2020-07-22,218428
139,2020-07-23,226373
140,2020-07-24,233541
141,2020-07-25,240795
142,2020-07-26,248976
143,2020-07-27,257101
