,Date,Cases
0,2020-04-30,1
1,2020-05-01,1
2,2020-05-02,3
3,2020-05-03,3
4,2020-05-04,3
5,2020-05-05,3
6,2020-05-06,8
7,2020-05-07,8
8,2020-05-08,8
9,2020-05-09,11
10,2020-05-10,11
11,2020-05-11,11
12,2020-05-12,11
13,2020-05-13,11
14,2020-05-14,11
15,2020-05-15,11
16,2020-05-16,11
17,2020-05-17,11
18,2020-05-18,11
19,2020-05-19,11
20,2020-05-20,34
21,2020-05-21,34
22,2020-05-22,78
23,2020-05-23,78
24,2020-05-24,87
25,2020-05-25,87
26,2020-05-26,87
27,2020-05-27,87
28,2020-05-28,87
29,2020-05-29,87
30,2020-05-30,106
31,2020-05-31,106
32,2020-06-01,106
33,2020-06-02,132
34,2020-06-03,132
35,2020-06-04,132
36,2020-06-05,132
37,2020-06-06,141
38,2020-06-07,141
39,2020-06-08,141
40,2020-06-09,141
41,2020-06-10,162
42,2020-06-11,162
43,2020-06-12,163
44,2020-06-13,176
45,2020-06-14,176
46,2020-06-15,176
47,2020-06-16,197
48,2020-06-17,197
49,2020-06-18,210
50,2020-06-19,210
51,2020-06-20,247
52,2020-06-21,247
53,2020-06-22,247
54,2020-06-23,265
55,2020-06-24,265
56,2020-06-25,272
57,2020-06-26,272
58,2020-06-27,272
59,2020-06-28,272
60,2020-06-29,272
61,2020-06-30,303
62,2020-07-01,303
63,2020-07-02,303
64,2020-07-03,309
65,2020-07-04,309
66,2020-07-05,311
67,2020-07-06,311
68,2020-07-07,311
69,2020-07-08,313
70,2020-07-09,314
71,2020-07-10,314
72,2020-07-11,317
73,2020-07-12,317
74,2020-07-13,317
75,2020-07-14,321
76,2020-07-15,321
77,2020-07-16,328
78,2020-07-17,328
79,2020-07-18,328
80,2020-07-19,334
81,2020-07-20,334
82,2020-07-21,337
83,2020-07-22,337
84,2020-07-23,340
85,2020-07-24,340
86,2020-07-25,340
87,2020-07-26,354
88,2020-07-27,354
89,2020-07-28,354
90,2020-07-29,378
91,2020-07-30,378
92,2020-07-31,378
93,2020-08-01,386
94,2020-08-02,386
95,2020-08-03,386
96,2020-08-04,388
97,2020-08-05,388
98,2020-08-06,396
99,2020-08-07,396
100,2020-08-08,399
101,2020-08-09,399
102,2020-08-10,399
103,2020-08-11,399
104,2020-08-12,399
105,2020-08-13,399
106,2020-08-14,403
107,2020-08-15,403
108,2020-08-16,405
109,2020-08-17,405
110,2020-08-18,406
111,2020-08-19,406
112,2020-08-20,417
113,2020-08-21,417
114,2020-08-22,417
115,2020-08-23,417
116,2020-08-24,417
117,2020-08-25,417
118,2020-08-26,417
119,2020-08-27,422
120,2020-08-28,422
121,2020-08-29,423
122,2020-08-30,423
123,2020-08-31,423
124,2020-09-01,427
125,2020-09-02,427
126,2020-09-03,448
127,2020-09-04,448
128,2020-09-05,452
129,2020-09-06,452
130,2020-09-07,452
131,2020-09-08,456
132,2020-09-09,456
133,2020-09-10,456
134,2020-09-11,456
135,2020-09-12,456
136,2020-09-13,456
137,2020-09-14,457
138,2020-09-15,467
139,2020-09-16,467
140,2020-09-17,470
141,2020-09-18,470
142,2020-09-19,470
143,2020-09-20,470
144,2020-09-21,470
145,2020-09-22,470
146,2020-09-23,470
147,2020-09-24,474
148,2020-09-25,474
149,2020-09-26,478
150,2020-09-27,478
151,2020-09-28,478
152,2020-09-29,479
153,2020-09-30,479
154,2020-10-01,484
155,2020-10-02,484
156,2020-10-03,487
157,2020-10-04,487
158,2020-10-05,487
159,2020-10-06,491
160,2020-10-07,491
161,2020-10-08,495
162,2020-10-09,495
163,2020-10-10,495
164,2020-10-11,495
165,2020-10-12,495
166,2020-10-13,496
167,2020-10-14,496
168,2020-10-15,496
169,2020-10-16,502
170,2020-10-17,502
171,2020-10-18,502
172,2020-10-19,502
173,2020-10-20,504
174,2020-10-21,504
175,2020-10-22,517
176,2020-10-23,517
177,2020-10-24,517
178,2020-10-25,517
179,2020-10-26,517
180,2020-10-27,517
181,2020-10-28,517
182,2020-10-29,517
183,2020-10-30,537
184,2020-10-31,545
185,2020-11-01,545
186,2020-11-02,545
187,2020-11-03,545
188,2020-11-04,554
189,2020-11-05,557
190,2020-11-06,557
191,2020-11-07,563
192,2020-11-08,563
193,2020-11-09,563
194,2020-11-10,569
195,2020-11-11,569
196,2020-11-12,574
197,2020-11-13,574
198,2020-11-14,579
199,2020-11-15,579
200,2020-11-16,579
201,2020-11-17,591
202,2020-11-18,591
203,2020-11-19,592
204,2020-11-20,592
205,2020-11-21,596
206,2020-11-22,596
207,2020-11-23,596
208,2020-11-24,607
209,2020-11-25,607
210,2020-11-26,610
211,2020-11-27,610
212,2020-11-28,611
213,2020-11-29,611
214,2020-11-30,611
215,2020-12-01,613
216,2020-12-02,613
217,2020-12-03,615
218,2020-12-04,615
219,2020-12-05,616
220,2020-12-06,616
221,2020-12-07,616
222,2020-12-08,617
223,2020-12-09,617
224,2020-12-10,617
225,2020-12-11,617
226,2020-12-12,628
227,2020-12-13,628
228,2020-12-14,628
229,2020-12-15,633
230,2020-12-16,633
231,2020-12-17,643
232,2020-12-18,643
233,2020-12-19,643
234,2020-12-20,666
235,2020-12-21,666
236,2020-12-22,693
237,2020-12-23,693
238,2020-12-24,715
239,2020-12-25,715
240,2020-12-26,715
241,2020-12-27,715
242,2020-12-28,715
243,2020-12-29,765
244,2020-12-30,765
245,2020-12-31,823
246,2021-01-01,823
247,2021-01-02,864
248,2021-01-03,864
249,2021-01-04,864
250,2021-01-05,995
251,2021-01-06,995
252,2021-01-07,1050
253,2021-01-08,1050
254,2021-01-09,1150
255,2021-01-10,1150
256,2021-01-11,1160
257,2021-01-12,1166
258,2021-01-13,1169
259,2021-01-14,1403
260,2021-01-15,1469
261,2021-01-16,1577
262,2021-01-17,1592
263,2021-01-18,1769
264,2021-01-19,1864
265,2021-01-20,1933
266,2021-01-21,1935
267,2021-01-22,2160
268,2021-01-23,2260
269,2021-01-24,2268
270,2021-01-25,2350
271,2021-01-26,2425
272,2021-01-27,2492
273,2021-01-28,2598
