,Date,Cases
0,2020-03-15,1
1,2020-03-16,1
2,2020-03-17,1
3,2020-03-18,1
4,2020-03-19,3
5,2020-03-20,3
6,2020-03-21,3
7,2020-03-22,3
8,2020-03-23,4
9,2020-03-24,4
10,2020-03-25,4
11,2020-03-26,4
12,2020-03-27,4
13,2020-03-28,4
14,2020-03-29,19
15,2020-03-30,19
16,2020-03-31,19
17,2020-04-01,19
18,2020-04-02,22
19,2020-04-03,22
20,2020-04-04,22
21,2020-04-05,45
22,2020-04-06,45
23,2020-04-07,45
24,2020-04-08,45
25,2020-04-09,60
26,2020-04-10,60
27,2020-04-11,60
28,2020-04-12,60
29,2020-04-13,60
30,2020-04-14,60
31,2020-04-15,117
32,2020-04-16,117
33,2020-04-17,143
34,2020-04-18,143
35,2020-04-19,143
36,2020-04-20,160
37,2020-04-21,165
38,2020-04-22,186
39,2020-04-23,186
40,2020-04-24,200
41,2020-04-25,200
42,2020-04-26,200
43,2020-04-27,200
44,2020-04-28,207
45,2020-04-29,207
46,2020-04-30,220
47,2020-05-01,229
48,2020-05-02,229
49,2020-05-03,229
50,2020-05-04,236
51,2020-05-05,236
52,2020-05-06,264
53,2020-05-07,264
54,2020-05-08,274
55,2020-05-09,274
56,2020-05-10,274
57,2020-05-11,333
58,2020-05-12,333
59,2020-05-13,333
60,2020-05-14,391
61,2020-05-15,391
62,2020-05-16,391
63,2020-05-17,391
64,2020-05-18,412
65,2020-05-19,420
66,2020-05-20,420
67,2020-05-21,469
68,2020-05-22,469
69,2020-05-23,487
70,2020-05-24,487
71,2020-05-25,487
72,2020-05-26,487
73,2020-05-27,571
74,2020-05-28,571
75,2020-05-29,571
76,2020-05-30,571
77,2020-05-31,611
78,2020-06-01,611
79,2020-06-02,611
80,2020-06-03,611
81,2020-06-04,611
82,2020-06-05,635
83,2020-06-06,683
84,2020-06-07,683
85,2020-06-08,683
86,2020-06-09,728
87,2020-06-10,728
88,2020-06-11,728
89,2020-06-12,728
90,2020-06-13,728
91,2020-06-14,728
92,2020-06-15,883
93,2020-06-16,883
