,Date,Cases
0,2020-03-11,1
1,2020-03-12,1
2,2020-03-13,2
3,2020-03-14,2
4,2020-03-15,2
5,2020-03-16,2
6,2020-03-17,3
7,2020-03-18,4
8,2020-03-19,14
9,2020-03-20,18
10,2020-03-21,23
11,2020-03-22,30
12,2020-03-23,36
13,2020-03-24,45
14,2020-03-25,48
15,2020-03-26,51
16,2020-03-27,51
17,2020-03-28,65
18,2020-03-29,65
19,2020-03-30,81
20,2020-03-31,98
21,2020-04-01,109
22,2020-04-02,134
23,2020-04-03,134
24,2020-04-04,154
25,2020-04-05,154
26,2020-04-06,161
27,2020-04-07,180
28,2020-04-08,180
29,2020-04-09,180
30,2020-04-10,215
31,2020-04-11,223
32,2020-04-12,234
33,2020-04-13,235
34,2020-04-14,241
35,2020-04-15,254
36,2020-04-16,267
37,2020-04-17,287
38,2020-04-18,307
39,2020-04-19,327
40,2020-04-20,332
41,2020-04-21,350
42,2020-04-22,359
43,2020-04-23,377
44,2020-04-24,394
45,2020-04-25,416
46,2020-04-26,442
47,2020-04-27,459
48,2020-04-28,471
49,2020-04-29,491
50,2020-04-30,572
51,2020-05-01,604
52,2020-05-02,674
53,2020-05-03,674
54,2020-05-04,682
55,2020-05-05,705
56,2020-05-06,797
57,2020-05-07,863
58,2020-05-08,937
59,2020-05-09,937
60,2020-05-10,991
61,2020-05-11,1024
62,2020-05-12,1102
63,2020-05-13,1169
64,2020-05-14,1242
65,2020-05-15,1298
66,2020-05-16,1455
67,2020-05-17,1455
68,2020-05-18,1538
69,2020-05-19,1629
70,2020-05-20,1731
71,2020-05-21,1835
72,2020-05-22,1945
73,2020-05-23,2025
74,2020-05-24,2141
75,2020-05-25,2297
76,2020-05-26,2403
77,2020-05-27,2546
78,2020-05-28,2660
79,2020-05-29,2833
80,2020-05-30,2966
81,2020-05-31,3070
82,2020-06-01,3195
83,2020-06-02,3326
84,2020-06-03,3495
85,2020-06-04,3644
86,2020-06-05,3764
87,2020-06-06,3878
88,2020-06-07,4016
89,2020-06-08,4106
90,2020-06-09,4259
91,2020-06-10,4390
92,2020-06-11,4515
93,2020-06-12,4637
94,2020-06-13,4724
95,2020-06-14,4778
96,2020-06-15,4837
97,2020-06-16,4974
98,2020-06-17,5100
99,2020-06-18,5283
100,2020-06-19,5477
101,2020-06-20,5672
102,2020-06-21,5826
103,2020-06-22,5924
104,2020-06-23,6027
105,2020-06-24,6213
106,2020-06-25,6411
107,2020-06-26,6552
108,2020-06-27,6690
109,2020-06-28,6827
110,2020-06-29,6939
111,2020-06-30,7039
112,2020-07-01,7122
113,2020-07-02,7189
114,2020-07-03,7311
115,2020-07-04,7379
116,2020-07-05,7411
117,2020-07-06,7432
118,2020-07-07,7432
119,2020-07-08,7432
120,2020-07-09,7846
121,2020-07-10,7905
122,2020-07-11,7971
123,2020-07-12,8033
124,2020-07-13,8075
125,2020-07-14,8135
126,2020-07-15,8163
127,2020-07-16,8199
128,2020-07-17,8249
129,2020-07-18,8324
130,2020-07-19,8403
131,2020-07-20,8443
132,2020-07-21,8534
133,2020-07-22,8626
134,2020-07-23,8720
135,2020-07-24,8767
136,2020-07-25,8801
137,2020-07-26,8831
138,2020-07-27,8844
139,2020-07-28,8873
140,2020-07-29,8931
141,2020-07-30,9010
142,2020-07-31,9070
143,2020-08-01,9084
144,2020-08-02,9115
145,2020-08-03,9133
146,2020-08-04,9178
147,2020-08-05,9253
148,2020-08-06,9309
149,2020-08-07,9355
150,2020-08-08,9436
151,2020-08-09,9454
152,2020-08-10,9489
153,2020-08-11,9499
154,2020-08-12,9538
155,2020-08-13,9589
156,2020-08-14,9605
157,2020-08-15,9638
158,2020-08-16,9676
159,2020-08-17,9706
160,2020-08-18,9721
161,2020-08-19,9741
162,2020-08-20,9757
163,2020-08-21,9802
164,2020-08-22,9811
165,2020-08-23,9830
166,2020-08-24,9842
167,2020-08-25,9891
168,2020-08-26,9912
169,2020-08-27,9915
170,2020-08-28,9994
171,2020-08-29,10007
172,2020-08-30,10045
173,2020-08-31,10097
174,2020-09-01,10104
175,2020-09-02,10114
176,2020-09-03,10125
177,2020-09-04,10149
178,2020-09-05,10178
179,2020-09-06,10210
180,2020-09-07,10233
181,2020-09-08,10292
182,2020-09-09,10324
183,2020-09-10,10343
184,2020-09-11,10361
185,2020-09-12,10385
186,2020-09-13,10390
187,2020-09-14,10390
188,2020-09-15,10401
189,2020-09-16,10414
190,2020-09-17,10442
191,2020-09-18,10456
192,2020-09-19,10488
193,2020-09-20,10515
194,2020-09-21,10519
