,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,5
3,2020-03-09,9
4,2020-03-10,9
5,2020-03-11,13
6,2020-03-12,22
7,2020-03-13,23
8,2020-03-14,26
9,2020-03-15,27
10,2020-03-16,35
11,2020-03-17,41
12,2020-03-18,50
13,2020-03-19,69
14,2020-03-20,89
15,2020-03-21,117
16,2020-03-22,134
17,2020-03-23,158
18,2020-03-24,177
19,2020-03-25,201
20,2020-03-26,231
21,2020-03-27,263
22,2020-03-28,295
23,2020-03-29,314
24,2020-03-30,330
25,2020-03-31,347
26,2020-04-01,375
27,2020-04-02,396
28,2020-04-03,416
29,2020-04-04,435
30,2020-04-05,454
31,2020-04-06,467
32,2020-04-07,483
33,2020-04-08,502
34,2020-04-09,539
35,2020-04-10,558
36,2020-04-11,577
37,2020-04-12,595
38,2020-04-13,612
39,2020-04-14,618
40,2020-04-15,626
41,2020-04-16,642
42,2020-04-17,649
43,2020-04-18,655
44,2020-04-19,660
45,2020-04-20,662
46,2020-04-21,669
47,2020-04-22,681
48,2020-04-23,686
49,2020-04-24,687
50,2020-04-25,693
51,2020-04-26,695
52,2020-04-27,697
53,2020-04-28,705
54,2020-04-29,713
55,2020-04-30,719
56,2020-05-01,725
57,2020-05-02,733
58,2020-05-03,739
59,2020-05-04,742
60,2020-05-05,755
61,2020-05-06,761
62,2020-05-07,765
63,2020-05-08,773
64,2020-05-09,780
65,2020-05-10,792
66,2020-05-11,801
67,2020-05-12,804
68,2020-05-13,815
69,2020-05-14,830
70,2020-05-15,843
71,2020-05-16,853
72,2020-05-17,863
73,2020-05-18,866
74,2020-05-19,882
75,2020-05-20,897
76,2020-05-21,903
77,2020-05-22,911
78,2020-05-23,918
79,2020-05-24,930
80,2020-05-25,951
81,2020-05-26,956
82,2020-05-27,984
83,2020-05-28,1000
84,2020-05-29,1022
85,2020-05-30,1047
86,2020-05-31,1056
87,2020-06-01,1084
88,2020-06-02,1105
89,2020-06-03,1157
90,2020-06-04,1194
91,2020-06-05,1228
92,2020-06-06,1263
93,2020-06-07,1318
94,2020-06-08,1342
95,2020-06-09,1375
96,2020-06-10,1461
97,2020-06-11,1538
98,2020-06-12,1612
99,2020-06-13,1662
100,2020-06-14,1715
101,2020-06-15,1744
102,2020-06-16,1796
103,2020-06-17,1871
104,2020-06-18,1939
105,2020-06-19,2058
106,2020-06-20,2127
107,2020-06-21,2213
108,2020-06-22,2277
109,2020-06-23,2368
110,2020-06-24,2515
111,2020-06-25,2684
112,2020-06-26,2836
113,2020-06-27,2979
114,2020-06-28,3130
115,2020-06-29,3269
116,2020-06-30,3459
117,2020-07-01,3753
118,2020-07-02,4023
119,2020-07-03,4311
120,2020-07-04,4621
121,2020-07-05,4996
122,2020-07-06,5241
123,2020-07-07,5486
124,2020-07-08,5836
125,2020-07-09,6485
126,2020-07-10,6845
127,2020-07-11,7231
128,2020-07-12,7596
129,2020-07-13,8036
130,2020-07-14,8482
131,2020-07-15,8986
132,2020-07-16,9546
133,2020-07-17,9969
134,2020-07-18,10551
135,2020-07-19,11114
136,2020-07-20,11534
137,2020-07-21,11811
138,2020-07-22,12361
139,2020-07-23,13129
140,2020-07-24,13669
141,2020-07-25,14600
142,2020-07-26,15229
143,2020-07-27,15841
144,2020-07-28,16344
145,2020-07-29,16800
146,2020-07-30,17290
147,2020-07-31,17820
148,2020-08-01,18187
