,Date,Cases
0,2020-02-25,1
1,2020-02-26,3
2,2020-02-27,3
3,2020-02-28,5
4,2020-02-29,6
5,2020-03-01,7
6,2020-03-02,7
7,2020-03-03,9
8,2020-03-04,10
9,2020-03-05,10
10,2020-03-06,11
11,2020-03-07,12
12,2020-03-08,12
13,2020-03-09,12
14,2020-03-10,14
15,2020-03-11,19
16,2020-03-12,19
17,2020-03-13,32
18,2020-03-14,38
19,2020-03-15,49
20,2020-03-16,57
21,2020-03-17,65
22,2020-03-18,81
23,2020-03-19,105
24,2020-03-20,128
25,2020-03-21,206
26,2020-03-22,254
27,2020-03-23,315
28,2020-03-24,382
29,2020-03-25,442
30,2020-03-26,495
31,2020-03-27,586
32,2020-03-28,657
33,2020-03-29,713
34,2020-03-30,790
35,2020-03-31,867
36,2020-04-01,963
37,2020-04-02,1011
38,2020-04-03,1079
39,2020-04-04,1126
40,2020-04-05,1182
41,2020-04-06,1222
42,2020-04-07,1282
43,2020-04-08,1343
44,2020-04-09,1407
45,2020-04-10,1495
46,2020-04-11,1534
47,2020-04-12,1600
48,2020-04-13,1650
49,2020-04-14,1704
50,2020-04-15,1741
51,2020-04-16,1791
52,2020-04-17,1814
53,2020-04-18,1832
54,2020-04-19,1871
55,2020-04-20,1881
56,2020-04-21,1908
57,2020-04-22,1950
58,2020-04-23,1981
59,2020-04-24,2009
60,2020-04-25,2016
61,2020-04-26,2030
62,2020-04-27,2039
63,2020-04-28,2047
64,2020-04-29,2062
65,2020-04-30,2076
66,2020-05-01,2085
67,2020-05-02,2088
68,2020-05-03,2096
69,2020-05-04,2101
70,2020-05-05,2112
71,2020-05-06,2119
72,2020-05-07,2125
73,2020-05-08,2161
74,2020-05-09,2176
75,2020-05-10,2187
76,2020-05-11,2196
77,2020-05-12,2207
78,2020-05-13,2213
79,2020-05-14,2221
80,2020-05-15,2222
81,2020-05-16,2224
82,2020-05-17,2226
83,2020-05-18,2228
84,2020-05-19,2232
85,2020-05-20,2234
86,2020-05-21,2237
87,2020-05-22,2243
88,2020-05-23,2243
89,2020-05-24,2244
90,2020-05-25,2244
91,2020-05-26,2244
92,2020-05-27,2244
93,2020-05-28,2245
94,2020-05-29,2245
95,2020-05-30,2246
96,2020-05-31,2246
97,2020-06-01,2246
98,2020-06-02,2246
99,2020-06-03,2246
