,Date,Cases
0,2020-03-12,3
1,2020-03-13,4
2,2020-03-14,4
3,2020-03-15,4
4,2020-03-16,4
5,2020-03-17,5
6,2020-03-18,7
7,2020-03-19,11
8,2020-03-20,16
9,2020-03-21,21
10,2020-03-22,35
11,2020-03-23,40
12,2020-03-24,48
13,2020-03-25,57
14,2020-03-26,67
15,2020-03-27,80
16,2020-03-28,119
17,2020-03-29,139
18,2020-03-30,170
19,2020-03-31,186
20,2020-04-01,212
21,2020-04-02,233
22,2020-04-03,269
23,2020-04-04,288
24,2020-04-05,320
25,2020-04-06,350
26,2020-04-07,396
27,2020-04-08,457
28,2020-04-09,515
29,2020-04-10,564
30,2020-04-11,620
31,2020-04-12,669
32,2020-04-13,726
33,2020-04-14,766
34,2020-04-15,814
35,2020-04-16,862
36,2020-04-17,923
37,2020-04-18,986
38,2020-04-19,1035
39,2020-04-20,1087
40,2020-04-21,1137
41,2020-04-22,1189
42,2020-04-23,1235
43,2020-04-24,1285
44,2020-04-25,1337
45,2020-04-26,1369
46,2020-04-27,1389
47,2020-04-28,1437
48,2020-04-29,1467
49,2020-04-30,1501
50,2020-05-01,1537
51,2020-05-02,1611
52,2020-05-03,1649
53,2020-05-04,1668
54,2020-05-05,1685
55,2020-05-06,1703
56,2020-05-07,1729
57,2020-05-08,1741
58,2020-05-09,1754
59,2020-05-10,1766
60,2020-05-11,1783
61,2020-05-12,1804
62,2020-05-13,1810
63,2020-05-14,1830
64,2020-05-15,1840
65,2020-05-16,1862
66,2020-05-17,1872
67,2020-05-18,1881
68,2020-05-19,1887
69,2020-05-20,1900
70,2020-05-21,1908
71,2020-05-22,1916
72,2020-05-23,1931
73,2020-05-24,1941
74,2020-05-25,1947
75,2020-05-26,1963
76,2020-05-27,1974
77,2020-05-28,1983
78,2020-05-29,2005
79,2020-05-30,2025
80,2020-05-31,2045
81,2020-06-01,2083
82,2020-06-02,2092
83,2020-06-03,2107
84,2020-06-04,2119
85,2020-06-05,2133
86,2020-06-06,2173
87,2020-06-07,2191
88,2020-06-08,2200
89,2020-06-09,2205
90,2020-06-10,2211
91,2020-06-11,2219
92,2020-06-12,2233
93,2020-06-13,2238
94,2020-06-14,2248
95,2020-06-15,2262
96,2020-06-16,2273
97,2020-06-17,2280
98,2020-06-18,2295
99,2020-06-19,2305
100,2020-06-20,2309
101,2020-06-21,2312
102,2020-06-22,2315
103,2020-06-23,2318
104,2020-06-24,2319
105,2020-06-25,2321
106,2020-06-26,2325
107,2020-06-27,2330
108,2020-06-28,2332
109,2020-06-29,2340
110,2020-06-30,2341
111,2020-07-01,2348
112,2020-07-02,2353
113,2020-07-03,2361
114,2020-07-04,2369
115,2020-07-05,2372
116,2020-07-06,2380
117,2020-07-07,2395
118,2020-07-08,2399
119,2020-07-09,2403
120,2020-07-10,2413
121,2020-07-11,2420
122,2020-07-12,2426
123,2020-07-13,2428
124,2020-07-14,2432
125,2020-07-15,2438
126,2020-07-16,2440
127,2020-07-17,2444
128,2020-07-18,2445
129,2020-07-19,2446
130,2020-07-20,2446
131,2020-07-21,2449
132,2020-07-22,2462
133,2020-07-23,2466
134,2020-07-24,2469
135,2020-07-25,2478
136,2020-07-26,2495
137,2020-07-27,2532
138,2020-07-28,2555
139,2020-07-29,2588
140,2020-07-30,2597
141,2020-07-31,2608
142,2020-08-01,2633
143,2020-08-02,2646
144,2020-08-03,2670
145,2020-08-04,2701
146,2020-08-05,2726
147,2020-08-06,2775
148,2020-08-07,2829
149,2020-08-08,2888
150,2020-08-09,2953
151,2020-08-10,3046
152,2020-08-11,3093
153,2020-08-12,3128
154,2020-08-13,3174
155,2020-08-14,3229
156,2020-08-15,3292
157,2020-08-16,3316
158,2020-08-17,3364
159,2020-08-18,3408
160,2020-08-19,3482
161,2020-08-20,3565
162,2020-08-21,3582
163,2020-08-22,3617
164,2020-08-23,3682
165,2020-08-24,3717
166,2020-08-25,3744
167,2020-08-26,3759
168,2020-08-27,3806
169,2020-08-28,3866
170,2020-08-29,3925
171,2020-08-30,3973
172,2020-08-31,4032
173,2020-09-01,4065
174,2020-09-02,4126
175,2020-09-03,4214
176,2020-09-04,4266
177,2020-09-05,4298
178,2020-09-06,4309
179,2020-09-07,4352
180,2020-09-08,4377
181,2020-09-09,4459
182,2020-09-10,4551
183,2020-09-11,4593
184,2020-09-12,4653
185,2020-09-13,4684
186,2020-09-14,4726
187,2020-09-15,4803
188,2020-09-16,4876
189,2020-09-17,4933
190,2020-09-18,5004
191,2020-09-19,5055
192,2020-09-20,5091
193,2020-09-21,5141
194,2020-09-22,5222
195,2020-09-23,5270
196,2020-09-24,5310
197,2020-09-25,5350
198,2020-09-26,5412
199,2020-09-27,5457
200,2020-09-28,5483
201,2020-09-29,5531
202,2020-09-30,5597
203,2020-10-01,5670
204,2020-10-02,5718
205,2020-10-03,5780
206,2020-10-04,5809
207,2020-10-05,5845
208,2020-10-06,5883
209,2020-10-07,5898
210,2020-10-08,5917
211,2020-10-09,5943
212,2020-10-10,5948
213,2020-10-11,5978
214,2020-10-12,6000
215,2020-10-13,6017
216,2020-10-14,6035
217,2020-10-15,6062
218,2020-10-16,6118
219,2020-10-17,6170
220,2020-10-18,6220
221,2020-10-19,6258
222,2020-10-20,6305
223,2020-10-21,6368
224,2020-10-22,6421
225,2020-10-23,6479
226,2020-10-24,6534
227,2020-10-25,6566
228,2020-10-26,6595
229,2020-10-27,6678
230,2020-10-28,6727
231,2020-10-29,6766
232,2020-10-30,6801
233,2020-10-31,6887
234,2020-11-01,6935
235,2020-11-02,6970
236,2020-11-03,7035
237,2020-11-04,7144
238,2020-11-05,7184
239,2020-11-06,7228
240,2020-11-07,7267
241,2020-11-08,7297
242,2020-11-09,7349
243,2020-11-10,7392
244,2020-11-11,7429
245,2020-11-12,7487
