,Date,Cases
0,2020-03-09,2
1,2020-03-10,3
2,2020-03-11,6
3,2020-03-12,6
4,2020-03-13,14
5,2020-03-14,26
6,2020-03-15,26
7,2020-03-16,33
8,2020-03-17,46
9,2020-03-18,49
10,2020-03-19,67
11,2020-03-20,67
12,2020-03-21,84
13,2020-03-22,95
14,2020-03-23,116
15,2020-03-24,124
16,2020-03-25,132
17,2020-03-26,146
18,2020-03-27,162
19,2020-03-28,179
20,2020-03-29,214
21,2020-03-30,230
22,2020-03-31,262
23,2020-04-01,320
24,2020-04-02,356
25,2020-04-03,396
26,2020-04-04,426
27,2020-04-05,446
28,2020-04-06,465
29,2020-04-07,494
30,2020-04-08,526
31,2020-04-09,564
32,2020-04-10,595
33,2020-04-11,616
34,2020-04-12,633
35,2020-04-13,662
36,2020-04-14,695
37,2020-04-15,715
38,2020-04-16,735
39,2020-04-17,750
40,2020-04-18,761
41,2020-04-19,767
42,2020-04-20,772
43,2020-04-21,784
44,2020-04-22,790
45,2020-04-23,795
46,2020-04-24,804
47,2020-04-25,810
48,2020-04-26,817
49,2020-04-27,822
50,2020-04-28,837
51,2020-04-29,843
52,2020-04-30,850
53,2020-05-01,857
54,2020-05-02,864
55,2020-05-03,872
56,2020-05-04,874
57,2020-05-05,878
58,2020-05-06,883
59,2020-05-07,889
60,2020-05-08,891
61,2020-05-09,892
62,2020-05-10,898
63,2020-05-11,901
64,2020-05-12,903
65,2020-05-13,905
66,2020-05-14,907
67,2020-05-15,910
68,2020-05-16,914
69,2020-05-17,916
70,2020-05-18,917
71,2020-05-19,918
72,2020-05-20,922
73,2020-05-21,923
74,2020-05-22,927
75,2020-05-23,927
76,2020-05-24,935
77,2020-05-25,937
78,2020-05-26,939
79,2020-05-27,939
80,2020-05-28,941
81,2020-05-29,942
82,2020-05-30,944
83,2020-05-31,944
84,2020-06-01,949
85,2020-06-02,952
86,2020-06-03,958
87,2020-06-04,958
88,2020-06-05,960
89,2020-06-06,960
90,2020-06-07,964
91,2020-06-08,970
92,2020-06-09,972
93,2020-06-10,974
94,2020-06-11,975
95,2020-06-12,980
96,2020-06-13,980
97,2020-06-14,983
98,2020-06-15,985
99,2020-06-16,985
100,2020-06-17,985
101,2020-06-18,985
102,2020-06-19,985
103,2020-06-20,985
104,2020-06-21,986
105,2020-06-22,988
106,2020-06-23,990
107,2020-06-24,991
108,2020-06-25,992
109,2020-06-26,992
110,2020-06-27,994
111,2020-06-28,994
112,2020-06-29,996
113,2020-06-30,998
114,2020-07-01,999
115,2020-07-02,999
116,2020-07-03,999
117,2020-07-04,1002
118,2020-07-05,1003
119,2020-07-06,1004
120,2020-07-07,1005
121,2020-07-08,1008
122,2020-07-09,1010
123,2020-07-10,1013
124,2020-07-11,1014
125,2020-07-12,1021
126,2020-07-13,1022
127,2020-07-14,1023
128,2020-07-15,1025
129,2020-07-16,1031
130,2020-07-17,1033
131,2020-07-18,1037
132,2020-07-19,1038
133,2020-07-20,1038
134,2020-07-21,1040
135,2020-07-22,1040
136,2020-07-23,1045
137,2020-07-24,1047
138,2020-07-25,1053
139,2020-07-26,1057
140,2020-07-27,1060
141,2020-07-28,1067
142,2020-07-29,1080
143,2020-07-30,1090
144,2020-07-31,1114
145,2020-08-01,1124
146,2020-08-02,1150
147,2020-08-03,1155
148,2020-08-04,1180
149,2020-08-05,1195
