,Date,Cases
0,2020-03-01,3
1,2020-03-02,3
2,2020-03-03,5
3,2020-03-04,8
4,2020-03-05,12
5,2020-03-06,18
6,2020-03-07,19
7,2020-03-08,31
8,2020-03-09,31
9,2020-03-10,41
10,2020-03-11,91
11,2020-03-12,94
12,2020-03-13,141
13,2020-03-14,189
14,2020-03-15,253
15,2020-03-16,298
16,2020-03-17,396
17,2020-03-18,464
18,2020-03-19,694
19,2020-03-20,833
20,2020-03-21,995
21,2020-03-22,1120
22,2020-03-23,1236
23,2020-03-24,1394
24,2020-03-25,1654
25,2020-03-26,1925
26,2020-03-27,2279
27,2020-03-28,2631
28,2020-03-29,2817
29,2020-03-30,3001
30,2020-03-31,3308
31,2020-04-01,3508
32,2020-04-02,3858
33,2020-04-03,4091
34,2020-04-04,4472
35,2020-04-05,4587
36,2020-04-06,4822
37,2020-04-07,5017
38,2020-04-08,5312
39,2020-04-09,5569
40,2020-04-10,5732
41,2020-04-11,5831
42,2020-04-12,5991
43,2020-04-13,6059
44,2020-04-14,6111
45,2020-04-15,6216
46,2020-04-16,6433
47,2020-04-17,6549
48,2020-04-18,6606
49,2020-04-19,6746
50,2020-04-20,6900
51,2020-04-21,7033
52,2020-04-22,7132
53,2020-04-23,7187
54,2020-04-24,7273
55,2020-04-25,7352
56,2020-04-26,7404
57,2020-04-27,7445
58,2020-04-28,7504
59,2020-04-29,7579
60,2020-04-30,7682
61,2020-05-01,7737
62,2020-05-02,7755
63,2020-05-03,7781
64,2020-05-04,7819
65,2020-05-05,7896
66,2020-05-06,7974
67,2020-05-07,8031
68,2020-05-08,8077
69,2020-05-09,8095
70,2020-05-10,8123
71,2020-05-11,8176
72,2020-05-12,8221
73,2020-05-13,8269
74,2020-05-14,8351
75,2020-05-15,8406
76,2020-05-16,8455
77,2020-05-17,8475
78,2020-05-18,8586
79,2020-05-19,8647
80,2020-05-20,8721
81,2020-05-21,8754
82,2020-05-22,8813
83,2020-05-23,8890
84,2020-05-24,8955
85,2020-05-25,9002
86,2020-05-26,9050
87,2020-05-27,9086
88,2020-05-28,9140
89,2020-05-29,9196
90,2020-05-30,9230
91,2020-05-31,9268
92,2020-06-01,9302
93,2020-06-02,9364
94,2020-06-03,9438
95,2020-06-04,9494
96,2020-06-05,9529
97,2020-06-06,9567
98,2020-06-07,9628
99,2020-06-08,9697
100,2020-06-09,9751
101,2020-06-10,9824
102,2020-06-11,9855
103,2020-06-12,9938
104,2020-06-13,9991
105,2020-06-14,10024
106,2020-06-15,10064
107,2020-06-16,10111
108,2020-06-17,10162
109,2020-06-18,10280
110,2020-06-19,10406
111,2020-06-20,10448
112,2020-06-21,10498
113,2020-06-22,10523
114,2020-06-23,10650
115,2020-06-24,10777
116,2020-06-25,10870
117,2020-06-26,11038
118,2020-06-27,11298
119,2020-06-28,11603
120,2020-06-29,11805
121,2020-06-30,11954
122,2020-07-01,12046
123,2020-07-02,12178
124,2020-07-03,12319
125,2020-07-04,12440
126,2020-07-05,12515
127,2020-07-06,12566
128,2020-07-07,12685
129,2020-07-08,12814
130,2020-07-09,12919
131,2020-07-10,13001
132,2020-07-11,13115
133,2020-07-12,13174
134,2020-07-13,13238
135,2020-07-14,13341
136,2020-07-15,13475
137,2020-07-16,13612
138,2020-07-17,13742
139,2020-07-18,13855
140,2020-07-19,13945
141,2020-07-20,14098
142,2020-07-21,14324
143,2020-07-22,14570
144,2020-07-23,14800
145,2020-07-24,15081
146,2020-07-25,15212
147,2020-07-26,15324
148,2020-07-27,15516
149,2020-07-28,15799
150,2020-07-29,16093
151,2020-07-30,16371
152,2020-07-31,16574
153,2020-08-01,16699
154,2020-08-02,16800
155,2020-08-03,17008
156,2020-08-04,17286
157,2020-08-05,17529
158,2020-08-06,17731
159,2020-08-07,18060
160,2020-08-08,18235
161,2020-08-09,18353
162,2020-08-10,18494
163,2020-08-11,18783
164,2020-08-12,19075
165,2020-08-13,19401
166,2020-08-14,19693
167,2020-08-15,19891
168,2020-08-16,20012
169,2020-08-17,20202
170,2020-08-18,20483
171,2020-08-19,20798
172,2020-08-20,21045
173,2020-08-21,21551
174,2020-08-22,21790
175,2020-08-23,21923
176,2020-08-24,22181
177,2020-08-25,22548
178,2020-08-26,22951
179,2020-08-27,23169
180,2020-08-28,23777
