,Date,Cases
0,2020-02-27,1
1,2020-02-28,1
2,2020-02-29,3
3,2020-03-01,4
4,2020-03-02,4
5,2020-03-03,6
6,2020-03-04,11
7,2020-03-05,11
8,2020-03-06,24
9,2020-03-07,24
10,2020-03-08,37
11,2020-03-09,92
12,2020-03-10,264
13,2020-03-11,444
14,2020-03-12,617
15,2020-03-13,804
16,2020-03-14,836
17,2020-03-15,875
18,2020-03-16,933
19,2020-03-17,1025
20,2020-03-18,1116
21,2020-03-19,1225
22,2020-03-20,1337
23,2020-03-21,1420
24,2020-03-22,1514
25,2020-03-23,1572
26,2020-03-24,1718
27,2020-03-25,1862
28,2020-03-26,2023
29,2020-03-27,2200
30,2020-03-28,2366
31,2020-03-29,2564
32,2020-03-30,2755
33,2020-03-31,3039
34,2020-04-01,3290
35,2020-04-02,3573
36,2020-04-03,3946
37,2020-04-04,4269
38,2020-04-05,4561
39,2020-04-06,4875
40,2020-04-07,5266
41,2020-04-08,5597
42,2020-04-09,5830
43,2020-04-10,6014
44,2020-04-11,6191
45,2020-04-12,6369
46,2020-04-13,6513
47,2020-04-14,6706
48,2020-04-15,6876
49,2020-04-16,7074
50,2020-04-17,7268
51,2020-04-18,7437
52,2020-04-19,7580
53,2020-04-20,7711
54,2020-04-21,7891
55,2020-04-22,8108
56,2020-04-23,8271
57,2020-04-24,8408
58,2020-04-25,8643
59,2020-04-26,8773
60,2020-04-27,8896
61,2020-04-28,9049
62,2020-04-29,9206
63,2020-04-30,9356
64,2020-05-01,9509
65,2020-05-02,9605
66,2020-05-03,9721
67,2020-05-04,9868
68,2020-05-05,10019
69,2020-05-06,10136
70,2020-05-07,10281
71,2020-05-08,10416
72,2020-05-09,10517
73,2020-05-10,10627
74,2020-05-11,10711
75,2020-05-12,10789
76,2020-05-13,10865
77,2020-05-14,10911
78,2020-05-15,10989
79,2020-05-16,11056
80,2020-05-17,11125
81,2020-05-18,11166
82,2020-05-19,11242
83,2020-05-20,11315
84,2020-05-21,11380
85,2020-05-22,11428
86,2020-05-23,11487
87,2020-05-24,11559
88,2020-05-25,11586
89,2020-05-26,11627
90,2020-05-27,11680
91,2020-05-28,11712
92,2020-05-29,11793
93,2020-05-30,11833
94,2020-05-31,11869
95,2020-06-01,11899
96,2020-06-02,11934
97,2020-06-03,11971
98,2020-06-04,12011
99,2020-06-05,12075
100,2020-06-06,12124
101,2020-06-07,12148
102,2020-06-08,12162
103,2020-06-09,12201
104,2020-06-10,12216
105,2020-06-11,12235
106,2020-06-12,12299
107,2020-06-13,12339
108,2020-06-14,12393
109,2020-06-15,12417
110,2020-06-16,12450
111,2020-06-17,12494
112,2020-06-18,12544
113,2020-06-19,12591
114,2020-06-20,12591
115,2020-06-21,12591
116,2020-06-22,12727
117,2020-06-23,12761
118,2020-06-24,12815
119,2020-06-25,12836
120,2020-06-26,12875
121,2020-06-27,12875
122,2020-06-28,12875
123,2020-06-29,12951
124,2020-06-30,12968
125,2020-07-01,12994
126,2020-07-02,13015
127,2020-07-03,13032
128,2020-07-04,13032
129,2020-07-05,13033
130,2020-07-06,13079
131,2020-07-07,13089
132,2020-07-08,13101
133,2020-07-09,13117
134,2020-07-10,13147
135,2020-07-11,13147
136,2020-07-12,13147
137,2020-07-13,13238
138,2020-07-14,13262
139,2020-07-15,13293
140,2020-07-16,13325
141,2020-07-17,13374
142,2020-07-18,13374
143,2020-07-19,13377
144,2020-07-20,13466
145,2020-07-21,13506
146,2020-07-22,13554
147,2020-07-23,13594
148,2020-07-24,13642
149,2020-07-25,13643
150,2020-07-26,13665
151,2020-07-27,13775
152,2020-07-28,13811
153,2020-07-29,13868
154,2020-07-30,13964
155,2020-07-31,14028
156,2020-08-01,14028
157,2020-08-02,14028
158,2020-08-03,14235
159,2020-08-04,14314
160,2020-08-05,14440
161,2020-08-06,14586
162,2020-08-07,14747
163,2020-08-08,14751
164,2020-08-09,14759
165,2020-08-10,15135
166,2020-08-11,15291
167,2020-08-12,15423
168,2020-08-13,15590
169,2020-08-14,15758
170,2020-08-15,15867
171,2020-08-16,16003
172,2020-08-17,16127
173,2020-08-18,16246
174,2020-08-19,16336
175,2020-08-20,16453
176,2020-08-21,16525
177,2020-08-22,16637
178,2020-08-23,16715
179,2020-08-24,16821
180,2020-08-25,16905
181,2020-08-26,16962
182,2020-08-27,17052
183,2020-08-28,17125
184,2020-08-29,17204
185,2020-08-30,17316
186,2020-08-31,17410
187,2020-09-01,17509
188,2020-09-02,17620
189,2020-09-03,17800
190,2020-09-04,17974
191,2020-09-05,18163
192,2020-09-06,18310
193,2020-09-07,18540
194,2020-09-08,18784
195,2020-09-09,19036
196,2020-09-10,19353
197,2020-09-11,19646
198,2020-09-12,19989
199,2020-09-13,20327
200,2020-09-14,20674
201,2020-09-15,21013
202,2020-09-16,21013
203,2020-09-17,21836
204,2020-09-18,22291
205,2020-09-19,22881
206,2020-09-20,23353
207,2020-09-21,23774
208,2020-09-22,24261
209,2020-09-23,24822
210,2020-09-24,25385
211,2020-09-25,26066
212,2020-09-26,26687
213,2020-09-27,27111
214,2020-09-28,27546
215,2020-09-29,27941
216,2020-09-30,28479
217,2020-10-01,28882
218,2020-10-02,29418
219,2020-10-03,29789
220,2020-10-04,30168
221,2020-10-05,30546
222,2020-10-06,30868
223,2020-10-07,31201
224,2020-10-08,31648
225,2020-10-09,32131
226,2020-10-10,32575
227,2020-10-11,32915
228,2020-10-12,33304
229,2020-10-13,33594
230,2020-10-14,34087
231,2020-10-15,34519
232,2020-10-16,34939
233,2020-10-17,35440
234,2020-10-18,35893
235,2020-10-19,36345
236,2020-10-20,36877
237,2020-10-21,37507
238,2020-10-22,38270
239,2020-10-23,39129
240,2020-10-24,39918
241,2020-10-25,40863
242,2020-10-26,41919
243,2020-10-27,42668
244,2020-10-28,43685
245,2020-10-29,44545
246,2020-10-30,45736
247,2020-10-31,46863
248,2020-11-01,47811
249,2020-11-02,48753
250,2020-11-03,50106
251,2020-11-04,51042
252,2020-11-05,52265
253,2020-11-06,53692
254,2020-11-07,54742
255,2020-11-08,55635
256,2020-11-09,56406
257,2020-11-10,57472
258,2020-11-11,58466
259,2020-11-12,59478
260,2020-11-13,60515
261,2020-11-14,61593
262,2020-11-15,62652
263,2020-11-16,63847
264,2020-11-17,65067
265,2020-11-18,66324
266,2020-11-19,67621
267,2020-11-20,68878
268,2020-11-21,70152
269,2020-11-22,71003
270,2020-11-23,72172
271,2020-11-24,73539
272,2020-11-25,74722
273,2020-11-26,75913
274,2020-11-27,77236
275,2020-11-28,78874
276,2020-11-29,79872
277,2020-11-30,81002
278,2020-12-01,82470
279,2020-12-02,84056
280,2020-12-03,85663
281,2020-12-04,87266
282,2020-12-05,89382
283,2020-12-06,91131
284,2020-12-07,93177
285,2020-12-08,95332
286,2020-12-09,97895
287,2020-12-10,101027
288,2020-12-11,104103
289,2020-12-12,107660
290,2020-12-13,110305
291,2020-12-14,113642
292,2020-12-15,116636
293,2020-12-16,120330
294,2020-12-17,124366
295,2020-12-18,128874
296,2020-12-19,132164
297,2020-12-20,134999
298,2020-12-21,138204
299,2020-12-22,140750
300,2020-12-23,144053
301,2020-12-24,146927
302,2020-12-25,149926
303,2020-12-26,151764
304,2020-12-27,153952
305,2020-12-28,156434
306,2020-12-29,159074
307,2020-12-30,161862
308,2020-12-31,164116
309,2021-01-01,166567
310,2021-01-02,168182
311,2021-01-03,169358
312,2021-01-04,171436
313,2021-01-05,173433
314,2021-01-06,175663
315,2021-01-07,177507
316,2021-01-08,179170
317,2021-01-09,180915
318,2021-01-10,182161
319,2021-01-11,183400
320,2021-01-12,184476
321,2021-01-13,185835
322,2021-01-14,185836
323,2021-01-15,187998
324,2021-01-16,188878
325,2021-01-17,189767
326,2021-01-18,190574
327,2021-01-19,191299
328,2021-01-20,192187
329,2021-01-21,192947
330,2021-01-22,193720
331,2021-01-23,194599
332,2021-01-24,195353
333,2021-01-25,195978
334,2021-01-26,196632
335,2021-01-27,197224
336,2021-01-28,197208
