,Date,Cases
0,2020-03-18,1
1,2020-03-19,1
2,2020-03-20,1
3,2020-03-21,1
4,2020-03-22,1
5,2020-03-23,3
6,2020-03-24,3
7,2020-03-25,11
8,2020-03-26,11
9,2020-03-27,12
10,2020-03-28,14
11,2020-03-29,18
12,2020-03-30,18
13,2020-03-31,30
14,2020-04-01,33
15,2020-04-02,40
16,2020-04-03,49
17,2020-04-04,50
18,2020-04-05,59
19,2020-04-06,90
20,2020-04-07,90
21,2020-04-08,135
22,2020-04-09,135
23,2020-04-10,150
24,2020-04-11,187
25,2020-04-12,214
26,2020-04-13,298
27,2020-04-14,363
28,2020-04-15,435
29,2020-04-16,591
30,2020-04-17,732
31,2020-04-18,732
32,2020-04-19,846
33,2020-04-20,846
34,2020-04-21,945
35,2020-04-22,974
36,2020-04-23,986
37,2020-04-24,999
38,2020-04-25,1008
39,2020-04-26,1023
40,2020-04-27,1035
41,2020-04-28,1072
42,2020-04-29,1077
43,2020-04-30,1089
44,2020-05-01,1097
45,2020-05-02,1112
46,2020-05-03,1112
47,2020-05-04,1116
48,2020-05-05,1120
49,2020-05-06,1124
50,2020-05-07,1133
51,2020-05-08,1135
52,2020-05-09,1189
53,2020-05-10,1210
54,2020-05-11,1227
55,2020-05-12,1256
56,2020-05-13,1268
57,2020-05-14,1284
58,2020-05-15,1309
59,2020-05-16,1331
60,2020-05-17,1401
61,2020-05-18,1518
62,2020-05-19,1618
63,2020-05-20,1828
64,2020-05-21,2047
65,2020-05-22,2270
66,2020-05-23,2270
67,2020-05-24,2270
68,2020-05-25,2468
69,2020-05-26,2468
70,2020-05-27,2697
71,2020-05-28,2914
72,2020-05-29,2914
73,2020-05-30,3194
74,2020-05-31,3354
75,2020-06-01,3569
76,2020-06-02,3779
77,2020-06-03,3935
78,2020-06-04,4054
79,2020-06-05,4123
80,2020-06-06,4169
81,2020-06-07,4207
82,2020-06-08,4278
83,2020-06-09,4331
84,2020-06-10,4373
85,2020-06-11,4398
86,2020-06-12,4441
87,2020-06-13,4449
88,2020-06-14,4465
89,2020-06-15,4501
90,2020-06-16,4539
91,2020-06-17,4545
92,2020-06-18,4557
93,2020-06-19,4565
94,2020-06-20,4565
95,2020-06-21,4582
96,2020-06-22,4599
97,2020-06-23,4617
98,2020-06-24,4630
99,2020-06-25,4635
100,2020-06-26,4643
101,2020-06-27,4643
102,2020-06-28,4643
103,2020-06-29,4656
104,2020-06-30,4682
105,2020-07-01,4704
106,2020-07-02,4715
107,2020-07-03,4736
108,2020-07-04,4736
109,2020-07-05,4792
110,2020-07-06,4822
111,2020-07-07,4878
112,2020-07-08,4889
113,2020-07-09,4955
114,2020-07-10,4968
115,2020-07-11,4968
116,2020-07-12,4972
117,2020-07-13,4977
118,2020-07-14,4979
119,2020-07-15,4985
120,2020-07-16,4993
121,2020-07-17,5003
122,2020-07-18,5003
123,2020-07-19,5011
124,2020-07-20,5020
125,2020-07-21,5027
126,2020-07-22,5030
127,2020-07-23,5031
128,2020-07-24,5039
129,2020-07-25,5039
130,2020-07-26,5050
131,2020-07-27,5059
132,2020-07-28,5068
133,2020-07-29,5081
