,Date,Cases
0,2020-03-22,1
1,2020-03-23,2
2,2020-03-24,2
3,2020-03-25,7
4,2020-03-26,11
5,2020-03-27,11
6,2020-03-28,11
7,2020-03-29,11
8,2020-03-30,11
9,2020-03-31,12
10,2020-04-01,12
11,2020-04-02,12
12,2020-04-03,12
13,2020-04-04,14
14,2020-04-05,14
15,2020-04-06,15
16,2020-04-07,15
17,2020-04-08,15
18,2020-04-09,15
19,2020-04-10,16
20,2020-04-11,16
21,2020-04-12,16
22,2020-04-13,16
23,2020-04-14,16
24,2020-04-15,16
25,2020-04-16,16
26,2020-04-17,16
27,2020-04-18,16
28,2020-04-19,16
29,2020-04-20,16
30,2020-04-21,16
31,2020-04-22,16
32,2020-04-23,16
33,2020-04-24,16
34,2020-04-25,16
35,2020-04-26,16
36,2020-04-27,16
37,2020-04-28,16
38,2020-04-29,16
39,2020-04-30,16
40,2020-05-01,16
41,2020-05-02,16
42,2020-05-03,16
43,2020-05-04,16
44,2020-05-05,16
45,2020-05-06,16
46,2020-05-07,16
47,2020-05-08,16
48,2020-05-09,16
49,2020-05-10,16
50,2020-05-11,16
51,2020-05-12,16
52,2020-05-13,16
53,2020-05-14,16
54,2020-05-15,16
55,2020-05-16,16
56,2020-05-17,16
57,2020-05-18,16
58,2020-05-19,16
59,2020-05-20,16
60,2020-05-21,16
61,2020-05-22,16
62,2020-05-23,16
63,2020-05-24,16
64,2020-05-25,16
65,2020-05-26,16
66,2020-05-27,16
67,2020-05-28,16
68,2020-05-29,16
69,2020-05-30,16
70,2020-05-31,16
71,2020-06-01,16
72,2020-06-02,18
73,2020-06-03,18
74,2020-06-04,18
75,2020-06-05,18
76,2020-06-06,18
77,2020-06-07,18
78,2020-06-08,18
79,2020-06-09,18
80,2020-06-10,18
81,2020-06-11,18
82,2020-06-12,18
83,2020-06-13,18
84,2020-06-14,18
85,2020-06-15,18
86,2020-06-16,18
87,2020-06-17,18
88,2020-06-18,18
89,2020-06-19,18
90,2020-06-20,18
91,2020-06-21,18
92,2020-06-22,18
93,2020-06-23,18
94,2020-06-24,18
95,2020-06-25,18
96,2020-06-26,18
97,2020-06-27,18
98,2020-06-28,18
99,2020-06-29,18
100,2020-06-30,18
101,2020-07-01,18
102,2020-07-02,18
103,2020-07-03,18
104,2020-07-04,18
105,2020-07-05,18
106,2020-07-06,18
107,2020-07-07,18
108,2020-07-08,18
109,2020-07-09,18
110,2020-07-10,18
111,2020-07-11,18
112,2020-07-12,18
113,2020-07-13,18
114,2020-07-14,18
115,2020-07-15,18
116,2020-07-16,18
117,2020-07-17,18
118,2020-07-18,18
119,2020-07-19,18
120,2020-07-20,18
121,2020-07-21,18
122,2020-07-22,18
123,2020-07-23,18
124,2020-07-24,18
125,2020-07-25,18
126,2020-07-26,18
127,2020-07-27,18
128,2020-07-28,18
129,2020-07-29,18
130,2020-07-30,18
131,2020-07-31,18
132,2020-08-01,18
133,2020-08-02,18
134,2020-08-03,18
135,2020-08-04,18
136,2020-08-05,18
137,2020-08-06,18
138,2020-08-07,18
139,2020-08-08,18
140,2020-08-09,18
141,2020-08-10,18
142,2020-08-11,18
143,2020-08-12,18
144,2020-08-13,18
145,2020-08-14,18
146,2020-08-15,18
147,2020-08-16,18
148,2020-08-17,18
149,2020-08-18,18
150,2020-08-19,18
151,2020-08-20,18
152,2020-08-21,18
153,2020-08-22,19
154,2020-08-23,19
155,2020-08-24,20
156,2020-08-25,20
157,2020-08-26,20
158,2020-08-27,20
159,2020-08-28,20
160,2020-08-29,20
161,2020-08-30,20
162,2020-08-31,20
163,2020-09-01,20
164,2020-09-02,20
165,2020-09-03,20
166,2020-09-04,20
167,2020-09-05,22
168,2020-09-06,22
169,2020-09-07,22
170,2020-09-08,22
171,2020-09-09,22
172,2020-09-10,24
173,2020-09-11,24
174,2020-09-12,24
175,2020-09-13,24
176,2020-09-14,24
177,2020-09-15,24
178,2020-09-16,24
179,2020-09-17,24
180,2020-09-18,24
181,2020-09-19,24
182,2020-09-20,24
183,2020-09-21,24
184,2020-09-22,24
185,2020-09-23,24
186,2020-09-24,24
187,2020-09-25,24
188,2020-09-26,24
189,2020-09-27,30
190,2020-09-28,30
191,2020-09-29,30
192,2020-09-30,30
193,2020-10-01,31
194,2020-10-02,31
195,2020-10-03,31
196,2020-10-04,31
197,2020-10-05,31
198,2020-10-06,31
199,2020-10-07,31
200,2020-10-08,31
201,2020-10-09,32
202,2020-10-10,32
203,2020-10-11,32
204,2020-10-12,32
205,2020-10-13,32
206,2020-10-14,32
207,2020-10-15,33
208,2020-10-16,33
209,2020-10-17,33
210,2020-10-18,33
211,2020-10-19,33
212,2020-10-20,33
213,2020-10-21,33
214,2020-10-22,33
215,2020-10-23,37
216,2020-10-24,38
217,2020-10-25,38
218,2020-10-26,38
219,2020-10-27,38
220,2020-10-28,38
221,2020-10-29,38
222,2020-10-30,42
223,2020-10-31,50
224,2020-11-01,50
225,2020-11-02,50
226,2020-11-03,50
227,2020-11-04,50
228,2020-11-05,57
229,2020-11-06,57
230,2020-11-07,63
231,2020-11-08,63
232,2020-11-09,63
233,2020-11-10,63
234,2020-11-11,68
235,2020-11-12,68
236,2020-11-13,68
237,2020-11-14,68
238,2020-11-15,68
239,2020-11-16,68
240,2020-11-17,68
241,2020-11-18,68
242,2020-11-19,68
243,2020-11-20,68
244,2020-11-21,72
245,2020-11-22,72
246,2020-11-23,77
247,2020-11-24,77
248,2020-11-25,77
249,2020-11-26,77
250,2020-11-27,80
251,2020-11-28,85
252,2020-11-29,85
253,2020-11-30,85
254,2020-12-01,85
255,2020-12-02,85
256,2020-12-03,85
257,2020-12-04,85
258,2020-12-05,85
259,2020-12-06,85
260,2020-12-07,85
261,2020-12-08,85
262,2020-12-09,85
263,2020-12-10,85
264,2020-12-11,87
265,2020-12-12,87
266,2020-12-13,88
267,2020-12-14,88
268,2020-12-15,88
269,2020-12-16,88
270,2020-12-17,88
271,2020-12-18,88
272,2020-12-19,88
273,2020-12-20,88
274,2020-12-21,88
275,2020-12-22,88
276,2020-12-23,88
277,2020-12-24,88
278,2020-12-25,88
279,2020-12-26,88
280,2020-12-27,88
281,2020-12-28,88
282,2020-12-29,88
283,2020-12-30,88
284,2020-12-31,88
285,2021-01-01,88
286,2021-01-02,88
287,2021-01-03,88
288,2021-01-04,88
289,2021-01-05,88
290,2021-01-06,105
291,2021-01-07,105
292,2021-01-08,106
293,2021-01-09,106
294,2021-01-10,106
295,2021-01-11,109
296,2021-01-12,109
297,2021-01-13,109
298,2021-01-14,109
299,2021-01-15,109
300,2021-01-16,110
301,2021-01-17,110
302,2021-01-18,110
303,2021-01-19,110
304,2021-01-20,113
305,2021-01-21,113
306,2021-01-22,113
307,2021-01-23,113
308,2021-01-24,113
309,2021-01-25,113
310,2021-01-26,113
311,2021-01-27,113
312,2021-01-28,117
