,Date,Cases
0,2020-03-01,1
1,2020-03-02,1
2,2020-03-03,1
3,2020-03-04,1
4,2020-03-05,1
5,2020-03-06,2
6,2020-03-07,2
7,2020-03-08,5
8,2020-03-09,5
9,2020-03-10,5
10,2020-03-11,5
11,2020-03-12,5
12,2020-03-13,5
13,2020-03-14,11
14,2020-03-15,11
15,2020-03-16,11
16,2020-03-17,21
17,2020-03-18,21
18,2020-03-19,34
19,2020-03-20,72
20,2020-03-21,112
21,2020-03-22,202
22,2020-03-23,245
23,2020-03-24,312
24,2020-03-25,392
25,2020-03-26,488
26,2020-03-27,581
27,2020-03-28,719
28,2020-03-29,859
29,2020-03-30,901
30,2020-03-31,1109
31,2020-04-01,1284
32,2020-04-02,1380
33,2020-04-03,1488
34,2020-04-04,1488
35,2020-04-05,1745
36,2020-04-06,1828
37,2020-04-07,1956
38,2020-04-08,2111
39,2020-04-09,2349
40,2020-04-10,2620
41,2020-04-11,2759
42,2020-04-12,2967
43,2020-04-13,3167
44,2020-04-14,3286
45,2020-04-15,3614
46,2020-04-16,3755
47,2020-04-17,4126
48,2020-04-18,4335
49,2020-04-19,4680
50,2020-04-20,4964
51,2020-04-21,5044
52,2020-04-22,5300
53,2020-04-23,5543
54,2020-04-24,5749
55,2020-04-25,5926
56,2020-04-26,6135
57,2020-04-27,6293
58,2020-04-28,6416
59,2020-04-29,6652
60,2020-04-30,6972
61,2020-05-01,7288
62,2020-05-02,7578
63,2020-05-03,7954
64,2020-05-04,8235
65,2020-05-05,8480
66,2020-05-06,8807
67,2020-05-07,9095
68,2020-05-08,9376
69,2020-05-09,9882
70,2020-05-10,10347
71,2020-05-11,10634
72,2020-05-12,10900
73,2020-05-13,11196
74,2020-05-14,11320
75,2020-05-15,11739
76,2020-05-16,12110
77,2020-05-17,12314
78,2020-05-18,12725
79,2020-05-19,13223
80,2020-05-20,13477
81,2020-05-21,13657
82,2020-05-22,13989
83,2020-05-23,14422
84,2020-05-24,14801
85,2020-05-25,15073
86,2020-05-26,15264
87,2020-05-27,15723
88,2020-05-28,16068
89,2020-05-29,16531
90,2020-05-30,16908
91,2020-05-31,17285
92,2020-06-01,17572
93,2020-06-02,17752
94,2020-06-03,18040
95,2020-06-04,18319
96,2020-06-05,18708
97,2020-06-06,19195
98,2020-06-07,19600
99,2020-06-08,20126
100,2020-06-09,20415
101,2020-06-10,20808
102,2020-06-11,21437
103,2020-06-12,22008
104,2020-06-13,22572
105,2020-06-14,22962
106,2020-06-15,23271
107,2020-06-16,23686
108,2020-06-17,24105
109,2020-06-18,24645
110,2020-06-19,25068
111,2020-06-20,25778
112,2020-06-21,26677
113,2020-06-22,27370
114,2020-06-23,27936
115,2020-06-24,28631
116,2020-06-25,29141
117,2020-06-26,29764
118,2020-06-27,30619
119,2020-06-28,31373
120,2020-06-29,31816
121,2020-06-30,32568
122,2020-07-01,33387
123,2020-07-02,34197
124,2020-07-03,35148
125,2020-07-04,36184
126,2020-07-05,37425
127,2020-07-06,38128
128,2020-07-07,38430
129,2020-07-08,39588
130,2020-07-09,40790
131,2020-07-10,41915
132,2020-07-11,43114
133,2020-07-12,44532
134,2020-07-13,45506
135,2020-07-14,46305
136,2020-07-15,47671
137,2020-07-16,48743
138,2020-07-17,50113
139,2020-07-18,51519
140,2020-07-19,52855
141,2020-07-20,53956
142,2020-07-21,54797
143,2020-07-22,56043
144,2020-07-23,57615
145,2020-07-24,59077
146,2020-07-25,60896
147,2020-07-26,62908
148,2020-07-27,64156
149,2020-07-28,64690
150,2020-07-29,66182
151,2020-07-30,67915
152,2020-07-31,69649
153,2020-08-01,71415
154,2020-08-02,72243
155,2020-08-03,73117
156,2020-08-04,74295
157,2020-08-05,75660
158,2020-08-06,76536
159,2020-08-07,77709
160,2020-08-08,78778
161,2020-08-09,79732
162,2020-08-10,80499
163,2020-08-11,81094
164,2020-08-12,82224
165,2020-08-13,83134
166,2020-08-14,84488
167,2020-08-15,85545
168,2020-08-16,86309
169,2020-08-17,86737
170,2020-08-18,87123
171,2020-08-19,88127
172,2020-08-20,89010
173,2020-08-21,89867
174,2020-08-22,90561
175,2020-08-23,91161
176,2020-08-24,91608
177,2020-08-25,92217
178,2020-08-26,92557
179,2020-08-27,92964
180,2020-08-28,93390
181,2020-08-29,93732
182,2020-08-30,94241
183,2020-08-31,94715
184,2020-09-01,94979
185,2020-09-02,95627
186,2020-09-03,96629
187,2020-09-04,96629
188,2020-09-05,98776
189,2020-09-06,99333
190,2020-09-07,99898
191,2020-09-08,100131
192,2020-09-09,100937
193,2020-09-10,101716
194,2020-09-11,102232
195,2020-09-12,103092
196,2020-09-13,103660
197,2020-09-14,104110
198,2020-09-15,104803
199,2020-09-16,105521
200,2020-09-17,106136
201,2020-09-18,106732
202,2020-09-19,107700
203,2020-09-20,108289
204,2020-09-21,108783
205,2020-09-22,109269
206,2020-09-23,109737
207,2020-09-24,110122
208,2020-09-25,110597
209,2020-09-26,110957
210,2020-09-27,111386
211,2020-09-28,111666
212,2020-09-29,111900
213,2020-09-30,112209
214,2020-10-01,112728
215,2020-10-02,113350
216,2020-10-03,113926
217,2020-10-04,114480
218,2020-10-05,115054
219,2020-10-06,115371
220,2020-10-07,116148
221,2020-10-08,116872
222,2020-10-09,117457
223,2020-10-10,118014
224,2020-10-11,118477
225,2020-10-12,118843
226,2020-10-13,119008
227,2020-10-14,119662
228,2020-10-15,120066
229,2020-10-16,120450
230,2020-10-17,120925
231,2020-10-18,121347
232,2020-10-19,121667
233,2020-10-20,121973
234,2020-10-21,122398
235,2020-10-22,122873
236,2020-10-23,122873
