,Date,Cases
0,2020-03-01,6
1,2020-03-02,6
2,2020-03-03,7
3,2020-03-04,10
4,2020-03-05,13
5,2020-03-06,13
6,2020-03-07,13
7,2020-03-08,14
8,2020-03-09,15
9,2020-03-10,15
10,2020-03-11,17
11,2020-03-12,17
12,2020-03-13,17
13,2020-03-14,28
14,2020-03-15,28
15,2020-03-16,37
16,2020-03-17,58
17,2020-03-18,111
18,2020-03-19,199
19,2020-03-20,367
20,2020-03-21,506
21,2020-03-22,789
22,2020-03-23,981
23,2020-03-24,1082
24,2020-03-25,1173
25,2020-03-26,1403
26,2020-03-27,1595
27,2020-03-28,1823
28,2020-03-29,1924
29,2020-03-30,1962
30,2020-03-31,2240
31,2020-04-01,2748
32,2020-04-02,3163
33,2020-04-03,3368
34,2020-04-04,3465
35,2020-04-05,3646
36,2020-04-06,3747
37,2020-04-07,3747
38,2020-04-08,4450
39,2020-04-09,4965
40,2020-04-10,7161
41,2020-04-11,7257
42,2020-04-12,7466
43,2020-04-13,7529
44,2020-04-14,7603
45,2020-04-15,7858
46,2020-04-16,8225
47,2020-04-17,8450
48,2020-04-18,9022
49,2020-04-19,9468
50,2020-04-20,10128
51,2020-04-21,10398
52,2020-04-22,10850
53,2020-04-23,11183
54,2020-04-24,22719
55,2020-04-25,22719
56,2020-04-26,22719
57,2020-04-27,23240
58,2020-04-28,24258
59,2020-04-29,24675
60,2020-04-30,24934
61,2020-05-01,26336
62,2020-05-02,27464
63,2020-05-03,29538
64,2020-05-04,31881
65,2020-05-05,31881
66,2020-05-06,31881
67,2020-05-07,30298
68,2020-05-08,28818
69,2020-05-09,29071
70,2020-05-10,29559
71,2020-05-11,29509
72,2020-05-12,30419
73,2020-05-13,30486
74,2020-05-14,30502
75,2020-05-15,31467
76,2020-05-16,32763
77,2020-05-17,33182
78,2020-05-18,33582
79,2020-05-19,34151
80,2020-05-20,34854
81,2020-05-21,35306
82,2020-05-22,35828
83,2020-05-23,36258
84,2020-05-24,36756
85,2020-05-25,37355
86,2020-05-26,37355
87,2020-05-27,38103
88,2020-05-28,38471
89,2020-05-29,38571
90,2020-05-30,38571
91,2020-05-31,39098
92,2020-06-01,39098
93,2020-06-02,40414
94,2020-06-03,40966
95,2020-06-04,40966
96,2020-06-05,41575
97,2020-06-06,42728
98,2020-06-07,43120
99,2020-06-08,43378
100,2020-06-09,43917
101,2020-06-10,44440
102,2020-06-11,44440
103,2020-06-12,45778
104,2020-06-13,46356
105,2020-06-14,46751
106,2020-06-15,47322
107,2020-06-16,47943
108,2020-06-17,48490
109,2020-06-18,49097
110,2020-06-19,49731
111,2020-06-20,49731
112,2020-06-21,50640
113,2020-06-22,50640
114,2020-06-23,51643
115,2020-06-24,51643
116,2020-06-25,53156
117,2020-06-26,53856
118,2020-06-27,54574
119,2020-06-28,55255
120,2020-06-29,55665
121,2020-06-30,56432
122,2020-07-01,58257
123,2020-07-02,59468
124,2020-07-03,60657
125,2020-07-04,61535
126,2020-07-05,61958
127,2020-07-06,62380
128,2020-07-07,63245
129,2020-07-08,63245
130,2020-07-09,64221
131,2020-07-10,65018
132,2020-07-11,67209
133,2020-07-12,67870
134,2020-07-13,68459
135,2020-07-14,69570
136,2020-07-15,70329
137,2020-07-16,71365
138,2020-07-17,72444
139,2020-07-18,73382
140,2020-07-19,74013
141,2020-07-20,74620
142,2020-07-21,76217
143,2020-07-22,77257
144,2020-07-23,78148
145,2020-07-24,79049
146,2020-07-25,80036
147,2020-07-26,80694
148,2020-07-27,81161
149,2020-07-28,82279
150,2020-07-29,83193
151,2020-07-30,84370
152,2020-07-31,85355
153,2020-08-01,86232
154,2020-08-02,86232
155,2020-08-03,87041
156,2020-08-04,87963
157,2020-08-05,88866
158,2020-08-06,90537
159,2020-08-07,91969
160,2020-08-08,93572
161,2020-08-09,94459
162,2020-08-10,94701
163,2020-08-11,95563
164,2020-08-12,97110
165,2020-08-13,98343
166,2020-08-14,99409
167,2020-08-15,100688
168,2020-08-16,101542
169,2020-08-17,101751
170,2020-08-18,102941
171,2020-08-19,104475
172,2020-08-20,105508
173,2020-08-21,106481
174,2020-08-22,107089
175,2020-08-23,107769
176,2020-08-24,108289
177,2020-08-25,109030
178,2020-08-26,110549
179,2020-08-27,111219
180,2020-08-28,112141
181,2020-08-29,112906
182,2020-08-30,113648
183,2020-08-31,113767
184,2020-09-01,114309
185,2020-09-02,115457
186,2020-09-03,116360
187,2020-09-04,117175
188,2020-09-05,118045
189,2020-09-06,118045
190,2020-09-07,110092
191,2020-09-08,110757
192,2020-09-09,112166
193,2020-09-10,113206
194,2020-09-11,114732
195,2020-09-12,116451
196,2020-09-13,118594
197,2020-09-14,118911
198,2020-09-15,119553
199,2020-09-16,121525
200,2020-09-17,122257
201,2020-09-18,124129
202,2020-09-19,125620
203,2020-09-20,126419
204,2020-09-21,126711
205,2020-09-22,127643
206,2020-09-23,129892
207,2020-09-24,131146
208,2020-09-25,132475
209,2020-09-26,133981
210,2020-09-27,134747
211,2020-09-28,134965
212,2020-09-29,135749
213,2020-09-30,137047
214,2020-10-01,138584
215,2020-10-02,139534
216,2020-10-03,140351
217,2020-10-04,141034
218,2020-10-05,141339
219,2020-10-06,142056
220,2020-10-07,143531
221,2020-10-08,145045
222,2020-10-09,145848
223,2020-10-10,146828
224,2020-10-11,147033
225,2020-10-12,147315
226,2020-10-13,148171
227,2020-10-14,149083
228,2020-10-15,150360
229,2020-10-16,151659
230,2020-10-17,152422
231,2020-10-18,153289
232,2020-10-19,153423
233,2020-10-20,154115
234,2020-10-21,155625
235,2020-10-22,156451
236,2020-10-23,158270
237,2020-10-24,159614
238,2020-10-25,161635
239,2020-10-26,162178
240,2020-10-27,163192
241,2020-10-28,164908
242,2020-10-29,166302
243,2020-10-30,167147
244,2020-10-31,168192
245,2020-11-01,169194
246,2020-11-02,169562
247,2020-11-03,170110
248,2020-11-04,171433
249,2020-11-05,171783
250,2020-11-06,172508
251,2020-11-07,173486
252,2020-11-08,174907
253,2020-11-09,175269
254,2020-11-10,175711
255,2020-11-11,176630
256,2020-11-12,177513
257,2020-11-13,178674
258,2020-11-14,179627
259,2020-11-15,180295
260,2020-11-16,180676
261,2020-11-17,181104
262,2020-11-18,182250
263,2020-11-19,183246
264,2020-11-20,183840
265,2020-11-21,184876
266,2020-11-22,185643
267,2020-11-23,185944
268,2020-11-24,186436
269,2020-11-25,187230
270,2020-11-26,188138
271,2020-11-27,189534
272,2020-11-28,190909
273,2020-11-29,192117
274,2020-11-30,192685
275,2020-12-01,193673
276,2020-12-02,194876
277,2020-12-03,195884
278,2020-12-04,196482
279,2020-12-05,197391
280,2020-12-06,197998
281,2020-12-07,198244
282,2020-12-08,198752
283,2020-12-09,199228
284,2020-12-10,200379
285,2020-12-11,200765
286,2020-12-12,201524
287,2020-12-13,202110
288,2020-12-14,202180
289,2020-12-15,202356
290,2020-12-16,203461
291,2020-12-17,204249
292,2020-12-18,205003
293,2020-12-19,205920
294,2020-12-20,206257
295,2020-12-21,206329
296,2020-12-22,206364
297,2020-12-23,207084
298,2020-12-24,208010
299,2020-12-25,208828
300,2020-12-26,209274
301,2020-12-27,209355
302,2020-12-28,209758
303,2020-12-29,210326
304,2020-12-30,211512
305,2020-12-31,212512
306,2021-01-01,213378
307,2021-01-02,214513
308,2021-01-03,214614
309,2021-01-04,215080
310,2021-01-05,216083
311,2021-01-06,217377
312,2021-01-07,218385
313,2021-01-08,219148
314,2021-01-09,220349
315,2021-01-10,221070
316,2021-01-11,221506
317,2021-01-12,222567
318,2021-01-13,224315
319,2021-01-14,226002
320,2021-01-15,226866
321,2021-01-16,230808
322,2021-01-17,231482
323,2021-01-18,231644
324,2021-01-19,232568
325,2021-01-20,234315
326,2021-01-21,236189
327,2021-01-22,237158
328,2021-01-23,238232
329,2021-01-24,241292
330,2021-01-25,241567
331,2021-01-26,242146
332,2021-01-27,243535
333,2021-01-28,246000
