,Date,Cases
0,2020-02-14,1
1,2020-02-15,1
2,2020-02-16,1
3,2020-02-17,1
4,2020-02-18,1
5,2020-02-19,1
6,2020-02-20,1
7,2020-02-21,1
8,2020-02-22,1
9,2020-02-23,1
10,2020-02-24,1
11,2020-02-25,1
12,2020-02-26,1
13,2020-02-27,1
14,2020-02-28,1
15,2020-02-29,1
16,2020-03-01,2
17,2020-03-02,2
18,2020-03-03,2
19,2020-03-04,2
20,2020-03-05,3
21,2020-03-06,15
22,2020-03-07,15
23,2020-03-08,49
24,2020-03-09,55
25,2020-03-10,59
26,2020-03-11,60
27,2020-03-12,67
28,2020-03-13,80
29,2020-03-14,109
30,2020-03-15,110
31,2020-03-16,150
32,2020-03-17,196
33,2020-03-18,196
34,2020-03-19,256
35,2020-03-20,285
36,2020-03-21,294
37,2020-03-22,327
38,2020-03-23,366
39,2020-03-24,402
40,2020-03-25,456
41,2020-03-26,495
42,2020-03-27,536
43,2020-03-28,576
44,2020-03-29,609
45,2020-03-30,656
46,2020-03-31,710
47,2020-04-01,779
48,2020-04-02,865
49,2020-04-03,985
50,2020-04-04,1070
51,2020-04-05,1173
52,2020-04-06,1322
53,2020-04-07,1450
54,2020-04-08,1560
55,2020-04-09,1699
56,2020-04-10,1794
57,2020-04-11,1939
58,2020-04-12,2065
59,2020-04-13,2190
60,2020-04-14,2350
61,2020-04-15,2505
62,2020-04-16,2673
63,2020-04-17,2844
64,2020-04-18,3032
65,2020-04-19,3144
66,2020-04-20,3333
67,2020-04-21,3490
68,2020-04-22,3659
69,2020-04-23,3891
70,2020-04-24,4092
71,2020-04-25,4319
72,2020-04-26,4534
73,2020-04-27,4782
74,2020-04-28,5042
75,2020-04-29,5268
76,2020-04-30,5537
77,2020-05-01,5895
78,2020-05-02,6193
79,2020-05-03,6465
80,2020-05-04,6813
81,2020-05-05,7201
82,2020-05-06,7588
83,2020-05-07,7981
84,2020-05-08,8476
85,2020-05-09,8964
86,2020-05-10,9400
87,2020-05-11,9746
88,2020-05-12,10093
89,2020-05-13,10431
90,2020-05-14,10829
91,2020-05-15,11228
92,2020-05-16,11719
93,2020-05-17,12229
94,2020-05-18,12764
95,2020-05-19,13484
96,2020-05-20,14229
97,2020-05-21,15003
98,2020-05-22,15786
99,2020-05-23,16513
100,2020-05-24,17265
101,2020-05-25,17967
102,2020-05-26,18756
103,2020-05-27,19666
104,2020-05-28,20793
