,Date,Cases
0,2020-03-19,1
1,2020-03-20,1
2,2020-03-21,3
3,2020-03-22,3
4,2020-03-23,3
5,2020-03-24,5
6,2020-03-25,9
7,2020-03-26,13
8,2020-03-27,13
9,2020-03-28,19
10,2020-03-29,24
11,2020-03-30,30
12,2020-03-31,32
13,2020-04-01,32
14,2020-04-02,41
15,2020-04-03,46
16,2020-04-04,56
17,2020-04-05,62
18,2020-04-06,69
19,2020-04-07,78
20,2020-04-08,93
21,2020-04-09,103
22,2020-04-10,117
23,2020-04-11,118
24,2020-04-12,125
25,2020-04-13,137
26,2020-04-14,149
27,2020-04-15,159
28,2020-04-16,164
29,2020-04-17,177
30,2020-04-18,190
31,2020-04-19,201
32,2020-04-20,218
33,2020-04-21,225
34,2020-04-22,237
35,2020-04-23,250
36,2020-04-24,274
37,2020-04-25,274
38,2020-04-26,298
39,2020-04-27,323
40,2020-04-28,345
41,2020-04-29,377
42,2020-04-30,395
43,2020-05-01,424
44,2020-05-02,446
45,2020-05-03,490
46,2020-05-04,555
47,2020-05-05,587
48,2020-05-06,633
49,2020-05-07,695
50,2020-05-08,742
51,2020-05-09,784
52,2020-05-10,889
53,2020-05-11,958
54,2020-05-12,998
55,2020-05-13,1037
56,2020-05-14,1112
57,2020-05-15,1210
58,2020-05-16,1265
59,2020-05-17,1338
60,2020-05-18,1413
61,2020-05-19,1498
62,2020-05-20,1571
63,2020-05-21,1640
64,2020-05-22,1725
65,2020-05-23,1819
66,2020-05-24,1915
67,2020-05-25,1983
68,2020-05-26,2042
69,2020-05-27,2109
70,2020-05-28,2194
71,2020-05-29,2278
72,2020-05-30,2395
73,2020-05-31,2517
74,2020-06-01,2582
75,2020-06-02,2653
76,2020-06-03,2705
77,2020-06-04,2781
78,2020-06-05,2849
79,2020-06-06,2934
80,2020-06-07,3015
81,2020-06-08,3104
82,2020-06-09,3191
83,2020-06-10,3274
84,2020-06-11,3373
85,2020-06-12,3481
86,2020-06-13,3603
87,2020-06-14,3720
88,2020-06-15,3826
89,2020-06-16,3941
90,2020-06-17,4066
91,2020-06-18,4200
92,2020-06-19,4329
93,2020-06-20,4475
94,2020-06-21,4626
95,2020-06-22,4808
96,2020-06-23,4973
97,2020-06-24,5150
98,2020-06-25,5336
99,2020-06-26,5517
100,2020-06-27,5727
101,2020-06-28,5934
102,2020-06-29,6173
103,2020-06-30,6438
104,2020-07-01,6736
105,2020-07-02,7000
106,2020-07-03,7267
107,2020-07-04,7507
108,2020-07-05,7777
109,2020-07-06,8027
110,2020-07-07,8307
111,2020-07-08,8566
112,2020-07-09,8844
113,2020-07-10,9142
114,2020-07-11,9391
115,2020-07-12,9674
116,2020-07-13,9978
117,2020-07-14,10303
118,2020-07-15,10645
119,2020-07-16,10957
120,2020-07-17,11207
121,2020-07-18,11508
122,2020-07-19,11846
123,2020-07-20,12207
124,2020-07-21,12582
125,2020-07-22,12975
126,2020-07-23,13377
127,2020-07-24,13792
128,2020-07-25,14221
129,2020-07-26,14630
130,2020-07-27,15035
131,2020-07-28,15446
132,2020-07-29,15841
133,2020-07-30,16230
134,2020-07-31,16632
135,2020-08-01,17050
136,2020-08-02,17448
137,2020-08-03,17843
138,2020-08-04,18262
139,2020-08-05,18701
140,2020-08-06,19126
141,2020-08-07,19544
142,2020-08-08,19978
143,2020-08-09,20423
144,2020-08-10,20872
145,2020-08-11,21269
146,2020-08-12,21644
147,2020-08-13,21993
148,2020-08-14,22314
149,2020-08-15,22619
150,2020-08-16,22912
151,2020-08-17,23193
152,2020-08-18,23462
153,2020-08-19,23717
154,2020-08-20,23964
155,2020-08-21,24200
156,2020-08-22,24420
157,2020-08-23,24622
158,2020-08-24,24811
159,2020-08-25,24986
160,2020-08-26,25140
161,2020-08-27,25284
162,2020-08-28,25415
163,2020-08-29,25537
164,2020-08-30,25635
165,2020-08-31,25729
166,2020-09-01,25820
167,2020-09-02,25904
168,2020-09-03,26000
169,2020-09-04,26099
170,2020-09-05,26206
171,2020-09-06,26308
172,2020-09-07,26413
173,2020-09-08,26511
174,2020-09-09,26602
175,2020-09-10,26688
176,2020-09-11,26773
177,2020-09-12,26851
178,2020-09-13,26928
179,2020-09-14,27009
180,2020-09-15,27088
181,2020-09-16,27163
182,2020-09-17,27249
183,2020-09-18,27346
184,2020-09-19,27428
185,2020-09-20,27553
186,2020-09-21,27798
187,2020-09-22,27954
188,2020-09-23,27954
189,2020-09-24,28201
190,2020-09-25,28415
191,2020-09-26,28415
192,2020-09-27,28630
193,2020-09-28,28809
194,2020-09-29,28981
195,2020-09-30,29077
196,2020-10-01,29175
197,2020-10-02,29175
198,2020-10-03,29358
199,2020-10-04,29450
200,2020-10-05,29539
201,2020-10-06,29634
202,2020-10-07,29737
203,2020-10-08,29842
204,2020-10-09,29951
205,2020-10-10,29951
206,2020-10-11,30196
207,2020-10-12,30196
208,2020-10-13,30480
209,2020-10-14,30766
210,2020-10-15,31061
211,2020-10-16,31265
212,2020-10-17,31456
213,2020-10-18,31666
214,2020-10-19,31666
215,2020-10-20,31975
216,2020-10-21,32120
217,2020-10-22,32262
218,2020-10-23,32421
219,2020-10-24,32585
220,2020-10-25,32585
221,2020-10-26,32925
222,2020-10-27,32925
223,2020-10-28,32925
224,2020-10-29,33445
225,2020-10-30,33445
226,2020-10-31,33445
227,2020-11-01,34015
228,2020-11-02,34015
229,2020-11-03,34015
230,2020-11-04,34015
231,2020-11-05,34782
232,2020-11-06,34966
233,2020-11-07,35145
234,2020-11-08,35145
235,2020-11-09,35145
236,2020-11-10,35145
237,2020-11-11,35145
238,2020-11-12,36030
239,2020-11-13,36195
240,2020-11-14,36358
241,2020-11-15,36358
242,2020-11-16,36669
243,2020-11-17,36669
244,2020-11-18,36965
