,Date,Cases
0,2020-03-15,1
1,2020-03-16,1
2,2020-03-17,1
3,2020-03-18,4
4,2020-03-19,6
5,2020-03-20,6
6,2020-03-21,6
7,2020-03-22,6
8,2020-03-23,9
9,2020-03-24,9
10,2020-03-25,9
11,2020-03-26,12
12,2020-03-27,12
13,2020-03-28,12
14,2020-03-29,12
15,2020-03-30,12
16,2020-03-31,12
17,2020-04-01,15
18,2020-04-02,15
19,2020-04-03,16
20,2020-04-04,16
21,2020-04-05,16
22,2020-04-06,16
23,2020-04-07,16
24,2020-04-08,18
25,2020-04-09,18
26,2020-04-10,18
27,2020-04-11,18
28,2020-04-12,21
29,2020-04-13,21
30,2020-04-14,41
31,2020-04-15,51
32,2020-04-16,51
33,2020-04-17,79
34,2020-04-18,79
35,2020-04-19,79
36,2020-04-20,79
37,2020-04-21,83
38,2020-04-22,84
39,2020-04-23,84
40,2020-04-24,214
41,2020-04-25,258
42,2020-04-26,258
43,2020-04-27,258
44,2020-04-28,315
45,2020-04-29,315
46,2020-04-30,315
47,2020-05-01,315
48,2020-05-02,315
49,2020-05-03,315
50,2020-05-04,315
51,2020-05-05,315
52,2020-05-06,439
53,2020-05-07,439
54,2020-05-08,439
55,2020-05-09,439
56,2020-05-10,439
57,2020-05-11,439
58,2020-05-12,439
59,2020-05-13,522
60,2020-05-14,583
61,2020-05-15,594
62,2020-05-16,594
63,2020-05-17,594
64,2020-05-18,719
65,2020-05-19,825
66,2020-05-20,890
67,2020-05-21,903
68,2020-05-22,960
69,2020-05-23,960
70,2020-05-24,960
71,2020-05-25,1043
72,2020-05-26,1043
73,2020-05-27,1043
74,2020-05-28,1043
75,2020-05-29,1306
76,2020-05-30,1306
77,2020-05-31,1306
78,2020-06-01,1306
79,2020-06-02,1306
80,2020-06-03,1306
81,2020-06-04,1306
82,2020-06-05,1306
83,2020-06-06,1306
84,2020-06-07,1306
85,2020-06-08,1306
86,2020-06-09,1306
87,2020-06-10,1306
88,2020-06-11,1306
89,2020-06-12,1306
90,2020-06-13,1306
91,2020-06-14,1306
