,Date,Cases
0,2020-03-21,1
1,2020-03-22,1
2,2020-03-23,1
3,2020-03-24,1
4,2020-03-25,4
5,2020-03-26,6
6,2020-03-27,6
7,2020-03-28,6
8,2020-03-29,12
9,2020-03-30,12
10,2020-03-31,15
11,2020-04-01,15
12,2020-04-02,22
13,2020-04-03,22
14,2020-04-04,29
15,2020-04-05,29
16,2020-04-06,31
17,2020-04-07,31
18,2020-04-08,33
19,2020-04-09,33
20,2020-04-10,34
21,2020-04-11,34
22,2020-04-12,34
23,2020-04-13,34
24,2020-04-14,34
25,2020-04-15,35
26,2020-04-16,35
27,2020-04-17,35
28,2020-04-18,39
29,2020-04-19,39
30,2020-04-20,39
31,2020-04-21,39
32,2020-04-22,39
33,2020-04-23,39
34,2020-04-24,39
35,2020-04-25,39
36,2020-04-26,39
37,2020-04-27,39
38,2020-04-28,39
39,2020-04-29,39
40,2020-04-30,39
41,2020-05-01,39
42,2020-05-02,39
43,2020-05-03,39
44,2020-05-04,39
45,2020-05-05,39
46,2020-05-06,39
47,2020-05-07,39
48,2020-05-08,39
49,2020-05-09,39
50,2020-05-10,39
51,2020-05-11,39
52,2020-05-12,39
53,2020-05-13,39
54,2020-05-14,39
55,2020-05-15,39
56,2020-05-16,39
57,2020-05-17,39
58,2020-05-18,39
59,2020-05-19,39
60,2020-05-20,39
61,2020-05-21,39
62,2020-05-22,39
63,2020-05-23,39
64,2020-05-24,39
65,2020-05-25,39
66,2020-05-26,39
67,2020-05-27,39
68,2020-05-28,39
69,2020-05-29,39
70,2020-05-30,39
71,2020-05-31,39
72,2020-06-01,39
73,2020-06-02,39
74,2020-06-03,39
75,2020-06-04,39
76,2020-06-05,39
77,2020-06-06,39
78,2020-06-07,39
79,2020-06-08,39
80,2020-06-09,39
81,2020-06-10,41
82,2020-06-11,41
83,2020-06-12,41
84,2020-06-13,65
85,2020-06-14,96
86,2020-06-15,109
87,2020-06-16,121
88,2020-06-17,131
89,2020-06-18,142
90,2020-06-19,142
91,2020-06-20,143
92,2020-06-21,143
93,2020-06-22,143
94,2020-06-23,143
95,2020-06-24,144
96,2020-06-25,144
97,2020-06-26,167
98,2020-06-27,191
99,2020-06-28,191
100,2020-06-29,191
101,2020-06-30,203
102,2020-07-01,203
103,2020-07-02,215
104,2020-07-03,215
105,2020-07-04,215
106,2020-07-05,215
107,2020-07-06,215
108,2020-07-07,215
109,2020-07-08,215
110,2020-07-09,232
111,2020-07-10,232
112,2020-07-11,232
113,2020-07-12,232
114,2020-07-13,232
115,2020-07-14,232
116,2020-07-15,232
117,2020-07-16,251
118,2020-07-17,251
119,2020-07-18,251
120,2020-07-19,251
121,2020-07-20,251
122,2020-07-21,251
