,Date,Cases
0,2020-02-27,1
1,2020-02-28,1
2,2020-02-29,1
3,2020-03-01,1
4,2020-03-02,1
5,2020-03-03,2
6,2020-03-04,2
7,2020-03-05,3
8,2020-03-06,10
9,2020-03-07,10
10,2020-03-08,10
11,2020-03-09,10
12,2020-03-10,12
13,2020-03-11,16
14,2020-03-12,16
15,2020-03-13,79
16,2020-03-14,115
17,2020-03-15,171
18,2020-03-16,205
19,2020-03-17,225
20,2020-03-18,258
21,2020-03-19,267
22,2020-03-20,283
23,2020-03-21,306
24,2020-03-22,326
25,2020-03-23,352
26,2020-03-24,369
27,2020-03-25,404
28,2020-03-26,538
29,2020-03-27,575
30,2020-03-28,645
31,2020-03-29,679
32,2020-03-30,715
33,2020-03-31,745
34,2020-04-01,779
35,2020-04-02,858
36,2020-04-03,961
37,2020-04-04,1039
38,2020-04-05,1097
39,2020-04-06,1108
40,2020-04-07,1149
41,2020-04-08,1185
42,2020-04-09,1207
43,2020-04-10,1258
44,2020-04-11,1304
45,2020-04-12,1309
46,2020-04-13,1332
47,2020-04-14,1373
48,2020-04-15,1400
49,2020-04-16,1434
50,2020-04-17,1459
51,2020-04-18,1512
52,2020-04-19,1528
53,2020-04-20,1535
54,2020-04-21,1552
55,2020-04-22,1559
56,2020-04-23,1592
57,2020-04-24,1605
58,2020-04-25,1635
59,2020-04-26,1643
60,2020-04-27,1647
61,2020-04-28,1660
62,2020-04-29,1666
63,2020-04-30,1689
64,2020-05-01,1694
65,2020-05-02,1699
66,2020-05-03,1700
67,2020-05-04,1703
68,2020-05-05,1711
69,2020-05-06,1713
70,2020-05-07,1720
71,2020-05-08,1725
72,2020-05-09,1733
73,2020-05-10,1739
74,2020-05-11,1741
75,2020-05-12,1746
76,2020-05-13,1751
77,2020-05-14,1758
78,2020-05-15,1766
79,2020-05-16,1770
80,2020-05-17,1774
81,2020-05-18,1784
82,2020-05-19,1791
83,2020-05-20,1794
84,2020-05-21,1800
85,2020-05-22,1807
86,2020-05-23,1821
87,2020-05-24,1823
88,2020-05-25,1824
89,2020-05-26,1834
90,2020-05-27,1840
91,2020-05-28,1851
92,2020-05-29,1859
93,2020-05-30,1865
94,2020-05-31,1869
95,2020-06-01,1870
96,2020-06-02,1870
97,2020-06-03,1880
98,2020-06-04,1890
99,2020-06-05,1910
100,2020-06-06,1931
101,2020-06-07,1939
102,2020-06-08,1940
103,2020-06-09,1947
104,2020-06-10,1958
105,2020-06-11,1965
106,2020-06-12,1970
107,2020-06-13,1973
108,2020-06-14,1973
109,2020-06-15,1974
110,2020-06-16,1975
111,2020-06-17,1977
112,2020-06-18,1977
113,2020-06-19,1979
114,2020-06-20,1981
115,2020-06-21,1981
116,2020-06-22,1981
117,2020-06-23,1982
118,2020-06-24,1983
119,2020-06-25,1984
120,2020-06-26,1986
121,2020-06-27,1986
122,2020-06-28,1987
123,2020-06-29,1987
124,2020-06-30,1989
125,2020-07-01,1989
126,2020-07-02,1990
127,2020-07-03,1991
128,2020-07-04,1993
129,2020-07-05,1993
130,2020-07-06,1994
131,2020-07-07,1995
132,2020-07-08,2003
133,2020-07-09,2011
134,2020-07-10,2013
135,2020-07-11,2014
136,2020-07-12,2014
137,2020-07-13,2014
138,2020-07-14,2015
139,2020-07-15,2016
140,2020-07-16,2016
141,2020-07-17,2020
142,2020-07-18,2021
143,2020-07-19,2021
144,2020-07-20,2021
145,2020-07-21,2022
146,2020-07-22,2025
147,2020-07-23,2027
148,2020-07-24,2028
149,2020-07-25,2033
150,2020-07-26,2034
151,2020-07-27,2034
152,2020-07-28,2038
153,2020-07-29,2042
154,2020-07-30,2051
155,2020-07-31,2064
156,2020-08-01,2072
157,2020-08-02,2079
158,2020-08-03,2080
159,2020-08-04,2091
160,2020-08-05,2113
161,2020-08-06,2124
162,2020-08-07,2133
163,2020-08-08,2147
164,2020-08-09,2152
165,2020-08-10,2158
166,2020-08-11,2167
167,2020-08-12,2174
168,2020-08-13,2174
169,2020-08-14,2177
170,2020-08-15,2184
171,2020-08-16,2190
172,2020-08-17,2192
173,2020-08-18,2200
174,2020-08-19,2207
175,2020-08-20,2227
176,2020-08-21,2244
177,2020-08-22,2265
178,2020-08-23,2272
179,2020-08-24,2275
180,2020-08-25,2294
181,2020-08-26,2311
182,2020-08-27,2325
183,2020-08-28,2343
184,2020-08-29,2363
185,2020-08-30,2373
186,2020-08-31,2375
187,2020-09-01,2395
188,2020-09-02,2415
189,2020-09-03,2441
190,2020-09-04,2456
191,2020-09-05,2491
192,2020-09-06,2516
193,2020-09-07,2532
194,2020-09-08,2564
195,2020-09-09,2585
196,2020-09-10,2600
197,2020-09-11,2632
198,2020-09-12,2655
199,2020-09-13,2676
200,2020-09-14,2698
201,2020-09-15,2722
202,2020-09-16,2756
203,2020-09-17,2778
204,2020-09-18,2814
205,2020-09-19,2875
206,2020-09-20,2924
207,2020-09-21,2941
208,2020-09-22,2976
209,2020-09-23,3033
210,2020-09-24,3076
211,2020-09-25,3118
212,2020-09-26,3165
213,2020-09-27,3200
214,2020-09-28,3267
215,2020-09-29,3315
216,2020-09-30,3371
217,2020-10-01,3450
218,2020-10-02,3507
219,2020-10-03,3577
220,2020-10-04,3607
221,2020-10-05,3617
222,2020-10-06,3659
223,2020-10-07,3715
224,2020-10-08,3760
225,2020-10-09,3809
226,2020-10-10,3846
227,2020-10-11,3865
228,2020-10-12,3883
229,2020-10-13,3908
230,2020-10-14,3947
231,2020-10-15,3980
232,2020-10-16,4017
233,2020-10-17,4052
234,2020-10-18,4078
235,2020-10-19,4085
236,2020-10-20,4127
237,2020-10-21,4171
238,2020-10-22,4247
239,2020-10-23,4300
240,2020-10-24,4351
241,2020-10-25,4411
242,2020-10-26,4428
243,2020-10-27,4465
244,2020-10-28,4590
245,2020-10-29,4671
246,2020-10-30,4771
247,2020-10-31,4905
248,2020-11-01,4985
249,2020-11-02,5046
250,2020-11-03,5125
251,2020-11-04,5333
252,2020-11-05,5464
253,2020-11-06,5705
254,2020-11-07,5933
255,2020-11-08,6125
256,2020-11-09,6250
257,2020-11-10,6376
258,2020-11-11,6508
259,2020-11-12,6881
260,2020-11-13,7148
261,2020-11-14,7412
262,2020-11-15,7637
263,2020-11-16,7848
264,2020-11-17,8033
265,2020-11-18,8304
266,2020-11-19,8715
267,2020-11-20,9076
268,2020-11-21,9375
269,2020-11-22,9724
270,2020-11-23,9956
271,2020-11-24,10159
272,2020-11-25,10541
273,2020-11-26,10955
274,2020-11-27,11323
275,2020-11-28,11698
276,2020-11-29,12052
277,2020-11-30,12308
278,2020-12-01,12497
279,2020-12-02,13019
280,2020-12-03,13469
281,2020-12-04,13939
282,2020-12-05,14500
283,2020-12-06,14978
284,2020-12-07,15226
285,2020-12-08,15510
286,2020-12-09,16054
287,2020-12-10,16598
288,2020-12-11,16956
289,2020-12-12,17713
290,2020-12-13,18055
291,2020-12-14,18385
292,2020-12-15,18682
293,2020-12-16,19271
294,2020-12-17,20004
295,2020-12-18,20658
296,2020-12-19,21219
297,2020-12-20,21794
298,2020-12-21,22083
299,2020-12-22,22647
300,2020-12-23,23309
301,2020-12-24,24009
302,2020-12-25,24582
303,2020-12-26,25027
304,2020-12-27,25392
305,2020-12-28,25808
306,2020-12-29,26283
307,2020-12-30,27256
308,2020-12-31,27990
309,2021-01-01,28406
310,2021-01-02,28789
311,2021-01-03,29131
312,2021-01-04,29521
313,2021-01-05,29950
314,2021-01-06,30667
315,2021-01-07,31751
316,2021-01-08,32537
317,2021-01-09,33089
318,2021-01-10,33516
319,2021-01-11,33805
320,2021-01-12,34138
321,2021-01-13,34991
322,2021-01-14,35621
323,2021-01-15,36096
324,2021-01-16,36691
325,2021-01-17,37079
326,2021-01-18,37344
327,2021-01-19,37941
328,2021-01-20,38544
329,2021-01-21,39212
330,2021-01-22,39701
331,2021-01-23,40184
332,2021-01-24,40716
333,2021-01-25,40975
334,2021-01-26,41330
335,2021-01-27,41966
336,2021-01-28,42656
