,Date,Cases
0,2020-03-13,1
1,2020-03-14,1
2,2020-03-15,1
3,2020-03-16,5
4,2020-03-17,5
5,2020-03-18,6
6,2020-03-19,6
7,2020-03-20,9
8,2020-03-21,9
9,2020-03-22,11
10,2020-03-23,11
11,2020-03-24,12
12,2020-03-25,12
13,2020-03-26,12
14,2020-03-27,16
15,2020-03-28,16
16,2020-03-29,21
17,2020-03-30,23
18,2020-03-31,26
19,2020-04-01,29
20,2020-04-02,29
21,2020-04-03,35
22,2020-04-04,38
23,2020-04-05,43
24,2020-04-06,44
25,2020-04-07,52
26,2020-04-08,55
27,2020-04-09,56
28,2020-04-10,65
29,2020-04-11,69
30,2020-04-12,71
31,2020-04-13,74
32,2020-04-14,82
33,2020-04-15,85
34,2020-04-16,92
35,2020-04-17,96
36,2020-04-18,105
37,2020-04-19,108
38,2020-04-20,111
39,2020-04-21,114
40,2020-04-22,116
41,2020-04-23,116
42,2020-04-24,117
43,2020-04-25,122
44,2020-04-26,123
45,2020-04-27,124
46,2020-04-28,126
47,2020-04-29,130
48,2020-04-30,131
49,2020-05-01,133
50,2020-05-02,133
51,2020-05-03,135
52,2020-05-04,140
53,2020-05-05,145
54,2020-05-06,162
55,2020-05-07,191
56,2020-05-08,194
57,2020-05-09,210
58,2020-05-10,239
59,2020-05-11,250
60,2020-05-12,261
61,2020-05-13,263
62,2020-05-14,272
63,2020-05-15,287
64,2020-05-16,306
65,2020-05-17,317
66,2020-05-18,352
67,2020-05-19,365
68,2020-05-20,389
69,2020-05-21,399
70,2020-05-22,433
71,2020-05-23,494
72,2020-05-24,582
73,2020-05-25,655
74,2020-05-26,701
75,2020-05-27,731
76,2020-05-28,831
77,2020-05-29,968
78,2020-05-30,1063
79,2020-05-31,1172
80,2020-06-01,1257
81,2020-06-02,1344
82,2020-06-03,1486
83,2020-06-04,1636
84,2020-06-05,1805
85,2020-06-06,1934
86,2020-06-07,2020
87,2020-06-08,2156
88,2020-06-09,2336
89,2020-06-10,2506
90,2020-06-11,2670
91,2020-06-12,2915
92,2020-06-13,3166
93,2020-06-14,3345
94,2020-06-15,3521
95,2020-06-16,3630
96,2020-06-17,3759
97,2020-06-18,3954
98,2020-06-19,4070
99,2020-06-20,4469
100,2020-06-21,4532
101,2020-06-22,4663
102,2020-06-23,4848
103,2020-06-24,5034
104,2020-06-25,5175
105,2020-06-26,5425
106,2020-06-27,5570
107,2020-06-28,5689
108,2020-06-29,5846
109,2020-06-30,5846
110,2020-07-01,5846
111,2020-07-02,5846
112,2020-07-03,5846
113,2020-07-04,5846
114,2020-07-05,5846
115,2020-07-06,5846
116,2020-07-07,5846
117,2020-07-08,6774
118,2020-07-09,6973
119,2020-07-10,7120
120,2020-07-11,7402
121,2020-07-12,7560
122,2020-07-13,7766
