,Date,Cases
0,2020-03-19,1
1,2020-03-20,1
2,2020-03-21,1
3,2020-03-22,2
4,2020-03-23,3
5,2020-03-24,4
6,2020-03-25,5
7,2020-03-26,5
8,2020-03-27,5
9,2020-03-28,5
10,2020-03-29,5
11,2020-03-30,5
12,2020-03-31,5
13,2020-04-01,5
14,2020-04-02,7
15,2020-04-03,7
16,2020-04-04,12
17,2020-04-05,12
18,2020-04-06,14
19,2020-04-07,15
20,2020-04-08,15
21,2020-04-09,15
22,2020-04-10,16
23,2020-04-11,16
24,2020-04-12,16
25,2020-04-13,16
26,2020-04-14,16
27,2020-04-15,16
28,2020-04-16,17
29,2020-04-17,17
30,2020-04-18,17
31,2020-04-19,17
32,2020-04-20,18
33,2020-04-21,18
34,2020-04-22,18
35,2020-04-23,18
36,2020-04-24,18
37,2020-04-25,18
38,2020-04-26,18
39,2020-04-27,18
40,2020-04-28,18
41,2020-04-29,18
42,2020-04-30,18
43,2020-05-01,18
44,2020-05-02,18
45,2020-05-03,18
46,2020-05-04,18
47,2020-05-05,18
48,2020-05-06,18
49,2020-05-07,18
50,2020-05-08,18
51,2020-05-09,18
52,2020-05-10,18
53,2020-05-11,18
54,2020-05-12,18
55,2020-05-13,18
56,2020-05-14,18
57,2020-05-15,18
58,2020-05-16,18
59,2020-05-17,18
60,2020-05-18,18
61,2020-05-19,18
62,2020-05-20,18
63,2020-05-21,18
64,2020-05-22,18
65,2020-05-23,18
66,2020-05-24,18
67,2020-05-25,18
68,2020-05-26,18
69,2020-05-27,18
70,2020-05-28,18
71,2020-05-29,18
72,2020-05-30,18
73,2020-05-31,18
74,2020-06-01,18
75,2020-06-02,18
76,2020-06-03,18
77,2020-06-04,18
78,2020-06-05,18
79,2020-06-06,18
80,2020-06-07,18
81,2020-06-08,18
82,2020-06-09,18
83,2020-06-10,18
84,2020-06-11,18
85,2020-06-12,18
86,2020-06-13,18
87,2020-06-14,18
88,2020-06-15,18
89,2020-06-16,18
90,2020-06-17,18
91,2020-06-18,18
92,2020-06-19,18
93,2020-06-20,18
94,2020-06-21,18
95,2020-06-22,18
96,2020-06-23,18
97,2020-06-24,18
98,2020-06-25,18
99,2020-06-26,18
100,2020-06-27,18
101,2020-06-28,18
102,2020-06-29,18
103,2020-06-30,18
104,2020-07-01,18
105,2020-07-02,18
106,2020-07-03,18
107,2020-07-04,18
108,2020-07-05,19
109,2020-07-06,21
110,2020-07-07,21
111,2020-07-08,21
112,2020-07-09,26
113,2020-07-10,26
114,2020-07-11,26
115,2020-07-12,26
116,2020-07-13,26
117,2020-07-14,26
118,2020-07-15,26
119,2020-07-16,26
120,2020-07-17,26
121,2020-07-18,26
122,2020-07-19,27
123,2020-07-20,27
124,2020-07-21,27
125,2020-07-22,27
126,2020-07-23,27
127,2020-07-24,27
128,2020-07-25,27
129,2020-07-26,27
130,2020-07-27,27
131,2020-07-28,27
132,2020-07-29,27
133,2020-07-30,27
134,2020-07-31,27
135,2020-08-01,27
136,2020-08-02,27
137,2020-08-03,27
138,2020-08-04,27
139,2020-08-05,27
140,2020-08-06,27
141,2020-08-07,27
142,2020-08-08,27
143,2020-08-09,27
144,2020-08-10,27
145,2020-08-11,27
146,2020-08-12,27
147,2020-08-13,28
148,2020-08-14,28
149,2020-08-15,28
150,2020-08-16,28
151,2020-08-17,28
152,2020-08-18,28
153,2020-08-19,28
154,2020-08-20,28
155,2020-08-21,28
156,2020-08-22,28
157,2020-08-23,28
158,2020-08-24,28
159,2020-08-25,28
160,2020-08-26,28
161,2020-08-27,28
162,2020-08-28,28
163,2020-08-29,28
164,2020-08-30,28
165,2020-08-31,28
166,2020-09-01,29
167,2020-09-02,29
168,2020-09-03,29
169,2020-09-04,29
170,2020-09-05,31
171,2020-09-06,31
172,2020-09-07,31
173,2020-09-08,31
174,2020-09-09,32
175,2020-09-10,32
176,2020-09-11,32
177,2020-09-12,32
178,2020-09-13,32
179,2020-09-14,32
180,2020-09-15,32
181,2020-09-16,32
182,2020-09-17,32
183,2020-09-18,32
184,2020-09-19,32
185,2020-09-20,32
186,2020-09-21,32
187,2020-09-22,32
188,2020-09-23,32
189,2020-09-24,32
190,2020-09-25,32
191,2020-09-26,32
192,2020-09-27,32
193,2020-09-28,32
194,2020-09-29,32
195,2020-09-30,32
196,2020-10-01,32
197,2020-10-02,32
198,2020-10-03,32
199,2020-10-04,32
200,2020-10-05,32
201,2020-10-06,32
202,2020-10-07,32
203,2020-10-08,32
204,2020-10-09,32
205,2020-10-10,32
206,2020-10-11,32
207,2020-10-12,32
208,2020-10-13,32
209,2020-10-14,32
210,2020-10-15,32
211,2020-10-16,32
212,2020-10-17,32
213,2020-10-18,32
214,2020-10-19,32
215,2020-10-20,32
216,2020-10-21,33
217,2020-10-22,33
218,2020-10-23,33
219,2020-10-24,33
220,2020-10-25,33
221,2020-10-26,33
222,2020-10-27,33
223,2020-10-28,33
224,2020-10-29,34
225,2020-10-30,34
226,2020-10-31,34
227,2020-11-01,34
228,2020-11-02,34
229,2020-11-03,34
230,2020-11-04,34
231,2020-11-05,34
232,2020-11-06,34
233,2020-11-07,34
234,2020-11-08,34
235,2020-11-09,34
236,2020-11-10,34
237,2020-11-11,35
238,2020-11-12,35
239,2020-11-13,35
240,2020-11-14,35
241,2020-11-15,35
242,2020-11-16,35
243,2020-11-17,35
244,2020-11-18,35
245,2020-11-19,35
246,2020-11-20,35
247,2020-11-21,35
248,2020-11-22,35
249,2020-11-23,35
250,2020-11-24,38
251,2020-11-25,38
252,2020-11-26,38
253,2020-11-27,38
254,2020-11-28,38
255,2020-11-29,38
256,2020-11-30,42
257,2020-12-01,42
258,2020-12-02,42
259,2020-12-03,42
260,2020-12-04,44
261,2020-12-05,44
262,2020-12-06,44
