,Date,Cases
0,2020-01-29,1
1,2020-01-30,1
2,2020-01-31,1
3,2020-02-01,1
4,2020-02-02,1
5,2020-02-03,1
6,2020-02-04,1
7,2020-02-05,1
8,2020-02-06,1
9,2020-02-07,1
10,2020-02-08,1
11,2020-02-09,1
12,2020-02-10,1
13,2020-02-11,1
14,2020-02-12,1
15,2020-02-13,1
16,2020-02-14,1
17,2020-02-15,1
18,2020-02-16,1
19,2020-02-17,1
20,2020-02-18,1
21,2020-02-19,1
22,2020-02-20,1
23,2020-02-21,1
24,2020-02-22,1
25,2020-02-23,1
26,2020-02-24,1
27,2020-02-25,1
28,2020-02-26,2
29,2020-02-27,2
30,2020-02-28,2
31,2020-02-29,3
32,2020-03-01,6
33,2020-03-02,6
34,2020-03-03,6
35,2020-03-04,6
36,2020-03-05,12
37,2020-03-06,15
38,2020-03-07,15
39,2020-03-08,23
40,2020-03-09,30
41,2020-03-10,40
42,2020-03-11,59
43,2020-03-12,59
44,2020-03-13,155
45,2020-03-14,225
46,2020-03-15,244
47,2020-03-16,277
48,2020-03-17,321
49,2020-03-18,336
50,2020-03-19,400
51,2020-03-20,450
52,2020-03-21,523
53,2020-03-22,626
54,2020-03-23,700
55,2020-03-24,792
56,2020-03-25,880
57,2020-03-26,958
58,2020-03-27,1041
59,2020-03-28,1167
60,2020-03-29,1240
61,2020-03-30,1352
62,2020-03-31,1418
63,2020-04-01,1446
64,2020-04-02,1518
65,2020-04-03,1615
66,2020-04-04,1882
67,2020-04-05,1927
68,2020-04-06,2176
69,2020-04-07,2308
70,2020-04-08,2487
71,2020-04-09,2605
72,2020-04-10,2769
73,2020-04-11,2905
74,2020-04-12,2974
75,2020-04-13,3064
76,2020-04-14,3161
77,2020-04-15,3237
78,2020-04-16,3369
79,2020-04-17,3489
80,2020-04-18,3681
81,2020-04-19,3783
82,2020-04-20,3868
83,2020-04-21,4014
84,2020-04-22,4129
85,2020-04-23,4284
86,2020-04-24,4395
87,2020-04-25,4475
88,2020-04-26,4576
89,2020-04-27,4695
90,2020-04-28,4740
91,2020-04-29,4906
92,2020-04-30,4995
93,2020-05-01,5051
94,2020-05-02,5176
95,2020-05-03,5254
96,2020-05-04,5327
97,2020-05-05,5412
98,2020-05-06,5573
99,2020-05-07,5673
100,2020-05-08,5738
101,2020-05-09,5880
102,2020-05-10,5962
103,2020-05-11,5984
104,2020-05-12,6003
105,2020-05-13,6054
106,2020-05-14,6145
107,2020-05-15,6228
108,2020-05-16,6286
109,2020-05-17,6347
110,2020-05-18,6380
111,2020-05-19,6399
112,2020-05-20,6443
113,2020-05-21,6493
114,2020-05-22,6537
