,Date,Cases
0,2020-01-24,2
1,2020-01-25,3
2,2020-01-26,3
3,2020-01-27,3
4,2020-01-28,4
5,2020-01-29,5
6,2020-01-30,5
7,2020-01-31,5
8,2020-02-01,6
9,2020-02-02,6
10,2020-02-03,6
11,2020-02-04,6
12,2020-02-05,6
13,2020-02-06,6
14,2020-02-07,6
15,2020-02-08,11
16,2020-02-09,11
17,2020-02-10,11
18,2020-02-11,11
19,2020-02-12,11
20,2020-02-13,11
21,2020-02-14,11
22,2020-02-15,12
23,2020-02-16,12
24,2020-02-17,12
25,2020-02-18,12
26,2020-02-19,12
27,2020-02-20,12
28,2020-02-21,12
29,2020-02-22,12
30,2020-02-23,12
31,2020-02-24,12
32,2020-02-25,14
33,2020-02-26,18
34,2020-02-27,38
35,2020-02-28,57
36,2020-02-29,100
37,2020-03-01,130
38,2020-03-02,191
39,2020-03-03,212
40,2020-03-04,288
41,2020-03-05,426
42,2020-03-06,616
43,2020-03-07,948
44,2020-03-08,1125
45,2020-03-09,1411
46,2020-03-10,1783
47,2020-03-11,2293
48,2020-03-12,2293
49,2020-03-13,3681
50,2020-03-14,4496
51,2020-03-15,4532
52,2020-03-16,6683
53,2020-03-17,7715
54,2020-03-18,9124
55,2020-03-19,10970
56,2020-03-20,12758
57,2020-03-21,14463
58,2020-03-22,16758
59,2020-03-23,20123
60,2020-03-24,22372
61,2020-03-25,25334
62,2020-03-26,29252
63,2020-03-27,33047
64,2020-03-28,37692
65,2020-03-29,40295
66,2020-03-30,44649
67,2020-03-31,52278
68,2020-04-01,57122
69,2020-04-02,59228
70,2020-04-03,64452
71,2020-04-04,47378
72,2020-04-05,48233
73,2020-04-06,50887
74,2020-04-07,47396
75,2020-04-08,51251
76,2020-04-09,55035
77,2020-04-10,56600
78,2020-04-11,58045
79,2020-04-12,108791
80,2020-04-13,111932
81,2020-04-14,129380
82,2020-04-15,132588
83,2020-04-16,145166
84,2020-04-17,147057
85,2020-04-18,150863
86,2020-04-19,151955
87,2020-04-20,154402
88,2020-04-21,157068
89,2020-04-22,158868
90,2020-04-23,157158
91,2020-04-24,159969
92,2020-04-25,161647
93,2020-04-26,162280
94,2020-04-27,165966
95,2020-04-28,169098
96,2020-04-29,167643
97,2020-04-30,168861
98,2020-05-01,169387
99,2020-05-02,170179
100,2020-05-03,170540
101,2020-05-04,171102
102,2020-05-05,172219
103,2020-05-06,176355
104,2020-05-07,177096
105,2020-05-08,177627
106,2020-05-09,178156
107,2020-05-10,178405
108,2020-05-11,178719
109,2020-05-12,179472
110,2020-05-13,179993
111,2020-05-14,180635
112,2020-05-15,181148
113,2020-05-16,181563
114,2020-05-17,181703
115,2020-05-18,182147
116,2020-05-19,182648
117,2020-05-20,183130
118,2020-05-21,183397
119,2020-05-22,184153
120,2020-05-23,184699
121,2020-05-24,184260
122,2020-05-25,184585
123,2020-05-26,184840
124,2020-05-27,185012
125,2020-05-28,188355
126,2020-05-29,188949
127,2020-05-30,190744
128,2020-05-31,190975
129,2020-06-01,191382
130,2020-06-02,190735
131,2020-06-03,187509
132,2020-06-04,191869
133,2020-06-05,192450
134,2020-06-06,193022
135,2020-06-07,193363
136,2020-06-08,193637
137,2020-06-09,194190
138,2020-06-10,194815
139,2020-06-11,195179
140,2020-06-12,195981
141,2020-06-13,196478
142,2020-06-14,196868
143,2020-06-15,197004
144,2020-06-16,197667
145,2020-06-17,198155
146,2020-06-18,198741
147,2020-06-19,199528
148,2020-06-20,200147
149,2020-06-21,200490
150,2020-06-22,200632
151,2020-06-23,201330
152,2020-06-24,201598
153,2020-06-25,201853
154,2020-06-26,203116
155,2020-06-27,203564
156,2020-06-28,203158
157,2020-06-29,203803
158,2020-06-30,204244
159,2020-07-01,205234
160,2020-07-02,205773
161,2020-07-03,206312
162,2020-07-04,206670
163,2020-07-05,206681
164,2020-07-06,207699
165,2020-07-07,208153
166,2020-07-08,208975
167,2020-07-09,209419
168,2020-07-10,210134
169,2020-07-11,210385
170,2020-07-12,210401
171,2020-07-13,211824
172,2020-07-14,211886
173,2020-07-15,212613
174,2020-07-16,213182
175,2020-07-17,214011
176,2020-07-18,214174
177,2020-07-19,214178
178,2020-07-20,216089
179,2020-07-21,216684
180,2020-07-22,217605
181,2020-07-23,218841
182,2020-07-24,219932
183,2020-07-25,220020
184,2020-07-26,220020
185,2020-07-27,222508
186,2020-07-28,223072
187,2020-07-29,224542
188,2020-07-30,225931
189,2020-07-31,227239
190,2020-08-01,227302
191,2020-08-02,227305
192,2020-08-03,230665
193,2020-08-04,231636
194,2020-08-05,233344
195,2020-08-06,234945
