,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,1
3,2020-03-17,1
4,2020-03-18,1
5,2020-03-19,1
6,2020-03-20,3
7,2020-03-21,4
8,2020-03-22,5
9,2020-03-23,5
10,2020-03-24,6
11,2020-03-25,6
12,2020-03-26,7
13,2020-03-27,7
14,2020-03-28,7
15,2020-03-29,7
16,2020-03-30,7
17,2020-03-31,16
18,2020-04-01,18
19,2020-04-02,21
20,2020-04-03,21
21,2020-04-04,21
22,2020-04-05,21
23,2020-04-06,24
24,2020-04-07,30
25,2020-04-08,34
26,2020-04-09,44
27,2020-04-10,44
28,2020-04-11,46
29,2020-04-12,49
30,2020-04-13,57
31,2020-04-14,57
32,2020-04-15,80
33,2020-04-16,80
34,2020-04-17,108
35,2020-04-18,108
36,2020-04-19,109
37,2020-04-20,120
38,2020-04-21,156
39,2020-04-22,166
40,2020-04-23,167
41,2020-04-24,172
42,2020-04-25,176
43,2020-04-26,176
44,2020-04-27,211
45,2020-04-28,238
46,2020-04-29,276
47,2020-04-30,276
48,2020-05-01,276
49,2020-05-02,335
50,2020-05-03,335
51,2020-05-04,367
52,2020-05-05,397
53,2020-05-06,397
54,2020-05-07,504
55,2020-05-08,620
56,2020-05-09,661
57,2020-05-10,661
58,2020-05-11,802
59,2020-05-12,863
60,2020-05-13,1004
61,2020-05-14,1104
62,2020-05-15,1209
63,2020-05-16,1320
64,2020-05-17,1320
65,2020-05-18,1432
66,2020-05-19,1502
67,2020-05-20,1567
68,2020-05-21,1567
69,2020-05-22,1728
70,2020-05-23,1934
71,2020-05-24,1934
72,2020-05-25,2135
73,2020-05-26,2238
74,2020-05-27,2319
75,2020-05-28,2431
76,2020-05-29,2613
77,2020-05-30,2655
78,2020-05-31,2655
79,2020-06-01,2655
80,2020-06-02,2803
81,2020-06-03,2902
82,2020-06-04,2955
83,2020-06-05,3101
84,2020-06-06,3101
85,2020-06-07,3101
86,2020-06-08,3101
87,2020-06-09,3247
88,2020-06-10,3375
89,2020-06-11,3463
90,2020-06-12,3463
91,2020-06-13,3463
92,2020-06-14,3463
93,2020-06-15,4033
94,2020-06-16,4114
95,2020-06-17,4229
96,2020-06-18,4340
97,2020-06-19,4428
98,2020-06-20,4428
99,2020-06-21,4428
100,2020-06-22,4739
101,2020-06-23,4849
102,2020-06-24,4956
103,2020-06-25,5087
104,2020-06-26,5209
105,2020-06-27,5209
106,2020-06-28,5209
107,2020-06-29,5394
108,2020-06-30,5394
109,2020-07-01,5513
110,2020-07-02,5513
111,2020-07-03,5620
112,2020-07-04,5620
113,2020-07-05,5620
114,2020-07-06,5743
115,2020-07-07,5743
116,2020-07-08,5871
117,2020-07-09,5871
118,2020-07-10,5942
119,2020-07-11,5942
120,2020-07-12,5942
121,2020-07-13,6026
122,2020-07-14,6026
123,2020-07-15,6121
124,2020-07-16,6121
125,2020-07-17,6315
126,2020-07-18,6315
127,2020-07-19,6315
128,2020-07-20,6433
129,2020-07-21,6433
130,2020-07-22,6588
131,2020-07-23,6588
132,2020-07-24,6984
133,2020-07-25,6984
134,2020-07-26,6984
135,2020-07-27,7189
136,2020-07-28,7189
137,2020-07-29,7352
138,2020-07-30,7352
139,2020-07-31,7352
140,2020-08-01,7531
141,2020-08-02,7531
142,2020-08-03,7646
143,2020-08-04,7646
