,Date,Cases
0,2020-03-17,1
1,2020-03-18,1
2,2020-03-19,1
3,2020-03-20,1
4,2020-03-21,1
5,2020-03-22,1
6,2020-03-23,2
7,2020-03-24,3
8,2020-03-25,3
9,2020-03-26,3
10,2020-03-27,3
11,2020-03-28,3
12,2020-03-29,4
13,2020-03-30,4
14,2020-03-31,4
15,2020-04-01,4
16,2020-04-02,4
17,2020-04-03,4
18,2020-04-04,4
19,2020-04-05,4
20,2020-04-06,4
21,2020-04-07,4
22,2020-04-08,4
23,2020-04-09,4
24,2020-04-10,4
25,2020-04-11,9
26,2020-04-12,9
27,2020-04-13,9
28,2020-04-14,9
29,2020-04-15,9
30,2020-04-16,9
31,2020-04-17,9
32,2020-04-18,9
33,2020-04-19,10
34,2020-04-20,10
35,2020-04-21,10
36,2020-04-22,10
37,2020-04-23,10
38,2020-04-24,10
39,2020-04-25,10
40,2020-04-26,10
41,2020-04-27,10
42,2020-04-28,10
43,2020-04-29,10
44,2020-04-30,11
45,2020-05-01,12
46,2020-05-02,17
47,2020-05-03,17
48,2020-05-04,17
49,2020-05-05,17
50,2020-05-06,17
51,2020-05-07,18
52,2020-05-08,20
53,2020-05-09,20
54,2020-05-10,20
55,2020-05-11,22
56,2020-05-12,22
57,2020-05-13,23
58,2020-05-14,23
59,2020-05-15,23
60,2020-05-16,23
61,2020-05-17,23
62,2020-05-18,24
63,2020-05-19,24
64,2020-05-20,24
65,2020-05-21,24
66,2020-05-22,25
67,2020-05-23,25
68,2020-05-24,25
69,2020-05-25,25
70,2020-05-26,25
71,2020-05-27,25
72,2020-05-28,25
73,2020-05-29,25
74,2020-05-30,25
75,2020-05-31,25
76,2020-06-01,25
77,2020-06-02,25
78,2020-06-03,26
79,2020-06-04,26
80,2020-06-05,26
81,2020-06-06,26
82,2020-06-07,26
83,2020-06-08,28
84,2020-06-09,28
85,2020-06-10,28
86,2020-06-11,28
87,2020-06-12,28
88,2020-06-13,28
89,2020-06-14,28
90,2020-06-15,30
91,2020-06-16,34
92,2020-06-17,34
93,2020-06-18,36
94,2020-06-19,36
95,2020-06-20,37
96,2020-06-21,37
97,2020-06-22,41
98,2020-06-23,42
99,2020-06-24,42
100,2020-06-25,43
101,2020-06-26,43
102,2020-06-27,44
103,2020-06-28,45
104,2020-06-29,47
105,2020-06-30,49
106,2020-07-01,49
107,2020-07-02,55
108,2020-07-03,55
109,2020-07-04,57
110,2020-07-05,57
111,2020-07-06,61
112,2020-07-07,61
113,2020-07-08,61
114,2020-07-09,63
115,2020-07-10,64
116,2020-07-11,64
117,2020-07-12,64
118,2020-07-13,64
119,2020-07-14,64
120,2020-07-15,64
121,2020-07-16,78
122,2020-07-17,78
123,2020-07-18,93
124,2020-07-19,93
125,2020-07-20,112
126,2020-07-21,112
127,2020-07-22,146
128,2020-07-23,170
129,2020-07-24,216
130,2020-07-25,277
131,2020-07-26,277
132,2020-07-27,326
133,2020-07-28,326
134,2020-07-29,326
135,2020-07-30,403
136,2020-07-31,498
137,2020-08-01,498
138,2020-08-02,498
139,2020-08-03,498
140,2020-08-04,671
141,2020-08-05,799
142,2020-08-06,935
143,2020-08-07,1090
144,2020-08-08,1090
145,2020-08-09,1235
146,2020-08-10,1235
147,2020-08-11,1346
148,2020-08-12,1477
149,2020-08-13,1556
150,2020-08-14,1623
151,2020-08-15,1689
152,2020-08-16,1872
153,2020-08-17,1872
154,2020-08-18,2116
155,2020-08-19,2288
156,2020-08-20,2401
157,2020-08-21,2437
158,2020-08-22,2437
159,2020-08-23,2685
160,2020-08-24,2585
161,2020-08-25,2686
162,2020-08-26,2708
163,2020-08-27,2743
164,2020-08-28,2797
165,2020-08-29,2895
166,2020-08-30,2963
167,2020-08-31,2963
168,2020-09-01,3029
169,2020-09-02,3067
170,2020-09-03,3101
171,2020-09-04,3120
172,2020-09-05,3150
173,2020-09-06,3197
174,2020-09-07,3197
175,2020-09-08,3275
176,2020-09-09,3293
177,2020-09-10,3330
178,2020-09-11,3362
179,2020-09-12,3376
180,2020-09-13,3405
181,2020-09-14,3405
182,2020-09-15,3428
183,2020-09-16,3440
184,2020-09-17,3473
185,2020-09-18,3485
186,2020-09-19,3504
187,2020-09-20,3526
188,2020-09-21,3526
189,2020-09-22,3540
190,2020-09-23,3542
191,2020-09-24,3552
192,2020-09-25,3555
193,2020-09-26,3555
194,2020-09-27,3569
195,2020-09-28,3569
196,2020-09-29,3579
197,2020-09-30,3579
198,2020-10-01,3584
199,2020-10-02,3585
200,2020-10-03,3590
201,2020-10-04,3594
202,2020-10-05,3594
203,2020-10-06,3613
