,Date,Cases
0,2020-02-26,1
1,2020-02-27,1
2,2020-02-28,1
3,2020-02-29,1
4,2020-03-01,3
5,2020-03-02,3
6,2020-03-03,3
7,2020-03-04,3
8,2020-03-05,4
9,2020-03-06,4
10,2020-03-07,4
11,2020-03-08,13
12,2020-03-09,15
13,2020-03-10,15
14,2020-03-11,24
15,2020-03-12,24
16,2020-03-13,25
17,2020-03-14,30
18,2020-03-15,33
19,2020-03-16,33
20,2020-03-17,34
21,2020-03-18,38
22,2020-03-19,40
23,2020-03-20,43
24,2020-03-21,49
25,2020-03-22,54
26,2020-03-23,61
27,2020-03-24,70
28,2020-03-25,75
29,2020-03-26,79
30,2020-03-27,83
31,2020-03-28,90
32,2020-03-29,91
33,2020-03-30,103
34,2020-03-31,110
35,2020-04-01,117
36,2020-04-02,134
37,2020-04-03,155
38,2020-04-04,162
39,2020-04-05,174
40,2020-04-06,188
41,2020-04-07,196
42,2020-04-08,211
43,2020-04-09,218
44,2020-04-10,234
45,2020-04-11,242
46,2020-04-12,257
47,2020-04-13,272
48,2020-04-14,300
49,2020-04-15,306
50,2020-04-16,348
51,2020-04-17,370
52,2020-04-18,388
53,2020-04-19,394
54,2020-04-20,402
55,2020-04-21,408
56,2020-04-22,416
57,2020-04-23,425
58,2020-04-24,444
59,2020-04-25,456
60,2020-04-26,486
61,2020-04-27,497
62,2020-04-28,511
63,2020-04-29,517
64,2020-04-30,539
65,2020-05-01,566
66,2020-05-02,582
67,2020-05-03,589
68,2020-05-04,593
69,2020-05-05,604
70,2020-05-06,610
71,2020-05-07,615
72,2020-05-08,623
73,2020-05-09,626
74,2020-05-10,635
75,2020-05-11,638
76,2020-05-12,642
77,2020-05-13,647
78,2020-05-14,667
79,2020-05-15,671
80,2020-05-16,683
81,2020-05-17,695
82,2020-05-18,701
83,2020-05-19,707
84,2020-05-20,713
85,2020-05-21,721
86,2020-05-22,723
87,2020-05-23,728
88,2020-05-24,730
89,2020-05-25,731
90,2020-05-26,732
91,2020-05-27,735
92,2020-05-28,738
93,2020-05-29,746
94,2020-05-30,757
95,2020-05-31,783
96,2020-06-01,794
97,2020-06-02,796
98,2020-06-03,800
99,2020-06-04,801
100,2020-06-05,805
101,2020-06-06,808
102,2020-06-07,809
103,2020-06-08,812
104,2020-06-09,818
105,2020-06-10,827
106,2020-06-11,831
107,2020-06-12,843
108,2020-06-13,851
109,2020-06-14,864
110,2020-06-15,879
111,2020-06-16,879
112,2020-06-17,888
113,2020-06-18,893
114,2020-06-19,896
115,2020-06-20,898
116,2020-06-21,906
117,2020-06-22,908
118,2020-06-23,911
119,2020-06-24,914
120,2020-06-25,917
121,2020-06-26,919
122,2020-06-27,921
123,2020-06-28,924
124,2020-06-29,926
125,2020-06-30,928
126,2020-07-01,931
127,2020-07-02,939
128,2020-07-03,943
129,2020-07-04,948
130,2020-07-05,951
131,2020-07-06,953
132,2020-07-07,958
133,2020-07-08,963
134,2020-07-09,968
135,2020-07-10,973
136,2020-07-11,981
137,2020-07-12,986
138,2020-07-13,995
139,2020-07-14,999
140,2020-07-15,1004
141,2020-07-16,1006
142,2020-07-17,1010
143,2020-07-18,1018
144,2020-07-19,1028
145,2020-07-20,1039
146,2020-07-21,1049
147,2020-07-22,1073
148,2020-07-23,1085
149,2020-07-24,1104
150,2020-07-25,1117
151,2020-07-26,1131
152,2020-07-27,1137
153,2020-07-28,1145
154,2020-07-29,1155
155,2020-07-30,1160
156,2020-07-31,1168
157,2020-08-01,1171
158,2020-08-02,1177
159,2020-08-03,1179
160,2020-08-04,1182
161,2020-08-05,1197
162,2020-08-06,1206
163,2020-08-07,1213
164,2020-08-08,1216
165,2020-08-09,1225
166,2020-08-10,1250
167,2020-08-11,1264
168,2020-08-12,1278
169,2020-08-13,1283
170,2020-08-14,1306
171,2020-08-15,1321
172,2020-08-16,1336
173,2020-08-17,1341
174,2020-08-18,1351
175,2020-08-19,1361
176,2020-08-20,1370
177,2020-08-21,1385
178,2020-08-22,1394
179,2020-08-23,1411
180,2020-08-24,1421
181,2020-08-25,1429
182,2020-08-26,1436
183,2020-08-27,1447
184,2020-08-28,1455
185,2020-08-29,1462
186,2020-08-30,1469
187,2020-08-31,1487
188,2020-09-01,1510
189,2020-09-02,1548
190,2020-09-03,1568
191,2020-09-04,1596
192,2020-09-05,1621
193,2020-09-06,1650
194,2020-09-07,1684
195,2020-09-08,1729
196,2020-09-09,1773
197,2020-09-10,1830
198,2020-09-11,1917
199,2020-09-12,2075
200,2020-09-13,2227
201,2020-09-14,2392
202,2020-09-15,2562
203,2020-09-16,2758
204,2020-09-17,2937
205,2020-09-18,3119
206,2020-09-19,3306
207,2020-09-20,3502
208,2020-09-21,3695
209,2020-09-22,3913
210,2020-09-23,4140
211,2020-09-24,4399
212,2020-09-25,4664
213,2020-09-26,4960
214,2020-09-27,5254
215,2020-09-28,5552
216,2020-09-29,5866
217,2020-09-30,6192
218,2020-10-01,6640
219,2020-10-02,7093
220,2020-10-03,7564
221,2020-10-04,8118
222,2020-10-05,8696
223,2020-10-06,9245
224,2020-10-07,9753
225,2020-10-08,10225
226,2020-10-09,10752
227,2020-10-10,11271
228,2020-10-11,11794
229,2020-10-12,12272
230,2020-10-13,12841
231,2020-10-14,13521
232,2020-10-15,14440
233,2020-10-16,15327
