,Date,Cases
0,2020-01-27,1
1,2020-01-28,4
2,2020-01-29,4
3,2020-01-30,4
4,2020-01-31,5
5,2020-02-01,8
6,2020-02-02,10
7,2020-02-03,12
8,2020-02-04,12
9,2020-02-05,12
10,2020-02-06,12
11,2020-02-07,13
12,2020-02-08,13
13,2020-02-09,14
14,2020-02-10,14
15,2020-02-11,16
16,2020-02-12,16
17,2020-02-13,16
18,2020-02-14,16
19,2020-02-15,16
20,2020-02-16,16
21,2020-02-17,16
22,2020-02-18,16
23,2020-02-19,16
24,2020-02-20,16
25,2020-02-21,16
26,2020-02-22,16
27,2020-02-23,16
28,2020-02-24,16
29,2020-02-25,17
30,2020-02-26,27
31,2020-02-27,46
32,2020-02-28,48
33,2020-02-29,79
34,2020-03-01,130
35,2020-03-02,159
36,2020-03-03,196
37,2020-03-04,262
38,2020-03-05,482
39,2020-03-06,670
40,2020-03-07,799
41,2020-03-08,1040
42,2020-03-09,1176
43,2020-03-10,1457
44,2020-03-11,1908
45,2020-03-12,2078
46,2020-03-13,3675
47,2020-03-14,4585
48,2020-03-15,5795
49,2020-03-16,7272
50,2020-03-17,9257
51,2020-03-18,12327
52,2020-03-19,15320
53,2020-03-20,19848
54,2020-03-21,22213
55,2020-03-22,24873
56,2020-03-23,29056
57,2020-03-24,32986
58,2020-03-25,37323
59,2020-03-26,43938
60,2020-03-27,50871
61,2020-03-28,57695
62,2020-03-29,62095
63,2020-03-30,66885
64,2020-03-31,71808
65,2020-04-01,77872
66,2020-04-02,84794
67,2020-04-03,91159
68,2020-04-04,96092
69,2020-04-05,100123
70,2020-04-06,103374
71,2020-04-07,107663
72,2020-04-08,113296
73,2020-04-09,118181
74,2020-04-10,122171
75,2020-04-11,124908
76,2020-04-12,127854
77,2020-04-13,130072
78,2020-04-14,131359
79,2020-04-15,134753
80,2020-04-16,137698
81,2020-04-17,141397
82,2020-04-18,143342
83,2020-04-19,145184
84,2020-04-20,147065
85,2020-04-21,148291
86,2020-04-22,150648
87,2020-04-23,153129
88,2020-04-24,154999
89,2020-04-25,156513
90,2020-04-26,157770
91,2020-04-27,158758
92,2020-04-28,159912
93,2020-04-29,161539
94,2020-04-30,163009
95,2020-05-01,164077
96,2020-05-02,164967
97,2020-05-03,165664
98,2020-05-04,166152
99,2020-05-05,167007
100,2020-05-06,168162
101,2020-05-07,169430
102,2020-05-08,170588
103,2020-05-09,171324
104,2020-05-10,171879
105,2020-05-11,172576
106,2020-05-12,173171
107,2020-05-13,174098
108,2020-05-14,174478
109,2020-05-15,175233
110,2020-05-16,175752
111,2020-05-17,176369
112,2020-05-18,176551
113,2020-05-19,177778
114,2020-05-20,178473
115,2020-05-21,179021
116,2020-05-22,179710
117,2020-05-23,179986
118,2020-05-24,180328
119,2020-05-25,180600
120,2020-05-26,181200
121,2020-05-27,181524
122,2020-05-28,182196
123,2020-05-29,182922
124,2020-05-30,183189
125,2020-05-31,183410
126,2020-06-01,183594
127,2020-06-02,183879
128,2020-06-03,184121
129,2020-06-04,184472
130,2020-06-05,184924
131,2020-06-06,185450
132,2020-06-07,185750
133,2020-06-08,186109
134,2020-06-09,186506
135,2020-06-10,186522
136,2020-06-11,186691
137,2020-06-12,187226
138,2020-06-13,187267
139,2020-06-14,187518
140,2020-06-15,187682
141,2020-06-16,188252
142,2020-06-17,188604
143,2020-06-18,189817
144,2020-06-19,190299
145,2020-06-20,190670
146,2020-06-21,191272
147,2020-06-22,191768
148,2020-06-23,192480
149,2020-06-24,192871
150,2020-06-25,193371
151,2020-06-26,194036
152,2020-06-27,194458
153,2020-06-28,194693
154,2020-06-29,195042
155,2020-06-30,195418
156,2020-07-01,195893
157,2020-07-02,196370
158,2020-07-03,196780
159,2020-07-04,197198
160,2020-07-05,197523
161,2020-07-06,198064
162,2020-07-07,198343
163,2020-07-08,198699
164,2020-07-09,199001
165,2020-07-10,199332
166,2020-07-11,199709
167,2020-07-12,199919
168,2020-07-13,200180
169,2020-07-14,200456
170,2020-07-15,200890
171,2020-07-16,201450
172,2020-07-17,202045
173,2020-07-18,202426
174,2020-07-19,202735
175,2020-07-20,203325
176,2020-07-21,203717
177,2020-07-22,204276
178,2020-07-23,204881
179,2020-07-24,205623
180,2020-07-25,206278
181,2020-07-26,206667
182,2020-07-27,207112
183,2020-07-28,207707
184,2020-07-29,208546
185,2020-07-30,209535
186,2020-07-31,210399
187,2020-08-01,211005
188,2020-08-02,211220
189,2020-08-03,212111
190,2020-08-04,212828
