,Date,Cases
0,2020-03-14,3
1,2020-03-15,6
2,2020-03-16,6
3,2020-03-17,7
4,2020-03-18,7
5,2020-03-19,11
6,2020-03-20,16
7,2020-03-21,19
8,2020-03-22,23
9,2020-03-23,27
10,2020-03-24,53
11,2020-03-25,93
12,2020-03-26,132
13,2020-03-27,137
14,2020-03-28,141
15,2020-03-29,152
16,2020-03-30,152
17,2020-03-31,161
18,2020-04-01,195
19,2020-04-02,204
20,2020-04-03,205
21,2020-04-04,205
22,2020-04-05,214
23,2020-04-06,214
24,2020-04-07,287
25,2020-04-08,313
26,2020-04-09,378
27,2020-04-10,378
28,2020-04-11,408
29,2020-04-12,566
30,2020-04-13,566
31,2020-04-14,636
32,2020-04-15,636
33,2020-04-16,641
34,2020-04-17,641
35,2020-04-18,834
36,2020-04-19,1042
37,2020-04-20,1042
38,2020-04-21,1042
39,2020-04-22,1154
40,2020-04-23,1154
41,2020-04-24,1279
42,2020-04-25,1279
43,2020-04-26,1550
44,2020-04-27,1550
45,2020-04-28,1671
46,2020-04-29,1671
47,2020-04-30,2074
48,2020-05-01,2074
49,2020-05-02,2169
50,2020-05-03,2169
51,2020-05-04,2719
52,2020-05-05,2719
53,2020-05-06,3091
54,2020-05-07,3091
55,2020-05-08,4012
56,2020-05-09,4263
57,2020-05-10,4263
58,2020-05-11,4700
59,2020-05-12,5127
60,2020-05-13,5408
61,2020-05-14,5530
62,2020-05-15,5638
63,2020-05-16,5735
64,2020-05-17,5735
65,2020-05-18,5735
66,2020-05-19,6096
67,2020-05-20,6269
68,2020-05-21,6269
69,2020-05-22,6486
70,2020-05-23,6617
71,2020-05-24,6683
72,2020-05-25,6808
73,2020-05-26,7117
74,2020-05-27,7303
75,2020-05-28,7303
76,2020-05-29,7616
77,2020-05-30,7768
78,2020-05-31,8070
79,2020-06-01,8070
80,2020-06-02,8297
81,2020-06-03,8548
82,2020-06-04,8885
83,2020-06-05,9168
84,2020-06-06,9462
85,2020-06-07,9638
86,2020-06-08,9910
87,2020-06-09,10201
88,2020-06-10,10201
89,2020-06-11,10358
90,2020-06-12,10856
91,2020-06-13,11118
92,2020-06-14,11964
93,2020-06-15,11964
94,2020-06-16,12193
95,2020-06-17,12590
96,2020-06-18,12929
97,2020-06-19,13203
98,2020-06-20,13717
99,2020-06-21,14154
100,2020-06-22,14154
101,2020-06-23,14568
102,2020-06-24,15013
103,2020-06-25,15473
104,2020-06-26,15834
105,2020-06-27,16431
106,2020-06-28,16742
107,2020-06-29,17351
108,2020-06-30,17741
109,2020-07-01,18134
110,2020-07-02,18134
111,2020-07-03,19388
112,2020-07-04,19388
113,2020-07-05,20085
114,2020-07-06,21077
115,2020-07-07,21968
116,2020-07-08,22822
117,2020-07-09,23463
118,2020-07-10,23834
119,2020-07-11,24248
120,2020-07-12,24518
121,2020-07-13,24988
122,2020-07-14,24988
123,2020-07-15,25430
124,2020-07-16,26125
125,2020-07-17,26572
126,2020-07-18,27060
127,2020-07-19,27667
128,2020-07-20,28430
129,2020-07-21,28989
130,2020-07-22,29672
131,2020-07-23,29672
132,2020-07-24,31057
133,2020-07-25,31851
134,2020-07-26,32969
135,2020-07-27,33624
136,2020-07-28,34406
137,2020-07-29,35142
138,2020-07-30,35142
139,2020-07-31,35501
140,2020-08-01,37014
141,2020-08-02,37014
142,2020-08-03,37812
143,2020-08-04,37812
144,2020-08-05,39075
145,2020-08-06,39642
146,2020-08-07,40097
147,2020-08-08,40533
148,2020-08-09,41003
149,2020-08-10,41212
150,2020-08-11,41404
151,2020-08-12,41572
152,2020-08-13,41725
153,2020-08-14,41847
154,2020-08-15,42210
155,2020-08-16,42532
156,2020-08-17,42653
157,2020-08-18,42993
158,2020-08-19,43094
159,2020-08-20,43260
160,2020-08-21,43325
161,2020-08-22,43325
162,2020-08-23,43505
163,2020-08-24,43622
164,2020-08-25,43717
165,2020-08-26,43769
166,2020-08-27,43841
167,2020-08-28,43949
168,2020-08-29,44118
169,2020-08-30,44205
170,2020-08-31,44298
171,2020-09-01,44460
172,2020-09-02,44658
173,2020-09-03,44713
174,2020-09-04,44777
175,2020-09-05,44777
176,2020-09-06,44777
177,2020-09-07,44869
178,2020-09-08,45012
179,2020-09-09,45313
180,2020-09-10,45313
181,2020-09-11,45388
182,2020-09-12,45434
183,2020-09-13,45434
184,2020-09-14,45601
185,2020-09-15,45655
186,2020-09-16,45655
187,2020-09-17,45714
188,2020-09-18,45760
189,2020-09-19,45877
190,2020-09-20,46004
191,2020-09-21,46062
192,2020-09-22,46062
193,2020-09-23,46153
194,2020-09-24,46222
195,2020-09-25,46222
196,2020-09-26,46222
197,2020-09-27,46387
198,2020-09-28,46444
199,2020-09-29,46482
200,2020-09-30,46626
201,2020-10-01,46656
202,2020-10-02,46694
203,2020-10-03,46803
204,2020-10-04,46829
205,2020-10-05,46829
206,2020-10-06,46829
207,2020-10-07,46829
208,2020-10-08,46947
209,2020-10-09,46987
210,2020-10-10,47005
211,2020-10-11,47005
212,2020-10-12,47030
213,2020-10-13,47126
214,2020-10-14,47126
215,2020-10-15,47173
216,2020-10-16,47173
217,2020-10-17,47232
218,2020-10-18,47310
219,2020-10-19,47372
220,2020-10-20,47461
221,2020-10-21,47461
222,2020-10-22,47538
223,2020-10-23,47601
224,2020-10-24,47690
225,2020-10-25,47690
226,2020-10-26,47775
227,2020-10-27,47775
228,2020-10-28,47775
229,2020-10-29,48055
230,2020-10-30,48055
231,2020-10-31,48055
232,2020-11-01,48124
233,2020-11-02,48200
234,2020-11-03,48200
235,2020-11-04,48643
236,2020-11-05,48788
237,2020-11-06,48788
238,2020-11-07,48904
239,2020-11-08,49102
240,2020-11-09,49202
241,2020-11-10,49302
242,2020-11-11,49302
243,2020-11-12,49957
244,2020-11-13,50018
245,2020-11-14,50018
246,2020-11-15,50123
247,2020-11-16,50376
248,2020-11-17,50376
249,2020-11-18,50457
250,2020-11-19,50631
251,2020-11-20,50631
252,2020-11-21,50717
253,2020-11-22,50874
254,2020-11-23,50941
255,2020-11-24,51184
256,2020-11-25,51225
257,2020-11-26,51225
258,2020-11-27,51225
259,2020-11-28,51379
260,2020-11-29,51569
261,2020-11-30,51667
262,2020-12-01,51667
263,2020-12-02,51667
264,2020-12-03,51667
265,2020-12-04,52096
266,2020-12-05,52096
267,2020-12-06,52274
268,2020-12-07,52274
269,2020-12-08,52500
270,2020-12-09,52622
271,2020-12-10,52738
272,2020-12-11,52738
273,2020-12-12,52933
274,2020-12-13,52933
275,2020-12-14,53014
276,2020-12-15,53270
277,2020-12-16,53386
278,2020-12-17,53553
279,2020-12-18,53653
280,2020-12-19,53653
281,2020-12-20,53653
282,2020-12-21,53954
283,2020-12-22,53954
284,2020-12-23,54043
285,2020-12-24,54043
286,2020-12-25,54043
287,2020-12-26,54286
288,2020-12-27,54401
289,2020-12-28,54503
290,2020-12-29,54681
291,2020-12-30,54771
292,2020-12-31,54771
293,2021-01-01,54930
294,2021-01-02,55064
295,2021-01-03,55168
296,2021-01-04,55168
297,2021-01-05,55168
298,2021-01-06,55168
299,2021-01-07,55461
300,2021-01-08,55461
301,2021-01-09,55772
302,2021-01-10,55772
303,2021-01-11,56230
304,2021-01-12,56421
305,2021-01-13,56981
306,2021-01-14,56981
307,2021-01-15,56981
308,2021-01-16,56981
309,2021-01-17,57714
310,2021-01-18,58065
311,2021-01-19,58431
312,2021-01-20,58431
313,2021-01-21,59480
314,2021-01-22,59480
315,2021-01-23,60115
316,2021-01-24,60794
317,2021-01-25,62135
318,2021-01-26,62135
319,2021-01-27,62751
320,2021-01-28,63883
