,Date,Cases
0,2020-02-26,1
1,2020-02-27,3
2,2020-02-28,4
3,2020-02-29,4
4,2020-03-01,7
5,2020-03-02,7
6,2020-03-03,7
7,2020-03-04,9
8,2020-03-05,31
9,2020-03-06,45
10,2020-03-07,46
11,2020-03-08,73
12,2020-03-09,73
13,2020-03-10,89
14,2020-03-11,99
15,2020-03-12,99
16,2020-03-13,190
17,2020-03-14,228
18,2020-03-15,331
19,2020-03-16,331
20,2020-03-17,387
21,2020-03-18,418
22,2020-03-19,418
23,2020-03-20,495
24,2020-03-21,530
25,2020-03-22,624
26,2020-03-23,695
27,2020-03-24,743
28,2020-03-25,821
29,2020-03-26,892
30,2020-03-27,966
31,2020-03-28,1061
32,2020-03-29,1156
33,2020-03-30,1212
34,2020-03-31,1314
35,2020-04-01,1415
36,2020-04-02,1544
37,2020-04-03,1613
38,2020-04-04,1673
39,2020-04-05,1735
40,2020-04-06,1755
41,2020-04-07,1832
42,2020-04-08,1884
43,2020-04-09,1955
44,2020-04-10,2011
45,2020-04-11,2081
46,2020-04-12,2114
47,2020-04-13,2145
48,2020-04-14,2170
49,2020-04-15,2192
50,2020-04-16,2207
51,2020-04-17,2224
52,2020-04-18,2235
53,2020-04-19,2235
54,2020-04-20,2245
55,2020-04-21,2401
56,2020-04-22,2408
57,2020-04-23,2463
58,2020-04-24,2490
59,2020-04-25,2506
60,2020-04-26,2517
61,2020-04-27,2534
62,2020-04-28,2566
63,2020-04-29,2576
64,2020-04-30,2591
65,2020-05-01,2612
66,2020-05-02,2620
67,2020-05-03,2626
68,2020-05-04,2632
69,2020-05-05,2642
70,2020-05-06,2663
71,2020-05-07,2678
72,2020-05-08,2691
73,2020-05-09,2710
74,2020-05-10,2716
75,2020-05-11,2726
76,2020-05-12,2744
77,2020-05-13,2760
78,2020-05-14,2770
79,2020-05-15,2810
80,2020-05-16,2819
81,2020-05-17,2834
82,2020-05-18,2836
83,2020-05-19,2840
84,2020-05-20,2850
85,2020-05-21,2853
86,2020-05-22,2874
87,2020-05-23,2876
88,2020-05-24,2878
89,2020-05-25,2882
90,2020-05-26,2892
91,2020-05-27,2903
92,2020-05-28,2906
93,2020-05-29,2909
94,2020-05-30,2915
95,2020-05-31,2917
96,2020-06-01,2918
97,2020-06-02,2937
98,2020-06-03,2937
99,2020-06-04,2952
100,2020-06-05,2967
101,2020-06-06,2980
102,2020-06-07,2997
103,2020-06-08,3049
104,2020-06-09,3058
105,2020-06-10,3068
106,2020-06-11,3088
107,2020-06-12,3108
108,2020-06-13,3112
109,2020-06-14,3121
110,2020-06-15,3134
111,2020-06-16,3148
112,2020-06-17,3203
113,2020-06-18,3227
114,2020-06-19,3237
115,2020-06-20,3256
116,2020-06-21,3266
117,2020-06-22,3287
118,2020-06-23,3302
119,2020-06-24,3310
120,2020-06-25,3321
121,2020-06-26,3343
122,2020-06-27,3366
123,2020-06-28,3376
124,2020-06-29,3390
125,2020-06-30,3409
126,2020-07-01,3432
127,2020-07-02,3458
128,2020-07-03,3486
129,2020-07-04,3511
130,2020-07-05,3519
131,2020-07-06,3562
132,2020-07-07,3589
133,2020-07-08,3622
134,2020-07-09,3672
135,2020-07-10,3732
136,2020-07-11,3772
137,2020-07-12,3803
138,2020-07-13,3826
139,2020-07-14,3883
140,2020-07-15,3910
141,2020-07-16,3939
142,2020-07-17,3964
143,2020-07-18,3983
144,2020-07-19,4007
145,2020-07-20,4012
146,2020-07-21,4048
147,2020-07-22,4077
148,2020-07-23,4110
149,2020-07-24,4135
150,2020-07-25,4166
151,2020-07-26,4193
152,2020-07-27,4227
153,2020-07-28,4279
154,2020-07-29,4336
155,2020-07-30,4401
156,2020-07-31,4477
157,2020-08-01,4587
158,2020-08-02,4662
159,2020-08-03,4737
160,2020-08-04,4855
161,2020-08-05,4974
162,2020-08-06,5123
163,2020-08-07,5270
164,2020-08-08,5421
165,2020-08-09,5623
166,2020-08-10,5749
167,2020-08-11,5942
168,2020-08-12,6177
169,2020-08-13,6381
170,2020-08-14,6632
171,2020-08-15,6858
172,2020-08-16,7075
173,2020-08-17,7222
174,2020-08-18,7472
175,2020-08-19,7684
176,2020-08-20,7934
177,2020-08-21,8138
178,2020-08-22,8381
179,2020-08-23,8664
180,2020-08-24,8819
181,2020-08-25,8987
182,2020-08-26,9280
183,2020-08-27,9531
184,2020-08-28,9800
185,2020-08-29,9977
186,2020-08-30,10134
187,2020-08-31,10317
188,2020-09-01,10524
189,2020-09-02,10757
190,2020-09-03,10998
191,2020-09-04,11200
192,2020-09-05,11386
193,2020-09-06,11524
194,2020-09-07,11663
195,2020-09-08,11832
196,2020-09-09,12080
197,2020-09-10,12452
198,2020-09-11,12734
199,2020-09-12,13036
200,2020-09-13,13240
201,2020-09-14,13420
202,2020-09-15,13730
203,2020-09-16,14041
204,2020-09-17,14400
205,2020-09-18,14738
206,2020-09-19,14978
207,2020-09-20,15142
208,2020-09-21,15595
209,2020-09-22,15928
210,2020-09-23,16286
211,2020-09-24,16627
212,2020-09-25,16913
213,2020-09-26,17228
214,2020-09-27,17444
215,2020-09-28,17707
216,2020-09-29,18123
217,2020-09-30,18475
218,2020-10-01,18886
219,2020-10-02,19346
220,2020-10-03,19613
221,2020-10-04,19842
222,2020-10-05,20142
223,2020-10-06,20541
224,2020-10-07,20947
225,2020-10-08,21381
226,2020-10-09,21772
227,2020-10-10,22078
228,2020-10-11,22358
229,2020-10-12,22652
230,2020-10-13,23060
231,2020-10-14,23495
232,2020-10-15,23947
233,2020-10-16,24450
234,2020-10-17,24932
235,2020-10-18,25370
236,2020-10-19,25802
237,2020-10-20,26469
238,2020-10-21,27334
239,2020-10-22,28216
240,2020-10-23,29057
241,2020-10-24,29992
242,2020-10-25,30782
243,2020-10-26,31496
244,2020-10-27,32752
245,2020-10-28,34299
246,2020-10-29,35510
247,2020-10-30,37196
248,2020-10-31,39251
249,2020-11-01,40929
250,2020-11-02,42080
251,2020-11-03,44246
252,2020-11-04,46892
253,2020-11-05,49807
254,2020-11-06,52254
255,2020-11-07,54809
256,2020-11-08,56698
257,2020-11-09,58187
258,2020-11-10,60570
259,2020-11-11,63321
260,2020-11-12,66637
261,2020-11-13,69675
262,2020-11-14,72510
263,2020-11-15,74205
264,2020-11-16,76403
265,2020-11-17,78825
266,2020-11-18,82034
267,2020-11-19,85261
268,2020-11-20,87812
269,2020-11-21,90121
270,2020-11-22,91619
271,2020-11-23,93006
272,2020-11-24,95137
273,2020-11-25,97288
274,2020-11-26,99306
275,2020-11-27,101287
276,2020-11-28,103034
277,2020-11-29,104227
278,2020-11-30,105271
279,2020-12-01,107470
280,2020-12-02,109655
281,2020-12-03,111537
282,2020-12-04,113185
283,2020-12-05,114568
284,2020-12-06,115471
285,2020-12-07,116721
286,2020-12-08,118045
287,2020-12-09,119720
288,2020-12-10,121253
289,2020-12-11,122648
290,2020-12-12,123842
291,2020-12-13,124534
292,2020-12-14,125173
293,2020-12-15,126372
294,2020-12-16,127557
295,2020-12-17,128710
296,2020-12-18,129584
297,2020-12-19,130485
298,2020-12-20,131072
299,2020-12-21,131597
300,2020-12-22,132430
301,2020-12-23,133365
302,2020-12-24,134235
303,2020-12-25,134852
304,2020-12-26,135114
305,2020-12-27,135456
306,2020-12-28,135931
307,2020-12-29,136976
308,2020-12-30,137918
309,2020-12-31,138850
310,2021-01-01,139447
311,2021-01-02,139709
312,2021-01-03,140099
313,2021-01-04,140526
314,2021-01-05,141453
315,2021-01-06,142267
316,2021-01-07,142777
317,2021-01-08,143494
318,2021-01-09,144293
319,2021-01-10,144738
320,2021-01-11,145179
321,2021-01-12,146020
322,2021-01-13,146688
323,2021-01-14,147283
324,2021-01-15,147860
325,2021-01-16,148370
326,2021-01-17,148607
327,2021-01-18,148925
328,2021-01-19,149462
329,2021-01-20,149973
330,2021-01-21,150479
331,2021-01-22,151041
332,2021-01-23,151646
333,2021-01-24,151980
334,2021-01-25,152412
335,2021-01-26,153226
336,2021-01-27,154083
337,2021-01-28,154796
