,Date,Cases
0,2020-03-22,1
1,2020-03-23,1
2,2020-03-24,1
3,2020-03-25,1
4,2020-03-26,7
5,2020-03-27,7
6,2020-03-28,7
7,2020-03-29,9
8,2020-03-30,9
9,2020-03-31,9
10,2020-04-01,9
11,2020-04-02,10
12,2020-04-03,12
13,2020-04-04,12
14,2020-04-05,12
15,2020-04-06,12
16,2020-04-07,12
17,2020-04-08,12
18,2020-04-09,12
19,2020-04-10,14
20,2020-04-11,14
21,2020-04-12,14
22,2020-04-13,14
23,2020-04-14,14
24,2020-04-15,14
25,2020-04-16,14
26,2020-04-17,14
27,2020-04-18,14
28,2020-04-19,14
29,2020-04-20,14
30,2020-04-21,14
31,2020-04-22,15
32,2020-04-23,15
33,2020-04-24,15
34,2020-04-25,18
35,2020-04-26,18
36,2020-04-27,18
37,2020-04-28,19
38,2020-04-29,20
39,2020-04-30,20
40,2020-05-01,20
41,2020-05-02,21
42,2020-05-03,21
43,2020-05-04,21
44,2020-05-05,21
45,2020-05-06,21
46,2020-05-07,21
47,2020-05-08,21
48,2020-05-09,21
49,2020-05-10,21
50,2020-05-11,21
51,2020-05-12,21
52,2020-05-13,21
53,2020-05-14,21
54,2020-05-15,22
55,2020-05-16,22
56,2020-05-17,22
57,2020-05-18,22
58,2020-05-19,22
59,2020-05-20,22
60,2020-05-21,22
61,2020-05-22,22
62,2020-05-23,22
63,2020-05-24,22
64,2020-05-25,23
65,2020-05-26,23
66,2020-05-27,23
67,2020-05-28,23
68,2020-05-29,23
69,2020-05-30,23
70,2020-05-31,23
71,2020-06-01,23
72,2020-06-02,23
73,2020-06-03,23
74,2020-06-04,23
75,2020-06-05,23
76,2020-06-06,23
77,2020-06-07,23
78,2020-06-08,23
79,2020-06-09,23
80,2020-06-10,23
81,2020-06-11,23
82,2020-06-12,23
83,2020-06-13,23
84,2020-06-14,23
85,2020-06-15,23
86,2020-06-16,23
87,2020-06-17,23
88,2020-06-18,23
89,2020-06-19,23
90,2020-06-20,23
91,2020-06-21,23
92,2020-06-22,23
93,2020-06-23,23
94,2020-06-24,23
95,2020-06-25,23
96,2020-06-26,23
97,2020-06-27,23
98,2020-06-28,23
99,2020-06-29,23
100,2020-06-30,23
101,2020-07-01,23
102,2020-07-02,23
103,2020-07-03,23
104,2020-07-04,23
105,2020-07-05,23
106,2020-07-06,23
107,2020-07-07,23
108,2020-07-08,23
109,2020-07-09,23
110,2020-07-10,23
111,2020-07-11,23
112,2020-07-12,23
113,2020-07-13,23
114,2020-07-14,23
115,2020-07-15,23
116,2020-07-16,23
117,2020-07-17,23
118,2020-07-18,23
119,2020-07-19,23
120,2020-07-20,23
121,2020-07-21,23
122,2020-07-22,23
123,2020-07-23,23
124,2020-07-24,23
125,2020-07-25,23
126,2020-07-26,23
127,2020-07-27,23
128,2020-07-28,23
129,2020-07-29,23
130,2020-07-30,24
131,2020-07-31,24
132,2020-08-01,24
133,2020-08-02,24
134,2020-08-03,24
135,2020-08-04,24
136,2020-08-05,24
137,2020-08-06,24
138,2020-08-07,24
139,2020-08-08,24
140,2020-08-09,24
141,2020-08-10,24
142,2020-08-11,24
143,2020-08-12,24
144,2020-08-13,24
145,2020-08-14,24
146,2020-08-15,24
147,2020-08-16,24
148,2020-08-17,24
149,2020-08-18,24
150,2020-08-19,24
151,2020-08-20,24
152,2020-08-21,24
153,2020-08-22,24
154,2020-08-23,24
155,2020-08-24,24
156,2020-08-25,24
157,2020-08-26,24
158,2020-08-27,24
159,2020-08-28,24
160,2020-08-29,24
161,2020-08-30,24
162,2020-08-31,24
163,2020-09-01,24
164,2020-09-02,24
165,2020-09-03,24
166,2020-09-04,24
167,2020-09-05,24
168,2020-09-06,24
169,2020-09-07,24
170,2020-09-08,24
171,2020-09-09,24
172,2020-09-10,24
173,2020-09-11,24
174,2020-09-12,24
175,2020-09-13,24
176,2020-09-14,24
177,2020-09-15,24
178,2020-09-16,24
179,2020-09-17,24
180,2020-09-18,24
181,2020-09-19,24
182,2020-09-20,24
183,2020-09-21,24
184,2020-09-22,24
185,2020-09-23,24
186,2020-09-24,24
187,2020-09-25,24
188,2020-09-26,24
189,2020-09-27,24
190,2020-09-28,24
191,2020-09-29,24
192,2020-09-30,24
193,2020-10-01,24
194,2020-10-02,24
195,2020-10-03,24
196,2020-10-04,24
