,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,2
3,2020-03-17,6
4,2020-03-18,6
5,2020-03-19,9
6,2020-03-20,12
7,2020-03-21,17
8,2020-03-22,19
9,2020-03-23,20
10,2020-03-24,21
11,2020-03-25,24
12,2020-03-26,25
13,2020-03-27,28
14,2020-03-28,34
15,2020-03-29,34
16,2020-03-30,36
17,2020-03-31,38
18,2020-04-01,39
19,2020-04-02,47
20,2020-04-03,50
21,2020-04-04,61
22,2020-04-05,61
23,2020-04-06,70
24,2020-04-07,77
25,2020-04-08,87
26,2020-04-09,95
27,2020-04-10,126
28,2020-04-11,137
29,2020-04-12,155
30,2020-04-13,156
31,2020-04-14,167
32,2020-04-15,180
33,2020-04-16,196
34,2020-04-17,214
35,2020-04-18,235
36,2020-04-19,257
37,2020-04-20,289
38,2020-04-21,294
39,2020-04-22,316
40,2020-04-23,384
41,2020-04-24,430
42,2020-04-25,473
43,2020-04-26,500
44,2020-04-27,530
45,2020-04-28,530
46,2020-04-29,557
47,2020-04-30,599
48,2020-05-01,644
49,2020-05-02,688
50,2020-05-03,703
51,2020-05-04,730
52,2020-05-05,763
53,2020-05-06,798
54,2020-05-07,832
55,2020-05-08,900
56,2020-05-09,967
57,2020-05-10,1052
58,2020-05-11,1114
59,2020-05-12,1199
60,2020-05-13,1342
61,2020-05-14,1518
62,2020-05-15,1643
63,2020-05-16,1763
64,2020-05-17,1763
65,2020-05-18,1912
66,2020-05-19,2133
67,2020-05-20,2265
68,2020-05-21,2512
69,2020-05-22,2743
70,2020-05-23,3054
71,2020-05-24,3424
72,2020-05-25,3760
73,2020-05-26,3954
74,2020-05-27,4145
75,2020-05-28,4348
76,2020-05-29,4607
77,2020-05-30,4739
78,2020-05-31,5087
79,2020-06-01,5336
80,2020-06-02,5586
81,2020-06-03,5760
82,2020-06-04,6154
83,2020-06-05,6485
84,2020-06-06,6792
85,2020-06-07,7055
86,2020-06-08,7502
87,2020-06-09,7866
88,2020-06-10,8221
89,2020-06-11,8561
90,2020-06-12,8982
91,2020-06-13,9491
92,2020-06-14,9845
93,2020-06-15,10272
94,2020-06-16,10706
95,2020-06-17,11251
96,2020-06-18,11868
97,2020-06-19,12509
98,2020-06-20,12755
99,2020-06-21,13145
100,2020-06-22,13769
101,2020-06-23,14540
102,2020-06-24,14819
103,2020-06-25,15619
104,2020-06-26,15828
105,2020-06-27,16397
106,2020-06-28,16930
107,2020-06-29,17409
108,2020-06-30,18096
109,2020-07-01,19011
110,2020-07-02,20072
111,2020-07-03,21293
112,2020-07-04,22501
113,2020-07-05,23248
114,2020-07-06,23972
115,2020-07-07,24787
116,2020-07-08,25411
117,2020-07-09,26658
118,2020-07-10,27619
119,2020-07-11,28598
120,2020-07-12,29355
121,2020-07-13,29742
122,2020-07-14,30872
123,2020-07-15,32074
124,2020-07-16,32939
125,2020-07-17,33809
126,2020-07-18,38042
127,2020-07-19,38677
128,2020-07-20,39039
129,2020-07-21,40229
130,2020-07-22,41135
131,2020-07-23,42192
132,2020-07-24,43283
133,2020-07-25,44492
134,2020-07-26,45053
135,2020-07-27,45309
136,2020-07-28,46451
137,2020-07-29,47605
138,2020-07-30,48826
139,2020-07-31,49789
140,2020-08-01,50979
141,2020-08-02,51306
142,2020-08-03,51542
143,2020-08-04,52365
